ticker,t0,multiple,R1_股數增發,R2_無營業額而市值高,R3_燒錢靠增發,R4_已經跑掉,R5_上市未滿兩年,R2+R4
AAL,2009-06-30,18.3,,,,0.0,0.0,
AAOI,2021-08-31,30.4,,,,0.0,0.0,
ALK,2009-05-29,12.9,,,,0.0,0.0,
ALM,2021-08-31,13.3,,,,0.0,0.0,
AMD,2015-09-30,53.6,0.0,0.0,0.0,0.0,0.0,0.0
ANET,2020-10-30,12.4,,,,0.0,0.0,
ANF,2020-03-31,21.2,0.0,0.0,0.0,0.0,0.0,0.0
APA,2020-03-31,12.6,,,,0.0,0.0,
APP,2021-04-30,12.6,,,,,1.0,
ASH,2009-02-27,17.9,,,,0.0,0.0,
ATI,2021-08-31,13.0,0.0,0.0,0.0,0.0,0.0,0.0
AVGO,2020-10-30,12.4,,,,0.0,0.0,
AXON,2016-01-29,11.5,,,,0.0,0.0,
BBWI,2009-02-27,12.8,,,,0.0,0.0,
BC,2009-01-30,17.0,,,,0.0,0.0,
BE,2021-08-31,16.1,,,,0.0,0.0,
BIDU,2009-01-30,14.1,,,,0.0,0.0,
BIIB,2010-05-28,10.0,,,,0.0,0.0,
BKNG,2009-01-30,18.1,,,,0.0,0.0,
BLDR,2020-03-31,17.3,0.0,0.0,0.0,0.0,0.0,0.0
CAR,2009-02-27,119.7,,,,0.0,0.0,
CCJ,2020-10-30,11.4,,,,0.0,0.0,
CDNA,2017-04-28,109.9,,,,0.0,0.0,
CIEN,2021-05-28,11.4,,,,0.0,0.0,
CLF,2016-01-29,12.2,,,,0.0,0.0,
CLSK,2020-03-31,34.1,,,,0.0,0.0,
CMG,2009-01-30,11.5,,,,0.0,0.0,
CPWR,2012-06-29,96.6,,,,0.0,0.0,
CRSP,2017-05-31,15.4,,,,,1.0,
CVNA,2017-05-31,36.8,,,,,1.0,
CZR,2015-01-30,15.5,,,,,1.0,
DDS,2009-02-27,30.1,,,,0.0,0.0,
DELL,2021-08-31,11.0,0.0,0.0,0.0,0.0,0.0,0.0
DPZ,2009-03-31,13.4,,,,0.0,0.0,
DVN,2020-03-31,13.2,0.0,0.0,0.0,0.0,0.0,0.0
DXCM,2017-10-31,14.5,0.0,0.0,0.0,0.0,0.0,0.0
EME,2020-10-30,11.6,,,,0.0,0.0,
ENPH,2017-05-31,352.3,1.0,0.0,1.0,0.0,0.0,0.0
EP,2017-08-31,124.0,,,,0.0,0.0,
EPAM,2016-12-30,11.2,,,,0.0,0.0,
ETSY,2016-02-29,29.5,,,,,1.0,
F,2009-01-30,10.0,,,,0.0,0.0,
FITB,2009-02-27,11.3,,,,0.0,0.0,
FIX,2021-07-30,28.2,,,,0.0,0.0,
FLEX,2021-06-30,12.0,0.0,0.0,0.0,0.0,0.0,0.0
FMCC,2011-11-30,27.6,,,,0.0,0.0,
FNMA,2011-11-30,29.1,,,,0.0,0.0,
FOSL,2009-01-30,12.0,,,,0.0,0.0,
FTI,2021-08-31,12.3,0.0,0.0,0.0,0.0,0.0,0.0
FTNT,2016-12-30,12.2,,,,0.0,0.0,
GE,2020-09-30,10.1,0.0,0.0,0.0,0.0,0.0,0.0
GME,2020-03-31,99.3,0.0,0.0,0.0,0.0,0.0,0.0
GNRC,2017-05-31,14.6,0.0,0.0,0.0,0.0,0.0,0.0
GNW,2009-02-27,15.7,,,,0.0,0.0,
HUT,2020-03-31,30.9,,,,0.0,0.0,
HWM,2020-05-29,13.2,,,,0.0,0.0,
INCY,2009-02-27,29.8,,,,0.0,0.0,
LEU,2018-12-31,50.6,,,,0.0,0.0,
LITE,2021-05-28,12.9,,,,0.0,0.0,
LPX,2009-02-27,13.7,,,,0.0,0.0,
LULU,2009-02-27,28.8,,,,0.0,1.0,
LVS,2009-02-27,41.5,,,,0.0,0.0,
MARA,2020-03-31,169.1,,,,0.0,0.0,
MDB,2018-01-31,21.6,,,,,1.0,
MGM,2009-03-31,12.2,,,,0.0,0.0,
MPC,2020-03-31,10.7,1.0,0.0,0.0,0.0,0.0,0.0
MRNA,2019-07-31,37.0,,0.0,,,1.0,
MSTR,2020-03-31,40.1,,,,0.0,0.0,
MTG,2012-08-31,10.1,,,,0.0,0.0,
