arm,proxy,top_n,k,turnover_ann,avg_slots_filled,avg_hold_days,maxdd_pick,pick_cagr_0,port_cagr_0,pick_cagr_15,port_cagr_15,pick_cagr_25,port_cagr_25,pick_cagr_50,port_cagr_50
always_in,fwd_yield,3,6,2.678,6.0,184.7,-71.86,16.667,16.575,16.206,16.107,15.9,15.795,15.137,15.02
always_in,fwd_yield,3,10,3.306,10.0,149.2,-57.58,16.49,16.399,15.922,15.823,15.544,15.44,14.605,14.488
always_in,fwd_yield,3,15,3.897,14.99,126.7,-57.67,16.656,16.565,15.984,15.885,15.538,15.434,14.429,14.312
always_in,fwd_yield,5,6,2.155,6.0,228.6,-68.4,17.297,17.205,16.927,16.827,16.68,16.575,16.065,15.947
always_in,fwd_yield,5,10,2.53,10.0,194.6,-57.91,17.551,17.459,17.114,17.013,16.823,16.717,16.098,15.98
always_in,fwd_yield,5,15,2.715,14.99,180.8,-54.58,17.731,17.639,17.261,17.161,16.948,16.843,16.169,16.051
always_in,low_vol,3,6,1.0,6.0,460.3,-40.29,8.034,7.949,7.88,7.787,7.777,7.679,7.52,7.41
always_in,low_vol,3,10,0.997,10.0,461.6,-39.71,10.006,9.92,9.849,9.755,9.745,9.646,9.484,9.373
always_in,low_vol,3,15,1.231,14.99,380.0,-40.91,10.703,10.616,10.507,10.412,10.376,10.277,10.05,9.938
always_in,low_vol,5,6,0.646,6.0,680.9,-43.21,7.989,7.904,7.892,7.8,7.827,7.73,7.666,7.556
always_in,low_vol,5,10,0.646,10.0,680.9,-40.43,9.464,9.378,9.366,9.272,9.3,9.202,9.136,9.025
always_in,low_vol,5,15,0.683,14.99,648.5,-41.83,10.304,10.217,10.199,10.104,10.128,10.029,9.953,9.841
