proxy,top_n,k,always_in_pick_15,timed_median_15,timed_max_15,timed_cells_beating_always_in,timed_cells,always_in_turnover,timed_median_turnover
fwd_yield,3,6,16.206,11.986,20.019,4,42,2.678,7.5
fwd_yield,3,10,15.922,12.349,18.653,6,42,3.306,7.09
fwd_yield,3,15,15.984,12.956,20.014,8,42,3.897,6.59
fwd_yield,5,6,16.927,11.853,18.272,2,42,2.155,7.69
fwd_yield,5,10,17.114,13.005,17.073,0,42,2.53,7.53
fwd_yield,5,15,17.261,12.729,18.055,2,42,2.715,7.18
low_vol,3,6,7.88,9.048,12.434,29,42,1.0,4.26
low_vol,3,10,9.849,9.259,11.653,14,42,0.997,4.16
low_vol,3,15,10.507,9.3,11.63,11,42,1.231,4.09
low_vol,5,6,7.892,8.537,13.007,26,42,0.646,4.36
low_vol,5,10,9.366,9.218,12.44,19,42,0.646,4.46
low_vol,5,15,10.199,9.237,11.957,11,42,0.683,4.53
