代號時段 5952 段,149 批,每批 40
[1/149] ok=40/40 rows=292158 已用 0.0 分
[2/149] ok=40/40 rows=307817 已用 0.1 分
[3/149] ok=40/40 rows=272094 已用 0.2 分
[4/149] ok=40/40 rows=259936 已用 0.3 分
[5/149] ok=40/40 rows=312207 已用 0.3 分
[6/149] ok=40/40 rows=312851 已用 0.4 分
[7/149] ok=40/40 rows=311848 已用 0.5 分
[8/149] ok=40/40 rows=277047 已用 0.5 分
[9/149] ok=40/40 rows=301883 已用 0.6 分
[10/149] ok=40/40 rows=292768 已用 0.7 分
[11/149] ok=40/40 rows=303297 已用 0.7 分
[12/149] ok=40/40 rows=311911 已用 0.8 分
[13/149] ok=40/40 rows=272820 已用 0.9 分
[14/149] ok=40/40 rows=314315 已用 1.0 分
[15/149] ok=40/40 rows=289564 已用 1.0 分
[16/149] ok=40/40 rows=271012 已用 1.1 分
[17/149] ok=40/40 rows=303158 已用 1.2 分
[18/149] ok=40/40 rows=286762 已用 1.2 分
[19/149] ok=40/40 rows=294765 已用 1.3 分
[20/149] ok=40/40 rows=301045 已用 1.4 分
[21/149] ok=40/40 rows=297576 已用 1.4 分
[22/149] ok=40/40 rows=254967 已用 1.5 分
[23/149] ok=40/40 rows=279076 已用 1.6 分
[24/149] ok=40/40 rows=290031 已用 1.6 分
[25/149] ok=40/40 rows=238329 已用 1.7 分
[26/149] ok=40/40 rows=280584 已用 1.8 分
[27/149] ok=40/40 rows=288578 已用 1.8 分
[28/149] ok=40/40 rows=289436 已用 1.9 分
[29/149] ok=40/40 rows=279267 已用 1.9 分
[30/149] ok=40/40 rows=279338 已用 2.0 分
[31/149] ok=40/40 rows=267324 已用 2.1 分
[32/149] ok=40/40 rows=286952 已用 2.1 分
[33/149] ok=40/40 rows=251122 已用 2.2 分
[34/149] ok=40/40 rows=260420 已用 2.3 分
[35/149] ok=40/40 rows=232488 已用 2.3 分
[36/149] ok=40/40 rows=275641 已用 2.4 分
[37/149] ok=40/40 rows=122589 已用 2.4 分
[38/149] ok=40/40 rows=195047 已用 2.5 分
[39/149] ok=40/40 rows=260604 已用 2.6 分
[40/149] ok=40/40 rows=232247 已用 2.6 分
[41/149] ok=40/40 rows=239990 已用 2.7 分
$SVA: possibly delisted; no price data found  (1d 1999-11-03 -> 2026-09-04)

1 Failed download:
['SVA']: possibly delisted; no price data found  (1d 1999-11-03 -> 2026-09-04)
$SVA: possibly delisted; no price data found  (1d 2000-01-20 -> 2026-09-04)

1 Failed download:
['SVA']: possibly delisted; no price data found  (1d 2000-01-20 -> 2026-09-04)
[42/149] ok=39/40 rows=240036 已用 2.8 分
[43/149] ok=40/40 rows=188319 已用 2.9 分
[44/149] ok=40/40 rows=196294 已用 3.0 分
[45/149] ok=40/40 rows=235049 已用 3.1 分
[46/149] ok=40/40 rows=216632 已用 3.1 分
[47/149] ok=40/40 rows=212497 已用 3.2 分
[48/149] ok=40/40 rows=219205 已用 3.3 分
[49/149] ok=40/40 rows=200763 已用 3.3 分
[50/149] ok=40/40 rows=178308 已用 3.4 分
[51/149] ok=40/40 rows=182976 已用 3.4 分
[52/149] ok=40/40 rows=160707 已用 3.5 分
[53/149] ok=40/40 rows=138648 已用 3.5 分
[54/149] ok=40/40 rows=167883 已用 3.6 分
[55/149] ok=40/40 rows=199335 已用 3.6 分
[56/149] ok=40/40 rows=153709 已用 3.7 分
[57/149] ok=40/40 rows=151777 已用 3.7 分
[58/149] ok=40/40 rows=168213 已用 3.8 分
[59/149] ok=40/40 rows=161079 已用 3.8 分
[60/149] ok=40/40 rows=170537 已用 3.9 分
[61/149] ok=40/40 rows=154822 已用 3.9 分
[62/149] ok=40/40 rows=164436 已用 4.0 分
[63/149] ok=40/40 rows=149696 已用 4.0 分
[64/149] ok=40/40 rows=128270 已用 4.1 分
[65/149] ok=40/40 rows=157013 已用 4.1 分
[66/149] ok=40/40 rows=120256 已用 4.2 分
