ticker,cik,overlap_days,median_diff_pct,mean_abs_diff_pct,p95_abs_diff_pct,max_abs_diff_pct,max_abs_diff_pct_excl_snapshot_day
A,0001090872,2930,0.0,1.9e-05,4.7e-05,9.7e-05,9.7e-05
AMD,0000002488,2931,0.0,0.000432,4e-06,1.259759,6e-06
BA,0000012927,2930,0.0,8e-06,3.5e-05,8.7e-05,8.7e-05
CAT,0000018230,2930,-1e-06,1.8e-05,4.7e-05,9.7e-05,9.7e-05
COF,0000927628,2930,0.0,1.8e-05,4.5e-05,9.1e-05,9.1e-05
DASH,0001792789,1435,0.0,2e-06,4e-06,6e-06,6e-06
EL,0001001250,2930,1e-06,1.7e-05,4.6e-05,8.7e-05,8.7e-05
FDX,0001048911,2930,-0.0,1.9e-05,5e-05,0.000113,0.000113
GL,0000320335,2930,0.0,1.7e-05,4.3e-05,8.1e-05,8.1e-05
HST,0001070750,2930,-1e-06,2.1e-05,5e-05,0.000109,0.000109
JEF,0000096223,2930,-0.0,1.8e-05,5.2e-05,9.7e-05,9.7e-05
LMT,0000936468,2930,-0.614721,0.614721,0.614754,0.614814,0.614814
MKC,0000063754,2930,-0.0,1.4e-05,3.8e-05,0.0001,0.0001
NFLX,0001065280,2931,-0.0,8.4e-05,5e-06,0.239192,4.1e-05
PAYC,0001590955,2930,0.0,1.5e-05,3.5e-05,6.5e-05,6.5e-05
PSX,0001534701,2930,-1e-06,1.7e-05,4.1e-05,9.8e-05,9.8e-05
SCHW,0000316709,2930,0.0,1.5e-05,4e-05,9.1e-05,9.1e-05
TAP,0000024545,2930,-1.152181,1.152182,1.15221,1.152273,1.152273
TXT,0000217346,2930,0.0,1.3e-05,3.7e-05,8.6e-05,8.6e-05
VST,0001692819,2432,1e-06,0.000134,4.4e-05,0.283608,9e-05
