sic2,entities
28,795
73,643
60,336
38,271
36,265
67,202
62,185
35,183
61,169
49,152
37,132
10,119
13,118
63,105
48,92
20,92
80,83
59,81
87,70
65,66
44,65
50,59
34,54
58,52
,52
79,49
51,46
33,44
82,43
47,34
70,31
45,30
64,30
39,29
15,27
55,26
56,25
23,25
17,25
14,24
42,22
27,22
29,19
16,19
30,19
26,19
78,16
25,16
32,15
01,14
53,14
54,13
75,13
57,11
52,11
72,11
24,11
31,10
12,9
21,8
46,8
22,6
40,6
07,5
02,3
83,2
76,2
09,1
00,1
41,1
81,1
