年份,有面板家數,n1可算,n1為正,n1比率,n2可算,n2為正,n2比率
2010,26,9,1,0.1111,10,0,0.0
2011,206,115,15,0.1304,85,14,0.1647
2012,1140,687,125,0.182,350,107,0.3057
2013,1268,808,153,0.1894,420,121,0.2881
2014,1333,892,163,0.1827,463,123,0.2657
2015,1438,984,199,0.2022,523,136,0.26
2016,1521,1073,240,0.2237,565,140,0.2478
2017,1578,1122,215,0.1916,601,147,0.2446
2018,1663,1181,248,0.21,628,165,0.2627
2019,1837,1376,329,0.2391,680,171,0.2515
2020,1959,1528,340,0.2225,756,183,0.2421
2021,2088,1661,442,0.2661,830,284,0.3422
2022,2397,1940,665,0.3428,907,318,0.3506
2023,2592,2173,673,0.3097,968,264,0.2727
2024,2718,2296,628,0.2735,1036,270,0.2606
2025,2864,2451,625,0.255,1093,283,0.2589
2026,3043,2622,670,0.2555,1161,314,0.2705
