ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
A,135.7189483642578,150.86000061035156,0.11156181527030773,0.0935875261779695,131.2262398147583,0.1496176437220842,0.005751297130663469,276233488.5417938,"AGILENT TECHNOLOGIES, INC.",0001090872,3826,Laboratory Analytical Instruments,42681209034.98428,281928854.0,42531787086.51572
AA,77.60939025878906,49.970001220703125,-0.3561345984799288,-0.374108887572267,57.475914325714115,-0.130592321898095,0.03164894675046348,258174982.22579956,Alcoa Corp,0001675149,3334,Primary Production of  Aluminum,13472576965.903072,263909445.0,13187555288.805084
AACG,1.1699999570846558,0.8899999856948853,-0.2393162236411185,-0.2572905127334567,1.0057500010728837,-0.11508825777233123,-0.05672951324317077,4694.999885559082,ATA Creativity Global,0001420529,8200,Services-Educational Services,56172644.731330276,63912442.0,56882072.46572518
AAL,14.34000015258789,13.130000114440918,-0.08437936020025827,-0.1023536492925965,13.927400035858154,-0.05725404019158009,0.030054592746332265,1370593867.1105862,American Airlines Group Inc.,0000006201,4512,"Air Transportation, Scheduled",8670758919.001434,661385137.0,8683986924.499523
AAME,2.0799999237060547,1.3600000143051147,-0.346153815293452,-0.36412810438579024,2.245049995183945,-0.3942228381449986,-0.10974449731345437,25118.999880552292,ATLANTIC AMERICAN CORP,0000008177,6311,Life Insurance,27332286.200830936,20397228.0,27740230.371784687
AAMI,72.20695495605469,93.58000183105469,0.295997066875451,0.2780227777831128,64.9235364151001,0.4413879310691644,0.14515057127008646,32717785.624694824,Acadian Asset Management Inc.,0001748824,6282,Investment Advice,3194466497.095093,35490128.0,3321166243.224365
AAOI,185.6699981689453,105.52999877929688,-0.4316260040931721,-0.4496002931855103,101.51035020828247,0.039598411026725344,0.17672378140416733,1221661832.4977875,"APPLIED OPTOELECTRONICS, INC.",0001158114,3674,Semiconductors & Related Devices,8721625179.533651,84569237.0,8924591477.376068
AAON,138.3857879638672,79.4000015258789,-0.42624164884178417,-0.4442159379341224,98.33342136383057,-0.19254308021988376,-0.01844580979597954,98316216.42532349,"AAON, INC.",0000824142,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,6152690768.645683,82453639.0,6546819062.4142685
AAP,59.030452728271484,44.18000030517578,-0.2515727346943313,-0.2695470237866695,51.969647903442386,-0.1498884043382297,-0.00038699123012153613,82320504.08973694,ADVANCE AUTO PARTS INC,0001158449,5531,Retail-Auto & Home Supply Stores,2585119953.918457,60400000.0,2668472018.432617
AAPG,19.079999923706055,17.614999771118164,-0.07678197895418715,-0.09475626804652537,22.854799995422365,-0.22926475949707248,-0.11995012488434809,107997.49927520752,ASCENTAGE PHARMA GROUP INTERNATIONAL,0002023311,2834,Pharmaceutical Preparations,6275545848.14444,373322192.0,6576070326.633331
AAPL,306.0460510253906,319.9700012207031,0.045496258320148364,0.02752196922781014,283.4390239715576,0.12888478353217625,0.04043984797587297,13764102897.662354,Apple Inc.,0000320193,3571,Electronic Computers,4742524608093.872,14594180000.0,4669699792415.161
AARD,3.990000009536743,5.380000114440918,0.34837095277740615,0.3303966636850679,7.967175004482269,-0.3247292658421369,-0.1224532016861195,941801.9956588745,"Aardvark Therapeutics, Inc.",0001774857,2834,Pharmaceutical Preparations,130214829.52579689,21884846.0,117740473.98452187
AAT,22.728242874145508,22.040000915527344,-0.030281353575338343,-0.04825564266767657,20.305160427093504,0.08543840343753284,0.047884474348038664,9284583.520889282,"American Assets Trust, Inc.",0001500217,6798,Real Estate Investment Trusts,1375156942.981217,61390936.0,1353056285.6450806
AAUC,25.549999237060547,23.6200008392334,-0.07553810001793126,-0.09351238911026949,26.364950008392334,-0.10411357382756958,0.024441402499846943,11852130.20772934,Allied Gold Corp,0001993344,1040,Gold and Silver Ores,2962508998.75,124737221.0,2946293264.703642
AB,36.42490768432617,37.349998474121094,0.02539720341399776,0.007422914321659535,36.861741313934324,0.01324563470912854,0.0015779713362136238,9757863.210868835,ALLIANCEBERNSTEIN HOLDING L.P.,0000825313,6282,Investment Advice,3409345371.3850594,93075219.0,3476359287.6284866
ABAT,3.5799999237060547,2.7799999713897705,-0.22346367859363403,-0.24143796768597225,3.324874995946884,-0.16387834887667396,-0.14246395517575905,8325968.462443352,AMERICAN BATTERY TECHNOLOGY Co,0001576873,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),380596195.9062033,136414409.0,379232053.11715245
ABBV,211.4250946044922,256.4599914550781,0.21300639328000126,0.19503210418766304,225.8034425354004,0.13576652585742366,0.030171134810481615,1287964987.71286,AbbVie Inc.,0001551152,2834,Pharmaceutical Preparations,462489937987.32556,1767117285.0,453194883811.2208
ABCB,83.00585174560547,86.05000305175781,0.036673936139851815,0.01869964704751359,82.4570523071289,0.04357360157923429,0.036195596844467826,32986768.20755005,Ameris Bancorp,0000351569,6022,State Commercial Banks,5702102179.748016,67107239.0,5774578120.745041
ABCL,6.460000038146973,11.430000305175781,0.7693498819938762,0.751375592901538,5.136249985694885,1.2253590337327425,0.15772702615547862,46890650.33848286,AbCellera Biologics Inc.,0001703057,2834,Pharmaceutical Preparations,3483106148.493307,306611466.0,3504569149.9503937
ABEO,5.630000114440918,6.0,0.06571933890552417,0.04774504981318595,5.495350005626679,0.09183218427518014,0.05165862711824354,7385703.040122986,ABEONA THERAPEUTICS INC.,0000318306,2834,Pharmaceutical Preparations,340244890.24301434,57184017.0,343104102.0
ABEV,3.2307722568511963,3.0199999809265137,-0.06523897668048795,-0.08321326577282617,2.9102690374851226,0.037704742079864184,0.04454971952031195,76363105.63031435,AMBEV S.A.,0001565025,2080,Beverages,47127300030.7547,15761638756.0,47600148742.4906
ABG,186.6199951171875,217.25999450683594,0.16418390414386264,0.1462096150515244,214.65504959106445,0.012135493298359945,-0.015915057401250987,42515059.787750244,ASBURY AUTOMOTIVE GROUP INC,0001144980,5500,Retail-Auto Dealers & Gasoline Stations,3825015086.673767,17951917.0,3900233388.8071747
