id,ticker,type,metric,check_date,point_estimate,interval_low,interval_high,baseline_kind,baseline_value,scoring,registered_on,actual,note
1,LULU,continuous,第三季美洲可比銷售(固定匯率,按年),2026-12,-8.5%,-12%,-5%,上期延續,-9%,CRPS,2026-09-08,,
2,LULU,continuous,第三季剔除關稅退款後毛利率按年變動(基點),2026-12,-300,-500,-100,上期延續,-360,CRPS,2026-09-08,,
3,LULU,continuous,第三季總收入(億美元),2026-12,23.0,22.4,23.5,管理層指引,22.9-23.2,CRPS,2026-09-08,,
4,TDC,continuous,雲淨擴張率,2026-11,106%,100%,111%,簡單趨勢,100%-103%,CRPS,2026-09-08,,五年數列 123/120/115/112/109
5,TDC,continuous,公有雲 ARR 按年增速,2026-11,6%,3%,9%,上期延續,8%,CRPS,2026-09-08,,
6,TDC,continuous,第三季總收入(億美元),2026-11,4.05,3.90,4.20,管理層指引,4.0-4.1,CRPS,2026-09-08,,
7,ON,continuous,第三季通路存貨週數,2026-11,10.2,9.3,11.3,上期延續,10.1,CRPS,2026-09-08,,
8,ON,continuous,第三季收入按季變動,2026-11,4%,0%,8%,管理層指引,汽車低單位數/工業持平/其他高雙位數,CRPS,2026-09-08,,
9,ENPH,continuous,第三季扣除 safe harbor 之核心收入(億美元),2026-10,2.25,2.00,2.45,管理層指引,2.30,CRPS,2026-09-08,,
10,ENPH,continuous,第四季指引中 safe harbor 收入(萬美元),2026-10,3000,0,6000,簡單趨勢,8500/8430/7500 遞減,CRPS,2026-09-08,,
11,ARM,continuous,第二季 FY2027 權利金按年增長,2026-11-04,17%,10%,24%,管理層指引,高單位數至接近 20%,CRPS,2026-09-08,,
12,LULU,binary,全年指引第五度下調,2026-12,0.55,,,上期延續,1.00,Brier,2026-09-08,,過去四次業績四次下調
13,TDC,binary,全年總 ARR 增長指引被下調,2026-11,0.45,,,上期延續,0.00,Brier,2026-09-08,,
14,ON,binary,分析師日給出 Synaptics 具體協同金額或每股盈利影響,2026-09-16,0.70,,,無基準,,Brier,2026-09-08,,
15,ENPH,binary,管理層宣佈通路存貨去化完成,2026-10,0.35,,,上期延續,0.00,Brier,2026-09-08,,
16,ARM,binary,12 個月內 SoftBank 公開減持或配售公告,2027-09-04,0.35,,,無基準,,Brier,2026-09-08,,
17,ARM,verdict,12 個月相對 SPY 超額回報(拒),2027-09-04,-20%,-50%,12%,拒錯門檻,>+15%,CRPS,2026-09-08,,起計價 252.09
18,ON,verdict,12 個月相對 SPY 超額回報(不買),2027-09-04,-5%,-40%,30%,拒錯門檻,>+30%,CRPS,2026-09-08,,起計價 74.38
19,ENPH,verdict,12 個月相對 SPY 超額回報(不買),2027-09-04,-10%,-50%,35%,拒錯門檻,>+35%,CRPS,2026-09-08,,起計價 36.37
20,TDC,verdict,12 個月相對 SPY 超額回報(觀察),2027-09-04,0%,-30%,30%,拒錯門檻,>+30%,CRPS,2026-09-08,,起計價 28.05
21,LULU,verdict,12 個月相對 SPY 超額回報(入選),2027-09-04,15%,-35%,70%,揀錯門檻,<-20%,CRPS,2026-09-08,,起計價 100.61
