ticker,name,asof,price,price_date,is_closing_price,market_state,stale,stale_lag_days,latest_filing,latest_report,expired,debt_src,finance_lease_src,cash_src,invest_src,shares_src,ocf_ttm,mdd_1y,old_debt,old_finance_lease,old_cash,old_investments,old_lease_debt,old_net_debt,old_shares,old_net_debt_to_ocf,old_debt_gate,old_wacc,old_wacc_raw,old_wacc_net_cash,old_weight_debt,old_n1_implied_g5,old_n2_per_share,old_n2_upside,old_n2_terminal_share,old_n3_ret_1y,old_stress_drop,old_odds,old_pass_bottom_line,new_debt,new_finance_lease,new_cash,new_investments,new_lease_debt,new_net_debt,new_shares,new_net_debt_to_ocf,new_debt_gate,new_wacc,new_wacc_raw,new_wacc_net_cash,new_weight_debt,new_n1_implied_g5,new_n2_per_share,new_n2_upside,new_n2_terminal_share,new_n3_ret_1y,new_stress_drop,new_odds,new_pass_bottom_line,old_error
ADTN,"ADTRAN Holdings, Inc.",2026-06-30,7.579999923706055,2026-09-08,True,closed,False,0.0,2026-08-04,2026-06-30,False,ConvertibleLongTermNotesPayable@2026-06-30 194M+LongTermLineOfCredit@2026-06-30 25M,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 79M,LongTermInvestments@2026-06-30 1M,XBRL 未拆季 2026-04-01→2026-06-30,93011000.0,-0.6340206162761535,0.0,0.0,79236000.0,1016000.0,34092000.0,-46160000.0,80948000.0,-0.49628538559955276,True,0.1,0.09806000232696534,True,0.0,,-8.689320114808451,-2.14634831164484,0.027461590951180937,0.39242004487418747,-0.6340206162761535,-3.385297349242628,True,218822000.0,0.0,79236000.0,1016000.0,34092000.0,172662000.0,80948000.0,1.8563610755717066,True,0.085,0.08605860645492176,False,0.2628783525435023,,-12.132222501186941,-2.6005570743139517,0.03646610498067302,0.39242004487418747,-0.6340206162761535,-4.101691660419533,True,
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",2026-06-30,36.43000030517578,2026-09-08,True,closed,False,0.0,2026-08-05,2026-06-30,False,ConvertibleDebtNoncurrent@2026-06-30 332M,FinanceLeaseLiabilityNoncurrent@2026-06-30 19M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 527M,MarketableSecuritiesCurrent@2026-06-30 20M,XBRL 未拆季 2026-04-01→2026-06-30,114081000.0,-0.620175788008761,332332000.0,0.0,527257000.0,19685000.0,42377000.0,-172233000.0,61045194.0,-1.5097430772871907,True,0.1,0.09806000232696534,True,0.0,,-292.56159296588066,-9.030787551882481,0.4254810444726814,0.2301511987431335,-0.620175788008761,-14.561657721076505,True,351503000.0,19171000.0,527257000.0,19685000.0,42377000.0,-153062000.0,61045194.0,-1.3416958126243634,True,0.1,0.09806000232696534,True,0.0,,-292.8756389823451,-9.03940808479035,0.4254810444726814,0.2301511987431335,-0.620175788008761,-14.575557865317137,True,
INOD,INNODATA INC,2026-06-30,56.119998931884766,2026-09-08,True,closed,False,0.0,2026-08-06,2026-06-30,False,,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 240M,ShortTermInvestments@2026-06-30 10M,XBRL 未拆季 2026-04-01→2026-06-30,196203000.0,-0.6303251436805135,0.0,0.0,240278000.0,10093000.0,3832000.0,-246622000.0,34771000.0,-1.256973644643558,True,0.1,0.09806000232696534,True,0.0,0.3986854553222656,54.82669999348519,-0.023045241678805173,1.0282838842938609,0.3014604660032951,-0.6303251436805135,-0.036560879587068926,True,0.0,0.0,240278000.0,10093000.0,3832000.0,-246622000.0,34771000.0,-1.256973644643558,True,0.1,0.09806000232696534,True,0.0,0.3986854553222656,54.82669999348519,-0.023045241678805173,1.0282838842938609,0.3014604660032951,-0.6303251436805135,-0.036560879587068926,True,
VPG,"Vishay Precision Group, Inc.",2026-07-04,64.68000030517578,2026-09-08,True,closed,False,0.0,2026-08-05,2026-07-04,False,LongTermDebtNoncurrent@2026-07-04 16M,,CashAndCashEquivalentsAtCarryingValue@2026-07-04 76M,(無),yfinance 現時股數(XBRL 0.0M 與市場股數相差 >25%),2846000.0,-0.5967580595942674,15640000.0,0.0,75702000.0,0.0,23613000.0,-36593000.0,13310.0,-12.85769501054111,True,0.1,0.09806000232696534,True,0.0,0.2605781555175781,6012.498180007022,91.95760902347884,1.9651727499476228,-0.9997887549460708,-0.9994191581078117,92.0110528975461,False,15640000.0,0.0,75702000.0,0.0,23613000.0,-36593000.0,13320430.0,-12.85769501054111,True,0.1,0.09806000232696534,True,0.0,,6.0077903473006105,-0.907115177505343,1.9651727499476228,-0.9992306822169778,-0.9994191581078117,-0.9076423742194148,False,
LINC,LINCOLN EDUCATIONAL SERVICES CORPORATION,2026-06-30,24.809999465942383,2026-09-08,True,closed,False,0.0,2026-08-10,2026-06-30,False,LongTermDebtNoncurrent@2026-06-30 26M,FinanceLeaseLiabilityCurrent@2026-06-30 1M+FinanceLeaseLiabilityNoncurrent@2026-06-30 30M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 44M,(無),XBRL 未拆季 2026-04-01→2026-06-30,94023000.0,-0.5635776023010955,26000000.0,0.0,44178000.0,0.0,171201000.0,153023000.0,31418794.0,1.6275060357572084,True,0.1,0.09806000232696534,True,0.0,0.9506340026855469,5.443025315971279,-0.7806116310706446,1.605570951743624,0.2422449245178624,-0.5635776023010955,-1.3851005218862424,True,56898000.0,30898000.0,44178000.0,0.0,171201000.0,183921000.0,31418794.0,1.956127755974602,True,0.095,0.09495429293019934,False,0.06802740101278745,0.7383460998535156,6.36293247816007,-0.7435335503777537,1.5199369787057229,0.2422449245178624,-0.5635776023010955,-1.3193099714074785,True,
ARRY,"ARRAY TECHNOLOGIES, INC.",2026-06-30,4.699999809265137,2026-09-08,True,closed,False,0.0,2026-08-05,2026-06-30,False,LongTermDebtNoncurrent@2026-06-30 658M,FinanceLeaseLiabilityCurrent@2026-06-30 1M+FinanceLeaseLiabilityNoncurrent@2026-06-30 43M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 307M,(無),XBRL 未拆季 2026-04-01→2026-06-30,162861000.0,-0.635451495016055,657749000.0,0.0,307302000.0,0.0,51459000.0,401906000.0,155685000.0,2.467785412099889,True,0.075,0.07644832686258617,False,0.47338173845384846,,-8.373865375442865,-2.7816735564404524,0.46962223262098673,0.571419566963,-0.635451495016055,-4.3774758235011655,True,701427000.0,43678000.0,307302000.0,0.0,51459000.0,445584000.0,155685000.0,2.735977305800652,True,0.075,0.07571559510027048,False,0.4894314813827136,,-8.65441905755739,-2.841365831653202,0.46962223262098673,0.571419566963,-0.635451495016055,-4.471412615972229,True,
UTI,"UNIVERSAL TECHNICAL INSTITUTE, INC",2026-06-30,21.59000015258789,2026-09-08,True,closed,False,0.0,2026-08-06,2026-06-30,False,LongTermDebt@2026-06-30 160M,FinanceLeaseLiabilityCurrent@2026-06-30 1M+FinanceLeaseLiabilityNoncurrent@2026-06-30 2M,CashAndCashEquivalentsAtCarryingValue@2026-06-30 130M,ShortTermInvestments@2026-06-30 40M,XBRL 未拆季 2026-04-01→2026-06-30,74506000.0,-0.592773436117568,160034000.0,0.0,130060000.0,40060000.0,199437000.0,189351000.0,55935000.0,2.5414194829946584,True,0.095,0.09271795578289704,False,0.11701208840103529,,3.297903933460007,-0.8472485451527566,0.869637292454373,0.5921125046277049,-0.592773436117568,-1.4292957368364885,True,163106000.0,3072000.0,130060000.0,40060000.0,199437000.0,192423000.0,55935000.0,2.5826510616594636,True,0.095,0.09262761226911663,False,0.11899097105092019,,3.2429830431408866,-0.8497923566363585,0.869637292454373,0.5921125046277049,-0.592773436117568,-1.4335871091021941,True,
MRAM,"Everspin Technologies, Inc.",2026-06-30,16.649999618530273,2026-09-08,True,closed,False,0.0,2026-08-05,2026-06-30,False,LongTermDebtCurrent@2026-06-30 1M; LongTermDebtNoncurrent@2026-06-30 0M,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 44M,(無),XBRL 未拆季 2026-04-01→2026-06-30,4234000.0,-0.7062031175118362,905000.0,0.0,43896000.0,0.0,0.0,-42991000.0,23882618.0,-10.15375531412376,True,0.1,0.09806000232696534,True,0.0,,-12.577428861874422,-1.7554011501523779,0.4058992230329512,-0.21341090927684359,-0.7062031175118362,-2.485688758125536,False,905000.0,0.0,43896000.0,0.0,0.0,-42991000.0,23882618.0,-10.15375531412376,True,0.1,0.09806000232696534,True,0.0,,-12.577428861874422,-1.7554011501523779,0.4058992230329512,-0.21341090927684359,-0.7062031175118362,-2.485688758125536,False,
CIEN,Ciena Corp,2026-08-01,341.2900085449219,2026-09-08,True,closed,False,0.0,2026-09-03,2026-08-01,False,LongTermDebtNoncurrent@2026-08-01 3230M,FinanceLeaseLiabilityCurrent@2026-08-01 5M,CashAndCashEquivalentsAtCarryingValue@2026-08-01 2446M,AvailableForSaleSecuritiesDebtSecurities@2026-08-01 499M(合計標籤),XBRL 未拆季 2026-05-03→2026-08-01,1054683000.0,-0.4936842241545803,3229843000.0,0.0,2445708000.0,397846000.0,50894000.0,437183000.0,145967000.0,0.41451602045353914,True,0.095,0.09528030082083283,False,0.06088653022411946,0.5492362976074219,169.15444934454123,-0.5043674144879735,0.9707840311277645,0.17237623747754593,-0.4936842241545803,-1.0216397239585442,True,3234983000.0,5140000.0,2445708000.0,499338000.0,50894000.0,340831000.0,145967000.0,0.3231596602960321,True,0.095,0.09527614692252914,False,0.06097751713550495,0.5485954284667969,169.814543749441,-0.5024332986674898,0.9707840311277645,0.17237623747754593,-0.4936842241545803,-1.0177220054537737,True,
LASR,"NLIGHT, INC.",2026-06-30,41.529998779296875,2026-09-08,True,closed,False,0.0,2026-08-07,2026-06-30,False,,,CashAndCashEquivalentsAtCarryingValue@2026-06-30 296M,AvailableForSaleSecuritiesDebtSecuritiesCurrent@2026-06-30 35M,XBRL 未拆季 2026-04-01→2026-06-30,53151000.0,-0.5363154702212911,0.0,0.0,295761000.0,34686000.0,14843000.0,-315604000.0,56983000.0,-5.937875110534138,True,0.1,0.09806000232696534,True,0.0,,-43.89269160824119,-2.0568912328049995,0.3271586958442255,0.4880522527025202,-0.5363154702212911,-3.8352263677128278,True,0.0,0.0,295761000.0,34686000.0,14843000.0,-315604000.0,56983000.0,-5.937875110534138,True,0.1,0.09806000232696534,True,0.0,,-43.89269160824119,-2.0568912328049995,0.3271586958442255,0.4880522527025202,-0.5363154702212911,-3.8352263677128278,True,
