ticker,used_asof,latest_bs,latest_filed,lag_days
ADTN,2026-06-30,2026-06-30,2026-08-04,70
SEDG,2026-06-30,2026-06-30,2026-08-05,70
INOD,2026-06-30,2026-06-30,2026-08-06,70
VPG,2026-07-04,2026-07-04,2026-08-05,66
LINC,2026-06-30,2026-06-30,2026-08-10,70
ARRY,2026-06-30,2026-06-30,2026-08-05,70
UTI,2026-06-30,2026-06-30,2026-08-06,70
MRAM,2026-06-30,2026-06-30,2026-08-05,70
CIEN,2026-08-01,2026-08-01,2026-09-03,38
LASR,2026-06-30,2026-06-30,2026-08-07,70
ENPH,2026-03-31,2026-03-31,2026-04-28,161
AAON,2026-06-30,2026-06-30,2026-08-10,70
STRL,2026-06-30,2026-06-30,2026-08-04,70
RMBS,2026-03-31,2026-03-31,2026-04-28,161
AIP,2026-06-30,2026-06-30,2026-08-06,70
CLFD,2026-06-30,2026-06-30,2026-08-06,70
CEVA,2026-06-30,2026-06-30,2026-08-10,70
TROX,2026-06-30,2026-06-30,2026-08-06,70
LMB,2026-06-30,2026-06-30,2026-08-04,70
ON,2026-07-03,2026-07-03,2026-08-03,67
ARM,2026-06-30,2026-06-30,2026-07-29,70
POWL,2026-06-30,2026-06-30,2026-08-04,70
MEC,2026-06-30,2026-06-30,2026-08-05,70
MYRG,2026-06-30,2026-06-30,2026-07-29,70
LUMN,2026-06-30,2026-06-30,2026-08-04,70
ORCL,2026-05-31,2026-05-31,2026-06-22,100
AGX,2026-07-31,2026-07-31,2026-09-02,39
DOCN,2026-06-30,2026-06-30,2026-08-04,70
FN,2026-06-26,2026-06-26,2026-08-18,74
MTZ,2026-06-30,2026-06-30,2026-07-30,70
AMKR,2026-03-31,2026-03-31,2026-04-28,161
CRNC,2026-06-30,2026-06-30,2026-08-06,70
MOD,2026-06-30,2026-06-30,2026-07-30,70
FSLR,2026-06-30,2026-06-30,2026-07-30,70
CRUS,2026-06-27,2026-06-27,2026-08-05,73
IPGP,2026-06-30,2026-06-30,2026-08-04,70
IREN,2026-06-30,2026-06-30,2026-08-27,70
GNRC,2026-06-30,2026-06-30,2026-08-04,70
CDNS,2026-03-31,2026-03-31,2026-05-01,161
TTMI,2026-06-29,2026-06-29,2026-08-05,71
CENX,2026-06-30,2026-06-30,2026-08-06,70
CLS,2026-06-30,2026-06-30,2026-07-27,70
VIAV,2026-06-27,2026-06-27,2026-08-13,73
ALB,2026-06-30,2026-06-30,2026-08-05,70
FLEX,2026-06-26,2026-06-26,2026-07-31,74
COLL,2026-06-30,2026-06-30,2026-08-06,70
MRCY,2026-07-03,2026-07-03,2026-08-18,67
SAIA,2026-06-30,2026-06-30,2026-07-30,70
QCOM,2026-06-28,2026-06-28,2026-07-29,72
HLIT,2026-07-03,2026-07-03,2026-08-17,67
KRMN,2026-06-30,2026-06-30,2026-08-11,70
PUMP,2026-06-30,2026-06-30,2026-07-30,70
SANM,2026-06-27,2026-06-27,2026-07-27,73
CRDO,2026-08-01,2026-08-01,2026-09-02,38
CLVT,2026-03-31,2026-03-31,2026-04-29,161
MTSI,2026-07-03,2026-07-03,2026-08-06,67
TDC,2026-06-30,2026-06-30,2026-08-05,70
LULU,2026-08-02,2026-08-02,2026-09-03,37
DRS,2026-06-30,2026-06-30,2026-07-30,70
ACLS,2026-06-30,2026-06-30,2026-08-06,70
