ticker,name,rank_old,rank_new,odds_old,odds_new,gate_old_debt,gate_new_inpool,debt_label_new,gate_change,bl_old_pass15,ret_old,ret_new,bl_new_grade,bl_change,concl_old,concl_new,concl_old_3,concl_new_3,flip,withheld_new,above_ma_new,in_pool_1_new,deep_new,why,rank_delta
CRDO,Credo Technology Group Holding Ltd,1.0,1.0,23.115545167317983,23.857176885793194,True,True,淨現金,無變動(兩邊都在池內),True,0.656113543341623,0.7049265597652408,過線(≥17%),無變動,觀察,買入候選,觀察,入選 / 買入候選,True,False,,True,否,"舊「入選」要 200 日線形態為「殺」,新規則只把「線上回調」剔出①池,「線附近」照樣可以升買",0.0
STRL,"STERLING INFRASTRUCTURE, INC.",2.0,3.0,7.9537737472387775,7.96173969786572,True,True,淨現金,無變動(兩邊都在池內),True,0.15154654918897,0.1524866191777587,貼線(13–17%),由過變不過/貼線,不入,"觀察(貼線,不下結論)",不入,觀察,True,False,,True,否,"底線由 15% 二分改三級(17/13);舊結論以折讓格作硬否決,新規則不用折讓格",1.0
FSLR,"First Solar, Inc.",3.0,6.0,3.072203003718989,3.1069842093424285,True,True,淨現金,無變動(兩邊都在池內),False,0.146503684184049,0.1542993551956095,貼線(13–17%),無變動,不入,"觀察(貼線,不下結論)",不入,觀察,True,False,,True,否,"舊結論以折讓格作硬否決,新規則不用折讓格",3.0
COLL,"Collegium Pharmaceutical, Inc.",4.0,8.0,1.6589834052337094,2.1617656905452414,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.5311766114183198,0.5299394721538713,過線(≥17%),無變動,入選,買入候選,入選 / 買入候選,入選 / 買入候選,False,False,,True,否,KARST-195/196 取數與折現率更正,4.0
CENX,Century Aluminum Company,5.0,9.0,1.5885767108292748,1.6117218352410574,True,True,低(≤3 倍),無變動(兩邊都在池內),False,-0.0112187500605523,-0.0061315345556002,不過(<13%),無變動,不入,不入(一年回報不過線),不入,不入,False,False,,True,否,KARST-195/196 取數與折現率更正,4.0
CLS,CELESTICA INC,6.0,,1.3303711454229843,1.3612348201953577,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.1927753063947568,0.204089645635604,過線(≥17%),無變動,不入,"不入池(線上,歸②回調入口)",不入,不入,False,False,"不入池(線上,歸②回調入口)",False,否,"D-174:觸發時價在 200 日線之上,不入①池",
LULU,lululemon athletica inc.,7.0,12.0,0.7931937272078797,0.7683730831637099,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.6147593904438915,0.5998427391214682,過線(≥17%),無變動,入選,買入候選,入選 / 買入候選,入選 / 買入候選,False,False,,True,否,—,5.0
CRUS,"CIRRUS LOGIC, INC.",8.0,16.0,0.1130593671496168,0.125397457250821,True,True,淨現金,無變動(兩邊都在池內),True,0.2287178615397234,0.2343517425167391,過線(≥17%),無變動,不入,買入候選,不入,入選 / 買入候選,True,False,,True,否,"KARST-195/196 取數與折現率更正;舊結論以折讓格作硬否決,新規則不用折讓格",8.0
CRNC,CERENCE INC.,9.0,14.0,0.065765958060215,0.4016734668893443,True,True,低(≤3 倍),無變動(兩邊都在池內),True,0.1901090065351918,0.1968527453749904,過線(≥17%),無變動,入選,買入候選,入選 / 買入候選,入選 / 買入候選,False,False,,True,是,KARST-195/196 取數與折現率更正,5.0
INOD,INNODATA INC,10.0,20.0,-0.0321293700246289,-0.0365608795870689,True,True,淨現金,無變動(兩邊都在池內),True,0.3051462588464531,0.3014604660032951,過線(≥17%),無變動,入選,買入候選,入選 / 買入候選,入選 / 買入候選,False,False,,True,否,KARST-195/196 取數與折現率更正,10.0
