ticker,asof,fl_musd,fl_tags,net_debt_musd,net_debt_fixed_musd,share_of_net_debt,gate_now,gate_after,gate_flips
ADTN,2026-06-30,0.0,,172.7,172.7,0.0,True,True,False
SEDG,2026-06-30,19.2,FinanceLeaseLiabilityNoncurrent,-172.2,-153.1,0.111,True,True,False
INOD,2026-06-30,0.0,,-246.6,-246.6,0.0,True,True,False
VPG,2026-07-04,0.0,,-36.2,-36.2,0.0,True,True,False
LINC,2026-06-30,30.9,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,153.0,183.9,0.202,True,True,False
ARRY,2026-06-30,43.7,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent,401.9,445.6,0.109,True,True,False
UTI,2026-06-30,3.1,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,189.4,192.4,0.016,True,True,False
MRAM,2026-06-30,0.0,,-43.0,-43.0,0.0,True,True,False
CIEN,2026-08-01,5.1,FinanceLeaseLiabilityCurrent,335.7,340.8,0.015,True,True,False
LASR,2026-06-30,0.0,,-315.6,-315.6,0.0,True,True,False
ENPH,2026-03-31,0.0,,-360.1,-360.1,0.0,True,True,False
AAON,2026-06-30,0.0,,452.1,452.1,0.0,False,False,False
STRL,2026-06-30,0.3,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,-94.4,-94.1,0.003,True,True,False
RMBS,2026-03-31,0.0,,-762.7,-762.7,0.0,True,True,False
AIP,2026-06-30,0.0,,-118.1,-118.1,0.0,True,True,False
CLFD,2026-06-30,0.0,,-144.8,-144.8,0.0,True,True,False
CEVA,2026-06-30,0.0,,-198.1,-198.1,0.0,True,True,False
TROX,2026-06-30,41.0,FinanceLeaseLiability,3207.0,3248.0,0.013,False,False,False
LMB,2026-06-30,23.6,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,37.2,60.7,0.633,True,True,False
ON,2026-07-03,23.3,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent,841.0,864.3,0.028,True,True,False
ARM,2026-06-30,21.0,FinanceLeaseLiabilityCurrent,-3441.8,-3420.8,0.006,True,True,False
POWL,2026-06-30,0.0,,-631.0,-631.0,0.0,True,True,False
MEC,2026-06-30,0.0,,152.5,152.5,0.0,False,False,False
MYRG,2026-06-30,1.6,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,-72.3,-70.8,0.022,True,True,False
LUMN,2026-06-30,0.0,,12876.0,12876.0,0.0,True,True,False
ORCL,2026-05-31,7701.0,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,128949.0,136650.0,0.06,False,False,False
AGX,2026-07-31,0.0,,-838.7,-838.7,0.0,True,True,False
DOCN,2026-06-30,409.8,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,633.1,1042.9,0.647,True,False,True
FN,2026-06-26,0.0,,-871.0,-871.0,0.0,True,True,False
MTZ,2026-06-30,388.3,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,3042.8,3431.1,0.128,False,False,False
AMKR,2026-03-31,135.5,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent,-330.9,-195.4,0.41,True,True,False
CRNC,2026-06-30,0.0,,66.0,66.0,0.0,True,True,False
MOD,2026-06-30,2.1,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent,577.9,580.0,0.004,True,True,False
FSLR,2026-06-30,36.9,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,-1569.8,-1533.0,0.023,True,True,False
CRUS,2026-06-27,0.0,,-1036.9,-1036.9,0.0,True,True,False
IPGP,2026-06-30,0.0,,-887.8,-887.8,0.0,True,True,False
IREN,2026-06-30,243.8,FinanceLeaseLiabilityCurrent; FinanceLeaseLiabilityNoncurrent; FinanceLeaseLiability,1700.1,1943.9,0.143,True,True,False
