ticker,g5_old,g5_new,cons_old,cons_new,d_pp,lab_old,lab_new,flips
ADTN,,,0.0788,0.0788,,,,False
SEDG,,,0.113900006,0.113900006,,,,False
INOD,0.3990058898925781,0.4006080627441406,0.2795,0.2795,0.2,市場比指引更樂觀,市場比指引更樂觀,False
VPG,,,0.0769,0.0769,,,,False
LINC,0.9647865295410156,0.9658546447753906,0.088999994,0.088999994,0.1,市場比指引更樂觀,市場比指引更樂觀,False
ARRY,,,0.1201,0.1201,,,,False
UTI,,,0.0844,0.0844,,,,False
MRAM,,,0.1565,0.1565,,,,False
CIEN,0.5954856872558594,0.5966072082519531,0.30110002,0.30110002,0.1,市場比指引更樂觀,市場比指引更樂觀,False
LASR,,,0.1347,0.1347,,,,False
ENPH,1.1060447692871094,1.1106910705566406,0.0641,0.0641,0.5,市場比指引更樂觀,市場比指引更樂觀,False
AAON,0.2649040222167969,0.2823677062988281,0.1659,0.1659,1.7,市場比指引更樂觀,市場比指引更樂觀,False
STRL,0.1187858581542968,0.1193199157714843,0.19860001,0.19860001,0.1,市場比指引更悲觀,市場比指引更悲觀,False
RMBS,0.3311271667480469,0.3304862976074219,0.19940001,0.19940001,-0.1,市場比指引更樂觀,市場比指引更樂觀,False
AIP,,,0.21090001,0.21090001,,,,False
CLFD,,,0.2229,0.2229,,,,False
CEVA,,,0.13,0.13,,,,False
TROX,,,0.0454,0.0454,,,,False
LMB,0.7331123352050781,0.7629661560058594,0.19790001,0.19790001,3.0,市場比指引更樂觀,市場比指引更樂觀,False
ON,0.7121772766113281,0.7100410461425781,0.1288,0.1288,-0.2,市場比指引更樂觀,市場比指引更樂觀,False
ARM,1.1779289245605469,1.176166534423828,0.3623,0.3623,-0.2,市場比指引更樂觀,市場比指引更樂觀,False
POWL,0.3461875915527344,0.3444252014160156,0.2455,0.2455,-0.2,市場比指引更樂觀,市場比指引更樂觀,False
MEC,,,0.1408,0.1408,,,,False
MYRG,1.191120147705078,1.1929893493652344,0.1547,0.1547,0.2,市場比指引更樂觀,市場比指引更樂觀,False
LUMN,,,-0.037100002,-0.037100002,,,,False
ORCL,0.2325401306152343,0.2978019714355469,0.4629,0.4629,6.5,市場比指引更悲觀,市場比指引更悲觀,False
AGX,0.3097114562988281,0.3155326843261719,0.19709998,0.19709998,0.6,市場比指引更樂觀,市場比指引更樂觀,False
DOCN,0.7934608459472656,0.8004570007324219,0.5374,0.5374,0.7,市場比指引更樂觀,市場比指引更樂觀,False
FN,0.3711280822753906,0.3693656921386719,0.1973,0.1973,-0.2,市場比指引更樂觀,市場比指引更樂觀,False
MTZ,,,0.1892,0.1892,,,,False
AMKR,0.5024528503417969,0.5011177062988281,0.1272,0.1272,-0.1,市場比指引更樂觀,市場比指引更樂觀,False
CRNC,0.3384971618652344,0.3409004211425781,-0.076,-0.076,0.2,市場比指引更樂觀,市場比指引更樂觀,False
MOD,0.3954811096191406,0.4107017517089844,0.204,0.204,1.5,市場比指引更樂觀,市場比指引更樂觀,False
