ticker,accession,n_numbers,n_found,found,missing
CRDO,0001628280-26-059795,7,7,202; 525 million; 535 million; 62.9 %; 64.9 %; 67.0 %; 69.0 %,
LULU,0001397187-26-000126,9,6,202; 10.350 billion; 10.500 billion; 9.48; 9.73; 11.000 billion,11.150 billion; 10.95; 11.15
FN,0001408710-26-000026,5,5,17; 202; 25; 1.375 billion; 1.425 billion,
CRNC,0001628280-26-054286,9,9,202; 30; 61 million; 65 million; 310 million; 314 million; 305 million; 320 million; 312.5 million,
ON,0001140361-26-030989,5,5,"202; 1,650; 1,750 million; 0.81; 0.93",
ARM,0001973239-26-000113,8,8,27; 1.38 bn; 50 m; 780 m; 0.47; 0.04; 29 %; 0.45,
POWL,0000080420-26-000103,1,1,202,
MEC,0001104659-26-090424,3,3,202; 25 million; 35 million,
AIP,0001628280-26-054325,8,8,102.0; 106.0; 95.0; 98.0; 7.0; 10.0; 5.0; 9.0,
IREN,0001878848-26-000051,2,2,202; 26,
CLVT,0001764046-26-000090,1,1,202,
