ticker,label_team,label_recheck,ruler_team,ruler_recheck,agree,guidance,label_raw,implied_g5,consensus,target_premium,gap_pp
ADTN,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀,,0.0788,0.944,
SEDG,與指引重疊,與指引重疊,第二把尺(目標價溢價),第二把尺,True,拿到,與指引重疊,,0.113900006,0.042,
INOD,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到,市場比指引更樂觀,0.3991127014160156,0.2795,1.185,12.0
VPG,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀,,0.0769,0.423,
LINC,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到,市場比指引更樂觀,0.9643592834472656,0.088999994,1.078,87.5
ARRY,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀,,0.1201,0.866,
UTI,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀(有保留——指引剛下調),,0.0844,0.903,
MRAM,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀,,0.1565,0.498,
CIEN,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到,市場比指引更樂觀,0.5985832214355469,0.30110002,0.46,29.7
LASR,市場比指引更悲觀,市場比指引更悲觀,第二把尺(目標價溢價),第二把尺,True,拿到,市場比指引更悲觀(留意供應鏈延誤),,0.1347,1.108,
ENPH,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到,市場比指引更樂觀,1.1062049865722656,0.0641,0.382,104.2
AAON,市場比指引更樂觀,市場比指引更樂觀,第一把尺(隱含增速),第一把尺,True,拿到,市場比指引更樂觀,0.2826347351074219,0.1659,0.782,11.7
STRL,市場比指引更悲觀,市場比指引更悲觀,第一把尺,第一把尺,True,拿到(上調),市場比指引更悲觀,0.1201210021972656,0.19860001,0.746,-7.8
RMBS,市場比指引更樂觀,市場比指引更樂觀,第一把尺,第一把尺,True,"拿到(隱含上調,滾動季度指引)",市場比指引更樂觀,0.3080024719238281,0.19940001,0.674,10.9
