rank,ticker,name,price,price_date,ma200_form,discount_grade,debt_gate,debt_note,kill_type,peer_basis,peer_n,A_conclusion,n1_implied_g5,consensus_rev_growth,n2_per_share,n2_upside,n2_unreliable,n3_ret_1y,stress_drop,stress_floor_applied,odds,mispricing_label,label_ruler,label_guidance,label_note,pass_bottom_line,position_pct,ps_now,ps_p50_4y,ps_p50_1y,ps_p25_1y,net_debt,ocf_ttm,rev_ttm,op_margin,diluted_shares,shares_src,debt_fixed,shares_fixed,debt_doubt,asof
1.0,CRDO,Credo Technology Group Holding Ltd,174.7100067138672,2026-09-08,線附近,"只過一把(重估已完成,不是折讓)",True,淨現金 738 百萬,行業殺,四位 SIC 3674,96,觀察,0.1759834289550781,0.5473,2312.297670214405,12.235061423822108,,0.6374736713654885,-0.5358634366221902,True,22.832424434377717,市場比指引更悲觀,第一把尺,"拿到(只有下季指引,無法判升降)",,True,0.0373229420653698,21.34432507253288,26.612194540893032,35.192794658893405,30.63605778128777,-738053000.0,500355000.0,1591045000.0,0.3173782011193901,194378000.0,XBRL 未拆季 2026-05-03→2026-08-01,False,False,False,2026-08-01
2.0,STRL,"STERLING INFRASTRUCTURE, INC.",504.3999938964844,2026-09-08,線附近,都不過,True,淨現金 94 百萬,混合,四位 SIC 1600,11,不入,0.1201210021972656,0.19860001,2665.4437350535964,4.284384947079545,,0.147459954843478,-0.5410268172905632,True,7.918988135441312,市場比指引更悲觀,第一把尺,拿到(上調),,False,0.0369667442737109,4.568443498073924,1.58081325698394,5.268316499854909,4.780418978910197,-94402000.0,597698000.0,3438486000.0,0.1751791340723795,31143000.0,XBRL 未拆季 2026-04-01→2026-06-30,False,False,False,2026-06-30
3.0,FSLR,"First Solar, Inc.",215.08999633789065,2026-09-08,殺,都不過,True,淨現金 1570 百萬,行業殺,四位 SIC 3674,96,不入,0.0244712829589843,0.174,461.3589992535751,1.1449579576393405,,0.1444248532543248,-0.3739512788902935,True,3.0617837731081483,市場比指引更悲觀,第一把尺(隱含增速),拿到(維持),,False,0.0534829030652076,4.308622085032651,5.180734374897618,4.9555486683787935,4.199779853282996,-1569820000.0,2155743000.0,5378071000.0,0.3364964873092973,107732000.0,XBRL 未拆季 2026-04-01→2026-06-30,False,False,False,2026-06-30
4.0,COLL,"Collegium Pharmaceutical, Inc.",23.315000534057617,2026-09-08,殺,兩把尺都過,True,淨負債 ÷ 營運現金流 2.93 倍,個別殺,四位 SIC 2834,485,入選,0.0455665588378906,-0.0104,43.9388865914365,0.8845758346542749,,0.5333463670540424,-0.5322030404759738,True,1.6621021816469854,市場比指引更樂觀,第一把尺(-23.6pp),拿到(全年收入及 EBITDA 指引下調),"主線改判:子隊用了取數更正前的隱含增速,差距由 −23.6pp 變成 +5.6pp,方向掉轉",True,0.0375796425028182,0.9364212838538204,1.7978959643852763,1.521096361792538,1.4030616596417704,967058000.0,329922000.0,808208000.0,0.1947988636588601,32460783.0,XBRL 未拆季 2026-04-01→2026-06-30,True,False,False,2026-06-30
5.0,CENX,Century Aluminum Company,48.459999084472656,2026-09-08,線附近,都不過,True,淨負債 ÷ 營運現金流 0.86 倍,個別殺,兩位 SIC 33,43,不入,-0.0289878845214843,0.22670001,78.59536513273636,0.6218606400659126,,-0.0160639741753116,-0.3965391591423881,True,1.568219999787251,市場比指引更悲觀,第一把尺(-27.8pp),"拿到(僅 EBITDA 指引,按季小幅提高,不設收入指引)",,False,0.0504363807177451,1.9040971445908568,0.7934686271467394,1.8935042780575868,1.3496447236914384,292600000.0,340800000.0,2667200000.0,0.2528869226154769,104800000.0,XBRL 未拆季 2026-04-01→2026-06-30,True,False,False,2026-06-30
6.0,CLS,CELESTICA INC,335.17999267578125,2026-09-08,回調,都不過,True,淨負債 ÷ 營運現金流 0.39 倍,行業殺,四位 SIC 3672,11,不入,0.3288841247558594,0.708,515.6775530369794,0.5385093511109207,終值佔比 >150%,0.1853734426939275,-0.4120025558795015,True,1.307053423397739,市場比指引更悲觀,第一把尺(-38.8pp),拿到(全年收入指引大幅上調至 205 億美元),,True,0.0485433881770612,2.4975417710683754,2.6749531643726105,2.975322285880425,2.697123756829536,445500000.0,1144000000.0,15594500000.0,0.0878386610664016,116200000.0,XBRL 未拆季 2026-04-01→2026-06-30,True,False,False,2026-06-30
7.0,LULU,lululemon athletica inc.,103.3302993774414,2026-09-08,殺,兩把尺都過,True,淨負債 ÷ 營運現金流 0.38 倍,混合,四位 SIC 2300,16,入選,-0.0635414123535156,0.0005,145.52637608970886,0.4083611193086265,,0.5976874016526674,-0.5339540562593265,True,0.7647869971612258,市場比指引更悲觀,第一把尺,拿到(明確下調),,True,0.0374564061562003,1.0517398056330052,4.567339844905922,1.6934899996142712,1.2400027769929052,751390000.0,1982033000.0,11093955000.0,0.178365154717141,112919000.0,XBRL 未拆季 2026-05-04→2026-08-02,False,False,False,2026-08-02
8.0,CRUS,"CIRRUS LOGIC, INC.",111.5250015258789,2026-09-08,殺,都不過,True,淨現金 1037 百萬,行業殺,四位 SIC 3674,96,不入,0.0475959777832031,0.060500003,116.22710596958169,0.0421618863875259,,0.2260014659476603,-0.3936276855341728,True,0.1071110796749728,與指引重疊,第一把尺(隱含增速),"拿到(逐季新指引,無比較字眼)",,True,0.0508094342318909,2.848367135266992,2.787055260670763,3.540901786576752,3.2622116116919053,-1036854000.0,598595000.0,2049830000.0,0.2304688681500417,52353000.0,XBRL 未拆季 2026-03-29→2026-06-27,False,False,False,2026-06-27
9.0,AGX,ARGAN INC,438.5799865722656,2026-09-08,線附近,"只過一把(重估已完成,不是折讓)",True,淨現金 1022 百萬,行業殺,四位 SIC 1700,18,觀察,0.2885093688964844,0.19709998,440.6276797023827,0.0046689160308497,,0.2484113294601955,-0.4931438154314579,True,0.0094676560564078,市場比指引更樂觀,第一把尺(隱含增速),沒有給指引(僅有積壓訂單數字),,True,0.0405561204949954,5.228410396655568,1.355889283252668,6.559842808123547,5.045623989344313,-1022059000.0,555177000.0,1188133000.0,0.1536056990252775,14164000.0,XBRL 未拆季 2026-05-01→2026-07-31,False,False,False,2026-07-31
10.0,INOD,INNODATA INC,56.18999862670898,2026-09-08,殺,兩把尺都過,True,淨現金 247 百萬,混合,四位 SIC 7374,70,入選,0.3991127014160156,0.2795,54.82669999348519,-0.0242623005257696,,0.2998544752091852,-0.6303251436805135,True,-0.0384917225165734,市場比指引更樂觀,第一把尺(隱含增速),拿到,,True,0.0317296560362776,6.1601645907142615,7.963087150669559,8.083735662583495,6.345674394850863,-246622000.0,196203000.0,317164000.0,0.1257172945227075,34771000.0,XBRL 未拆季 2026-04-01→2026-06-30,False,False,False,2026-06-30
