ticker,price,price_date,ret_win,rel_spy_win,ma200,px_vs_ma200,ma200_slope_40d,ma200_form,mdd_1y,debt_fixed,debt_before_fix,debt_after_fix,debt_est_combined,debt_est_parts,cash_before_fix,invest_before_fix,cash_after_fix,invest_after_fix,cash_src,cash_fixed,debt_yf,debt_gap_vs_yf,debt_doubt,name,asof,rev_ttm,op_margin,rev_growth_yoy,net_debt,ocf_ttm,net_debt_to_ocf,debt_gate,debt_note,diluted_shares,sbc_ttm,fin_notes,shares_src,shares_before_fix,shares_fixed,ps_now,ps_p50_4y,ps_p50_1y,ps_p25_1y,ps_ratio_4y,ps_ratio_1y,discount_grade,peer_n,peer_med,peer_basis,kill_type,self_rel_0904,n1_implied_g5,n2_per_share,n2_upside,n2_terminal_share,n2_unreliable,dilution_1y,n3_ret_1y,n3_ret_1y_p25,g_ref_used,margin_used,stress_price,stress_drop_raw,stress_drop,stress_floor_applied,odds,pass_bottom_line,position_pct,A_conclusion,consensus_growth_key,consensus_rev_growth,mispricing_label_auto,gap_vs_consensus_pp
ADTN,7.505000114440918,2026-09-08,-0.5800223972030394,-0.5894748244356276,11.411075003147126,-0.34230560114879005,-0.004195336006779682,殺,-0.6340206162761535,True,0.0,218822000.0,0.0,218822000.0,79236000.0,1016000.0,79236000.0,1016000.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30; LongTermInvestments@2026-06-30,False,242664000.0,0.10895613786547975,False,"ADTRAN Holdings, Inc.",2026-06-30,1138227000.0,-0.0017623901032043697,0.15747817704053824,172662000.0,93011000.0,1.8563610755717066,True,淨負債 ÷ 營運現金流 1.86 倍,80948000.0,8844000.0,"警告:短期投資 的候選標籤(ShortTermInvestments/AvailableForSaleSecuritiesDebtSecuritiesCurrent/MarketableSecuritiesCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2023-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2019-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:長期有息負債 的候選標籤(LongTermDebtNoncurrent/ConvertibleDebtNoncurrent/LongTermDebt)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2019-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2022-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,80948000.0,False,0.5337377774940881,0.7647258370336221,0.7614331562548303,0.6842775425345788,0.6979465733294189,0.7009647177952165,兩把尺都過,8,-0.324586705798589,四位 SIC 3661,行業殺,-0.6206603791206837,,-11.39256170200023,,0.027461590951180937,現時營業利潤率 ≤ 0; 每股值無解或 ≤ 0,0.01455767125113899,0.4061352713492179,0.2636523377608462,0.15747817704053824,-0.0017623901032043697,8.659594517046196,0.1538433557627319,-0.6340206162761535,True,,True,0.03154471556061959,入選,+1y,0.0788,資料不足,
SEDG,37.0099983215332,2026-09-08,-0.5117414666030817,-0.5211938938356699,42.05430002212525,-0.11994734659566753,0.0017173938403600708,線附近,-0.620175788008761,False,332332000.0,332332000.0,0.0,332332000.0,527257000.0,19685000.0,527257000.0,19685000.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30; MarketableSecuritiesCurrent@2026-06-30,False,407353000.0,0.22574112634353605,False,"SOLAREDGE TECHNOLOGIES, INC.",2026-06-30,1332281000.0,-0.11600330560895186,0.4164748485212548,-172233000.0,114081000.0,-1.5097430772871907,True,淨現金 172 百萬,61045194.0,81407000.0,"警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2014-06-30,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:短期經營租賃負債 的候選標籤(OperatingLeaseLiabilityCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2024-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2019-09-30,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,61045194.0,False,1.695800305999762,2.2115433614634736,2.1285653569322087,1.8724160954820055,0.7667949611793177,0.7966869800248142,兩把尺都過,96,-0.2838534137480125,四位 SIC 3674,行業殺,-0.566786962099924,,-292.56159296588066,,0.4254810444726814,現時營業利潤率 ≤ 0; 每股值無解或 ≤ 0,0.03603223545967278,0.21154349989975563,0.06574766060197246,0.4164748485212548,-0.11600330560895186,36.77809508303594,-0.006265961875559833,-0.620175788008761,True,,True,0.032248921010307914,觀察,+1y,0.113900006,資料不足,
INOD,55.959999084472656,2026-09-08,-0.5147415952778203,-0.5241940225104085,60.75535009384155,-0.07892886802499022,-0.042355676936087994,殺,-0.6303251436805135,False,0.0,0.0,0.0,0.0,240278000.0,10093000.0,240278000.0,10093000.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30; ShortTermInvestments@2026-06-30,False,3832000.0,,False,INNODATA INC,2026-06-30,317164000.0,0.1257172945227075,0.3902104400348907,-246622000.0,196203000.0,-1.256973644643558,True,淨現金 247 百萬,34771000.0,18646000.0,"警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2022-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:長期有息負債 的候選標籤(LongTermDebtNoncurrent/ConvertibleDebtNoncurrent/LongTermDebt)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2022-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,34771000.0,False,6.134949515601388,7.963087150669559,8.083735662583495,6.345674394850863,0.7704235052966291,0.7589250529303811,兩把尺都過,70,-0.051226048821965756,四位 SIC 7374,混合,-0.5353173345770128,0.3976173400878906,54.82669999348519,-0.020251949777138623,1.0282838842938609,,0.009582764165523706,0.3051462588464531,0.02453043270967914,0.3902104400348907,0.1257172945227075,52.093915227966725,-0.06908656039593575,-0.6303251436805135,True,-0.03212937002462894,True,0.03172965603627768,入選,+1y,0.2795,市場比指引更樂觀,11.81173400878906
VPG,65.36000061035156,2026-09-08,-0.48225600668273083,-0.49170843391531904,68.545799741745,-0.04647694159811888,0.15481539603108763,線附近,-0.5967580595942674,True,15640000.0,16000000.0,16000000.0,15640000.0,75702000.0,0.0,75702000.0,0.0,CashAndCashEquivalentsAtCarryingValue@2026-07-04,False,39253000.0,1.4533125,False,"Vishay Precision Group, Inc.",2026-07-04,328589000.0,0.034222082906001115,0.11279725821418163,-36233000.0,2846000.0,-12.731201686577652,True,淨現金 36 百萬,13320430.0,2290000.0,"缺資本開支標籤。; 警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-07-04)前後 200 日內的資料,最新只到 2024-06-29,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",yfinance 現時股數(XBRL 0.0M 與市場股數相差 >25%),13310.0,True,2.6495814313021593,1.304100077854545,2.0288374811857275,1.6935220220905245,2.031731671744969,1.3059604112566208,都不過,6,-0.33740622897739925,四位 SIC 3670,行業殺,-0.5188456500889558,,5.980764192739533,-0.9084950407452672,1.9651727499476228,終值佔比 >150%,0.005,-0.23808955689211264,-0.3640140591695641,0.11279725821418163,0.034222082906001115,37.598293519430904,-0.42475071651887075,-0.5967580595942674,True,-1.5223841993235048,False,0.033514419585045724,不入,+1y,0.0769,資料不足,
LINC,25.34000015258789,2026-09-08,-0.4869406668205213,-0.4963930940531095,35.90905011177063,-0.2943283079414655,0.07718694131826243,線附近,-0.5635776023010955,False,26000000.0,26000000.0,0.0,26000000.0,44178000.0,0.0,44178000.0,0.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30,False,228099000.0,7.773038461538462,True,LINCOLN EDUCATIONAL SERVICES CORPORATION,2026-06-30,570778000.0,0.05911054735816727,0.2202290476159936,153023000.0,94023000.0,1.6275060357572084,True,淨負債 ÷ 營運現金流 1.63 倍,31418794.0,5999000.0,"警告:短期投資 的候選標籤(ShortTermInvestments/AvailableForSaleSecuritiesDebtSecuritiesCurrent/MarketableSecuritiesCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2023-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2021-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,31418794.0,False,1.3948544701339707,0.8322462430752535,1.7095656663009482,1.456878074237266,1.6760117353967374,0.815911607041144,都不過,41,-0.1404613325620192,四位 SIC 8200,混合,-0.4988408672153929,0.9601936340332031,5.443025315971279,-0.7852002650672676,1.605570951743624,終值佔比 >150%,0.007534991001441749,0.21645696900840172,0.03665481901967649,0.2202290476159936,0.05911054735816727,23.82009182501717,-0.05998059662266808,-0.5635776023010955,True,-1.393242495552136,True,0.03548757068829512,不入,+1y,0.088999994,市場比指引更樂觀,87.11936400332031
ARRY,4.809000015258789,2026-09-08,-0.4547618841664107,-0.46421431139899894,7.8233949875831605,-0.385305225814195,-0.0802660406652973,殺,-0.635451495016055,False,657749000.0,657749000.0,670000000.0,657749000.0,307302000.0,0.0,307302000.0,0.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30,False,752886000.0,0.14464028071498403,True,"ARRAY TECHNOLOGIES, INC.",2026-06-30,1185012000.0,-0.05129146371513538,0.01175502286457819,401906000.0,162861000.0,2.467785412099889,True,淨負債 ÷ 營運現金流 2.47 倍,155685000.0,17395000.0,,XBRL 未拆季 2026-04-01→2026-06-30,155685000.0,False,0.6317988065737432,1.3607801196584315,0.9933849923318042,0.8535062692189476,0.464291620259951,0.6360059910817676,兩把尺都過,96,-0.2838534137480125,四位 SIC 3674,行業殺,-0.4964323317460182,,-6.772226718030569,,0.34386085658545074,現時營業利潤率 ≤ 0; 每股值無解或 ≤ 0,0.02323394107727774,0.5366107102380562,0.3202402740740211,0.01175502286457819,-0.05129146371513538,5.8468937533462775,0.2158231929287353,-0.635451495016055,True,,True,0.03147368470585578,入選,+1y,0.1201,資料不足,
UTI,21.989999771118164,2026-09-08,-0.46871224703091385,-0.47816467426350207,33.2876501083374,-0.33939464938047903,-0.001817186072235688,殺,-0.592773436117568,False,160034000.0,160034000.0,160256000.0,160034000.0,130060000.0,40060000.0,130060000.0,40060000.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30; ShortTermInvestments@2026-06-30,False,359471000.0,1.2462164290088356,True,"UNIVERSAL TECHNICAL INSTITUTE, INC",2026-06-30,883595000.0,0.050087426932022026,0.0914886625852962,189351000.0,74506000.0,2.5414194829946584,True,淨負債 ÷ 營運現金流 2.54 倍,55935000.0,12175000.0,,XBRL 未拆季 2026-04-01→2026-06-30,55935000.0,False,1.392052509574516,1.3076125633544404,2.1979270987774258,1.8408126460000767,1.0645756614661612,0.6333478987309592,"只過一把(重估已完成,不是折讓)",41,-0.1404613325620192,四位 SIC 8200,混合,-0.4816128227886777,,2.6323406355994003,-0.8802937397454302,0.8612881585451381,,0.00989828838207449,0.5634357190168262,0.3094120566488534,0.0914886625852962,0.050087426932022026,26.171083667617665,0.19013569531687624,-0.592773436117568,True,-1.4850424902826393,True,0.03373970353832335,觀察,+1y,0.0844,資料不足,
MRAM,16.81999969482422,2026-09-08,-0.4413816222560405,-0.4508340494886287,15.566899981498718,0.08049770441223436,0.08791540892861627,回調,-0.7062031175118362,False,905000.0,905000.0,0.0,905000.0,43896000.0,0.0,43896000.0,0.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30,False,2833000.0,2.130386740331492,False,"Everspin Technologies, Inc.",2026-06-30,62471000.0,-0.15549615021369917,0.20892114175133036,-42991000.0,4234000.0,-10.15375531412376,True,淨現金 43 百萬,23882618.0,5454000.0,"缺折舊攤銷標籤。; 警告:短期經營租賃負債 的候選標籤(OperatingLeaseLiabilityCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2021-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:長期經營租賃負債 的候選標籤(OperatingLeaseLiabilityNoncurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2021-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,23882618.0,False,6.430273686536207,3.1057801248036254,5.075534769201451,4.101431247190411,2.070421416887258,1.2669155032796477,都不過,96,-0.2838534137480125,四位 SIC 3674,行業殺,-0.4743010739677417,,-12.577428861874422,,0.4058992230329512,現時營業利潤率 ≤ 0; 每股值無解或 ≤ 0,0.01357710628633288,-0.22125448798604774,-0.37071238365571546,0.20892114175133036,-0.15549615021369917,9.655493392680357,-0.4259516309235424,-0.7062031175118362,True,,False,0.02832046404788746,不入,+1y,0.1565,資料不足,
CIEN,348.6199951171875,2026-09-08,-0.3879671984647184,-0.3974196256973066,377.972749710083,-0.07765838837696626,0.12921748710652392,線附近,-0.49368422415458035,False,3229843000.0,3229843000.0,0.0,3229843000.0,2445708000.0,397846000.0,2445708000.0,499338000.0,CashAndCashEquivalentsAtCarryingValue@2026-08-01; AvailableForSaleSecuritiesDebtSecurities@2026-08-01,True,1580580000.0,-0.5106325601584969,False,Ciena Corp,2026-08-01,6020894000.0,0.1227314415433987,0.32571067467993364,335691000.0,1054683000.0,0.3182861580209409,True,淨負債 ÷ 營運現金流 0.32 倍,145967000.0,212007000.0,,XBRL 未拆季 2026-05-03→2026-08-01,145967000.0,False,8.451737371106436,2.216668991494645,9.748781668984266,6.563257956661654,3.812809852772668,0.866953190468469,都不過,8,-0.324586705798589,四位 SIC 3661,行業殺,-0.4544307974839893,0.5979957580566406,151.35276632759815,-0.565851734130392,0.9699287673440716,,0.005,0.14772618240693802,-0.2273062158406003,0.32571067467993364,0.1227314415433987,243.6510471993312,-0.30109847222782304,-0.49368422415458035,True,-1.1461815193697882,False,0.040511725960555876,不入,+1y,0.30110002,市場比指引更樂觀,29.68957380566406
LASR,41.790000915527344,2026-09-08,-0.4079059247468021,-0.4173583519793903,57.375125102996826,-0.2716355591293593,0.09887981649909516,線附近,-0.5363154702212911,False,0.0,0.0,0.0,0.0,295761000.0,34686000.0,295761000.0,34686000.0,CashAndCashEquivalentsAtCarryingValue@2026-06-30; AvailableForSaleSecuritiesDebtSecuritiesCurrent@2026-06-30,False,14843000.0,,False,"NLIGHT, INC.",2026-06-30,310699000.0,-0.0546831499296747,0.4323668936393854,-315604000.0,53151000.0,-5.937875110534138,True,淨現金 316 百萬,56983000.0,42833000.0,"警告:短期有息負債 的候選標籤(LongTermDebtCurrent/DebtCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2021-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:長期有息負債 的候選標籤(LongTermDebtNoncurrent/ConvertibleDebtNoncurrent/LongTermDebt)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2021-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。",XBRL 未拆季 2026-04-01→2026-06-30,56983000.0,False,7.664394227755785,3.4294096574454884,11.539204284471781,8.548251474874695,2.2349019199604365,0.6642047440021234,"只過一把(重估已完成,不是折讓)",96,-0.2838534137480125,四位 SIC 3674,行業殺,-0.4503913996900188,,-43.89269160824119,,0.3271586958442255,現時營業利潤率 ≤ 0; 每股值無解或 ≤ 0,0.017987085648325157,0.478957718748132,0.09561302399152005,0.4323668936393854,-0.0546831499296747,41.94829802735699,0.0037879183623283907,-0.5363154702212911,True,,True,0.03729148441634124,觀察,+1y,0.1347,資料不足,
