ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd,buildable,name_sec,cik,asof,rev_ttm,ebit_ttm,cash,investments,debt,lease_debt,short_debt,net_debt,ocf_ttm,capex_ttm,sbc_ttm,diluted_shares,fin_notes,gate_ocf,net_debt_to_ocf,debt_label,refi_cover_label,transparent_label,note,gate_liquidity,in_pool
PL,46.459999084472656,18.1200008392334,-0.6099870599160373,-0.6279613490083755,26.977649993896485,-0.3283328665271834,0.0525724923038268,150125919.2492485,Planet Labs PBC,1836833,3663.0,Radio & Tv Broadcasting & Communications Equipment,,,,True,Planet Labs PBC,0001836833,2026-04-30,335612000.0,-107190000.0,368090000.0,362745000.0,0.0,40466000.0,0.0,-690369000.0,132456000.0,85905000.0,58914000.0,345524328.0,取數標籤:有息負債 0M = (無)(其中融資租賃 0M = (無));現金 368M = CashAndCashEquivalentsAtCarryingValue@2026-04-30 368M;投資 363M = AvailableForSaleSecuritiesDebtSecuritiesCurrent@2026-04-30 363M;經營租賃 40M;稀釋股數 345.5M(XBRL 未拆季 2026-02-01→2026-04-30)。,True,-5.212062873709005,淨現金,充裕,齊,,True,True
MX,7.829999923706055,3.0899999141693115,-0.6053639917908493,-0.6233382808831875,3.605650008916855,-0.1430116881761483,0.0271602070413914,3317260.0353240967,MAGNACHIP SEMICONDUCTOR Corp,1325702,3674.0,Semiconductors & Related Devices,111355836.80906224,36510111.0,112816239.85631204,True,Magnachip Semiconductor Corporation,0001325702,2018-09-30,749067000.0,47195000.0,133482000.0,0.0,305039000.0,0.0,0.0,171557000.0,29075000.0,32267000.0,4615000.0,36454812.0,取數標籤:有息負債 305M = LongTermDebtNoncurrent@2018-09-30 305M(其中融資租賃 0M = (無));現金 133M = CashAndCashEquivalentsAtCarryingValue@2018-09-30 133M;投資 0M = (無);經營租賃 0M;稀釋股數 36.5M(XBRL 未拆季 2026-04-01→2026-06-30)。,True,5.900498710232158,中(3–6 倍),充裕,齊,,True,True
ADTN,17.8700008392334,7.099999904632568,-0.6026860900283455,-0.6206603791206837,11.40980000257492,-0.3777279266042992,-0.0086033551937377,18708499.975585938,"ADTRAN Holdings, Inc.",926282,3661.0,Telephone & Telegraph Apparatus,612740179.0858655,81481407.0,578517981.9293275,True,"ADTRAN Holdings, Inc.",0000926282,2026-06-30,1138227000.0,-2006000.0,79236000.0,1016000.0,218822000.0,34092000.0,0.0,172662000.0,93011000.0,36093000.0,8844000.0,80948000.0,"警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2022-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 219M = ConvertibleLongTermNotesPayable@2026-06-30 194M+LongTermLineOfCredit@2026-06-30 25M(其中融資租賃 0M = (無));現金 79M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 79M;投資 1M = LongTermInvestments@2026-06-30 1M;經營租賃 34M;稀釋股數 80.9M(XBRL 未拆季 2026-04-01→2026-06-30)。",True,1.8563610755717066,低(≤3 倍),充裕,齊,,True,True
SSTK,13.335745811462402,5.739999771118164,-0.5695778959595577,-0.5875521850518959,14.214164035320282,-0.5961774637709936,-0.1742313759575552,6731176.958036423,"Shutterstock, Inc.",1549346,7374.0,Services-Computer Processing & Data Preparation,212449183.0,36947684.0,212079697.70334625,True,"SHUTTERSTOCK, INC.",0001549346,2026-06-30,901286000.0,-156063000.0,133208000.0,0.0,273269000.0,21853000.0,158112000.0,161914000.0,132594000.0,42446000.0,53475000.0,36703000.0,取數標籤:有息負債 273M = LongTermDebtCurrent@2026-06-30 158M; LongTermDebtNoncurrent@2026-06-30 115M(其中融資租賃 0M = (無));現金 133M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 133M;投資 0M = (無);經營租賃 22M;稀釋股數 36.7M(XBRL 未拆季 2026-04-01→2026-06-30)。,True,1.2211261444710921,低(≤3 倍),不足(現金投資 < 短債 ×2),齊,,True,True
TE,10.40999984741211,4.599999904632568,-0.5581171976889017,-0.5760914867812399,6.511350013017655,-0.2935412939811048,0.0312441533275433,212873642.0208931,T1 Energy Inc.,1992243,3674.0,Semiconductors & Related Devices,1260575904.2742376,294527066.0,1354824475.5117102,True,T1 Energy Inc.,0001992243,2026-06-30,996851000.0,-227031000.0,79109000.0,0.0,549947000.0,228554000.0,49593000.0,699392000.0,3867000.0,188677000.0,14707000.0,280129000.0,"警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2024-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 550M = LongTermDebt@2026-06-30 550M(其中融資租賃 0M = (無));現金 79M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 79M;投資 0M = (無);經營租賃 229M;稀釋股數 280.1M(XBRL 未拆季 2026-04-01→2026-06-30)。",True,180.86164985777089,高(>6 倍),不足(現金投資 < 短債 ×2),齊,,True,True
SEDG,75.80000305175781,34.20000076293945,-0.5488126730075857,-0.566786962099924,42.04325002670288,-0.1865519259044424,0.0001938119945608,104235397.37625122,"SOLAREDGE TECHNOLOGIES, INC.",1419612,3674.0,Semiconductors & Related Devices,1998971655.7889247,61525748.0,2104180628.5404203,True,"SOLAREDGE TECHNOLOGIES, INC.",0001419612,2026-06-30,1332281000.0,-154549000.0,527257000.0,19685000.0,351503000.0,42377000.0,0.0,-153062000.0,114081000.0,24085000.0,81407000.0,61045194.0,"警告:短期經營租賃負債 的候選標籤(OperatingLeaseLiabilityCurrent)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2024-12-31,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2026-06-30)前後 200 日內的資料,最新只到 2019-09-30,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 352M = ConvertibleDebtNoncurrent@2026-06-30 332M(其中融資租賃 19M = FinanceLeaseLiabilityNoncurrent@2026-06-30 19M);現金 527M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 527M;投資 20M = MarketableSecuritiesCurrent@2026-06-30 20M;經營租賃 42M;稀釋股數 61.0M(XBRL 未拆季 2026-04-01→2026-06-30)。",True,-1.3416958126243634,淨現金,充裕,齊,,True,True
MVST,1.4600000381469729,0.6909999847412109,-0.5267123515844384,-0.5446866406767766,1.9018349972367288,-0.636666700452353,-0.2872412750876376,4453026.585543156,"Microvast Holdings, Inc.",1760689,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",265328794.42319837,384534486.0,265713323.9584694,True,"Microvast Holdings, Inc.",0001760689,2025-09-30,432505000.0,35869000.0,90748000.0,0.0,175983000.0,17925000.0,0.0,103160000.0,65587000.0,19546000.0,2828000.0,348949000.0,"警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2025-09-30)前後 200 日內的資料,最新只到 2023-09-30,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 176M = NotesPayableCurrent@2025-09-30 57M+ShortTermBorrowings@2025-09-30 84M; LongTermDebt@2025-09-30 34M(其中融資租賃 0M = (無));現金 91M = CashAndCashEquivalentsAtCarryingValue@2025-09-30 91M;投資 0M = (無);經營租賃 18M;稀釋股數 348.9M(XBRL 未拆季 2026-04-01→2026-06-30)。",True,1.5728726729382347,低(≤3 倍),充裕,齊,,True,True
INOD,115.31999969482422,55.65999984741211,-0.5173430454846746,-0.5353173345770128,60.75250009536743,-0.0838237149082139,-0.0385694360598594,76894227.76565552,INNODATA INC,903651,7374.0,Services-Computer Processing & Data Preparation,1878668029.6544952,34382651.0,1913738349.413624,True,INNODATA INC,0000903651,2026-06-30,317164000.0,39873000.0,240278000.0,10093000.0,0.0,3832000.0,0.0,-246622000.0,196203000.0,12355000.0,18646000.0,34771000.0,取數標籤:有息負債 0M = (無)(其中融資租賃 0M = (無));現金 240M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 240M;投資 10M = ShortTermInvestments@2026-06-30 10M;經營租賃 4M;稀釋股數 34.8M(XBRL 未拆季 2026-04-01→2026-06-30)。,True,-1.256973644643558,淨現金,充裕,齊,,True,True
ABTC,16.200000762939453,7.989999771118164,-0.5067901608130296,-0.5247644499053679,18.197799963951116,-0.5609359490187861,-0.4281976911750598,9715604.389381409,American Bitcoin Corp.,1755953,6199.0,Finance Services,651654925.7440166,82802406.0,661591204.9880333,True,American Bitcoin Corp.,0001755953,2023-09-30,,-12894026.0,1405000.0,0.0,7733271.0,0.0,7733271.0,6328271.0,2614177.0,0.0,-455556.0,71487408.0,"缺資本開支標籤。; 警告:少數股東權益 的候選標籤(MinorityInterest)全部缺 asof(2023-09-30)前後 200 日內的資料,最新只到 2020-06-30,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 8M = LongTermDebt@2023-09-30 8M(其中融資租賃 0M = (無));現金 1M = CashAndCashEquivalentsAtCarryingValue@2023-09-30 1M;投資 0M = (無);經營租賃 0M;稀釋股數 71.5M(XBRL 未拆季 2026-04-01→2026-06-30)。",True,2.420750775483068,低(≤3 倍),不足(現金投資 < 短債 ×2),資料不足(缺收入或營業利潤),,True,True
CABO,51.34000015258789,25.46999931335449,-0.5038956128232378,-0.521869901915576,77.0565500831604,-0.6694635396229529,-0.22000988636588,8450871.801757812,"Cable One, Inc.",1632127,4841.0,Cable & Other Pay Television Services,161763603.0486584,5673925.0,144514865.8540249,True,"Cable One, Inc.",0001632127,2026-06-30,1441634000.0,-252017000.0,166191000.0,0.0,3076411000.0,7656000.0,0.0,2917876000.0,541129000.0,288173000.0,33796000.0,5698814.0,取數標籤:有息負債 3076M = LongTermDebtAndCapitalLeaseObligationsCurrent@2026-06-30 18M; LongTermDebt@2026-06-30 3055M(其中融資租賃 3M = FinanceLeaseLiability@2026-06-30 3M);現金 166M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 166M;投資 0M = (無);經營租賃 8M;稀釋股數 5.7M(XBRL 未拆季 2026-04-01→2026-06-30)。,True,5.392200381055164,中(3–6 倍),充裕,齊,,True,True
VPG,126.23999786376952,63.0099983215332,-0.5008713609966176,-0.5188456500889558,68.37044974327087,-0.0784030446174628,0.1428998708365643,52425028.14331055,"Vishay Precision Group, Inc.",1487952,3670.0,Electronic Components & Accessories,740887118.0007362,12256197.0,772262952.3983803,True,"Vishay Precision Group, Inc.",0001487952,2026-07-04,328589000.0,11245000.0,75702000.0,0.0,15640000.0,23613000.0,0.0,-36593000.0,2846000.0,0.0,2290000.0,13310.0,缺資本開支標籤。; 取數標籤:有息負債 16M = LongTermDebtNoncurrent@2026-07-04 16M(其中融資租賃 0M = (無));現金 76M = CashAndCashEquivalentsAtCarryingValue@2026-07-04 76M;投資 0M = (無);經營租賃 24M;稀釋股數 0.0M(XBRL 未拆季 2026-04-05→2026-07-04)。,True,-12.85769501054111,淨現金,充裕,齊,,True,True
LINC,49.38999938964844,25.63999938964844,-0.4808665781230546,-0.4988408672153929,35.88620011329651,-0.2855192439238408,0.0712314990097502,25649250.2368927,LINCOLN EDUCATIONAL SERVICES CORP,1286613,8200.0,Services-Educational Services,770831915.4984322,31721479.0,813338702.1987457,True,LINCOLN EDUCATIONAL SERVICES CORPORATION,0001286613,2026-06-30,570778000.0,33739000.0,44178000.0,0.0,56898000.0,171201000.0,0.0,183921000.0,94023000.0,69489000.0,5999000.0,31418794.0,取數標籤:有息負債 57M = LongTermDebtNoncurrent@2026-06-30 26M(其中融資租賃 31M = FinanceLeaseLiabilityCurrent@2026-06-30 1M+FinanceLeaseLiabilityNoncurrent@2026-06-30 30M);現金 44M = CashAndCashEquivalentsAtCarryingValue@2026-06-30 44M;投資 0M = (無);經營租賃 171M;稀釋股數 31.4M(XBRL 未拆季 2026-04-01→2026-06-30)。,True,1.956127755974602,低(≤3 倍),充裕,齊,,True,True
QUIK,20.649999618530277,10.760000228881836,-0.4789346039877719,-0.4969088930801101,11.90224995136261,-0.0959692265872811,0.0963877711652851,3957331.009864807,QUICKLOGIC Corp,882508,3674.0,Semiconductors & Related Devices,193435352.64643,18317741.0,197098897.3525982,True,QUICKLOGIC Corp,0000882508,2026-06-28,16295000.0,-11251000.0,18475000.0,0.0,7568000.0,0.0,0.0,-10907000.0,2949000.0,3867000.0,3284000.0,18110000.0,"警告:短期經營租賃負債 的候選標籤(OperatingLeaseLiabilityCurrent)全部缺 asof(2026-06-28)前後 200 日內的資料,最新只到 2024-12-29,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 警告:長期經營租賃負債 的候選標籤(OperatingLeaseLiabilityNoncurrent)全部缺 asof(2026-06-28)前後 200 日內的資料,最新只到 2024-12-29,用這筆舊值代替 —— 可能失真,建議人手核對資產負債表。; 取數標籤:有息負債 8M = NotesPayableCurrent@2026-06-28 2M+LinesOfCreditCurrent@2026-06-28 5M; LongTermNotesPayable@2026-06-28 1M(其中融資租賃 0M = (無));現金 18M = CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents@2026-06-28 18M;投資 0M = (無);經營租賃 0M;稀釋股數 18.1M(XBRL 未拆季 2026-03-30→2026-06-28)。",True,-3.6985418786029163,淨現金,充裕,齊,,True,True
