主成因,宗數,佔比,公司數
業績(8-K 2.02),6693,0.280241175731692,2307
指引或其他重大訊息(8-K 7.01/8.01),4188,0.1753548549177239,1953
其他申報,2983,0.1249005568814638,1474
高管離任(8-K 5.02),2648,0.11087384331951597,1599
稀釋增發(S-1/S-3/424B),2006,0.08399279822467864,1194
定期報告(10-K/10-Q),1419,0.059414646401205876,840
無申報,1193,0.049951848595235104,892
內部人擬售(Form 144),1173,0.049114432860193444,834
重大合約或舉債(8-K 1.01/2.03),962,0.040279696855503914,680
退市或不合規通知(8-K 3.01),385,0.016120252899551983,288
收購或處置(8-K 2.01),193,0.008081061843152033,179
重列或不可依賴(8-K 4.02),36,0.0015073483230749905,36
破產(8-K 1.03),3,0.00012561236025624922,3
分拆孤兒(Form 10),1,4.187078675208307e-05,1
