年份段,主成因,期,全期觸發宗數,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,0 全部觸發(不分成因),1m,9156,9056,88,12,2420,-0.09230702926212235,0.053334805653710245,0.0008833922261484099,0.014686395759717315,2.372351894018505,高,0.48674911660777387,-0.0040461295982659,0.005394003897978275,-0.08261916838653287,0.0755216784075165,1.1598065337439898,0.9815472013426211,91.0,1.484901655176016,453.0,4.146501711314283,-0.0026421108982505968,-0.01786593374894655,3209.0,0.11749116607773852,0.4719791168402659,0.5015852721918044,0.0003415571346332815,0.010545890056680463
全期 2010-2026,0 全部觸發(不分成因),3m,9156,8719,425,12,2347,-0.1495487526333623,0.16297740566578736,0.001835072829452919,0.04438582406239248,16.6471220607926,高,0.4801009290056199,-0.0099130543845968,0.021675039150698842,-0.15167984776655144,0.1399319298492286,1.3432532449697798,1.0226536959276518,88.0,0.8488249223710874,436.0,2.074367389659679,0.0033101345854341987,-0.024512732425143745,3145.0,0.1220323431586191,0.465814929660765,0.4953990139111292,0.012084374911820548,0.032658513752360424
全期 2010-2026,0 全部觸發(不分成因),6m,9156,8122,1022,12,2211,-0.2073267793937441,0.2879832553558237,0.006402363949766067,0.11167200196995813,7.487853119910277,高,0.4413937453829106,-0.042958187885457244,0.018204443426792567,-0.23525980234263458,0.17495828315644144,1.4368246950147874,1.0302719686459365,82.0,1.3536810451170387,407.0,3.564006244933468,-0.006504233549513126,-0.049138685996598465,3008.0,0.1310022162029057,0.42540361504075436,0.456967370315905,0.0036970266602957937,0.03343599433958926
全期 2010-2026,0 全部觸發(不分成因),12m,9156,7440,1704,12,2074,-0.2808988548590375,0.43091397849462365,0.029166666666666667,0.2200268817204301,11.705683397360184,高,0.4452956989247312,-0.057979093768720846,0.041646082794218366,-0.33335779853646563,0.25890722203666433,1.5313258890721428,1.009011690323668,75.0,0.9262586827507859,372.0,2.319909745863699,0.003102310292757041,-0.05786217953382668,2813.0,0.14301075268817204,0.42635274594339506,0.4638082649569395,0.017485374108038434,0.06448890920253057
全期 2010-2026,重列或不可依賴(8-K 4.02),1m,8,8,0,0,8,-0.05812831380576271,0.0,0.0,0.0,0.139323470069089,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,重列或不可依賴(8-K 4.02),3m,8,8,0,0,8,-0.1870658939642853,0.125,0.0,0.125,0.2719770216309547,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,重列或不可依賴(8-K 4.02),6m,8,7,1,0,7,-0.2798571681927334,0.2857142857142857,0.0,0.14285714285714285,0.6436679838027681,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,重列或不可依賴(8-K 4.02),12m,8,7,1,0,7,-0.3591756154358231,0.7142857142857143,0.0,0.2857142857142857,0.8498386428512734,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,退市或不合規通知(8-K 3.01),1m,15,13,1,1,13,-0.1439884773625255,0.23076923076923078,0.0,0.0,1.2535425679632866,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,退市或不合規通知(8-K 3.01),3m,15,12,2,1,12,-0.19738202974398839,0.3333333333333333,0.0,0.3333333333333333,2.920629159680471,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
