代號,公司,觸發日,相對SPY60日,過負債閘A(N2),總債務欄缺標籤,過負債閘B(債務比),過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本,軸一格 樣本N,軸一格 勝率,軸一格 賠率,軸一格 中位超額,軸二格 樣本N,軸二格 勝率,軸二格 賠率,軸二格 中位超額
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,1m,2026-08-27,1.0,未成熟,A(淨現金 N2),472,0.527542372881356,1.0256902186508692,0.0065034224766488,99,0.4242424242424242,1.4628923886482703,-0.0251696185446136
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,3m,2026-08-27,1.0,未成熟,A(淨現金 N2),465,0.5053763440860215,0.9948197566294092,0.0019876115462595,96,0.5,0.9798699180276172,0.0128614956968994
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,6m,2026-08-27,1.0,未成熟,A(淨現金 N2),445,0.4292134831460674,0.9967483815732652,-0.0437608019300717,88,0.4659090909090909,0.9911481696620864,-0.0189528065177775
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,12m,2026-08-27,1.0,未成熟,A(淨現金 N2),412,0.4490291262135922,0.913145560705736,-0.0423999139372795,81,0.4320987654320987,0.8710578595926113,-0.1117413596501131
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,1m,,,無進場點,A(淨現金 N2),468,0.5192307692307693,0.9627972778736124,0.0040917682857573,97,0.5360824742268041,1.167484594155108,0.0195788443965949
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,3m,,,無進場點,A(淨現金 N2),458,0.4672489082969432,1.037059600874041,-0.0096021698976431,93,0.5053763440860215,1.0520727764144209,0.0011812035635627
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,6m,,,無進場點,A(淨現金 N2),437,0.4187643020594965,1.0301427366491889,-0.0580100131331672,87,0.4827586206896552,0.9731672771990588,-0.0329955334572353
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,12m,,,無進場點,A(淨現金 N2),410,0.4414634146341463,1.0427936328868104,-0.0525850482431468,80,0.4375,1.0577610705690128,-0.0709250447806673
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,1m,,,無進場點,A(淨現金 N2),464,0.4633620689655172,0.9007355043317068,-0.0099508756300054,97,0.4020618556701031,1.108059046543611,-0.0219451394351433
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,3m,,,無進場點,A(淨現金 N2),450,0.4488888888888889,0.8434033367610081,-0.0265406478339434,92,0.4891304347826087,0.7856829658256163,-0.0159574993643091
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,6m,,,無進場點,A(淨現金 N2),430,0.4209302325581395,0.8963145118279054,-0.0663683294898471,85,0.4823529411764706,0.8529061300100508,-0.0306507843757138
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,12m,,,無進場點,A(淨現金 N2),402,0.4203980099502487,0.9573739534768916,-0.071467120388674,78,0.3974358974358974,1.3316160581865435,-0.0430224053768002
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,1m,2026-08-04,1.0,已成熟,B(總債務/四季經營現金流<=3),359,0.5041782729805014,1.011237624725725,0.003583322608414,157,0.4713375796178344,1.3504773222622168,-0.0046708288583005
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,3m,2026-08-04,1.0,未成熟,B(總債務/四季經營現金流<=3),319,0.5391849529780565,1.1854424544646711,0.0217476942218832,123,0.4634146341463415,1.471060729382913,-0.0185696245256989
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,6m,2026-08-04,1.0,未成熟,B(總債務/四季經營現金流<=3),298,0.5,1.375561469457521,-0.0002026482034898,112,0.5089285714285714,1.2321826733005303,0.0274118803189351
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,觸發日即買,12m,2026-08-04,1.0,未成熟,B(總債務/四季經營現金流<=3),268,0.5708955223880597,1.3568521325077565,0.0913604993816263,100,0.37,0.941483183783111,-0.1083345634387344
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,B(總債務/四季經營現金流<=3),348,0.514367816091954,0.9879834116500996,0.0033747324461025,147,0.5510204081632653,0.912801178908348,0.0096382033651678
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,B(總債務/四季經營現金流<=3),318,0.5,1.1695633237543104,0.0002317964004745,121,0.4462809917355372,1.1842029057150143,-0.0166236201252785
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,B(總債務/四季經營現金流<=3),285,0.5087719298245614,1.2657847219326164,0.0075536392424684,108,0.4537037037037037,0.8163037363071505,-0.0246688105099779
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,B(總債務/四季經營現金流<=3),268,0.5671641791044776,1.4532264677946003,0.0554863836373348,100,0.35,1.4545280263844285,-0.1000395841858434
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,1m,,,無進場點,B(總債務/四季經營現金流<=3),342,0.5350877192982456,0.9045001503692646,0.0099023741716948,141,0.5531914893617021,0.7280806653137925,0.0141054103168258
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,3m,,,無進場點,B(總債務/四季經營現金流<=3),306,0.4836601307189542,1.3317927870583226,-0.0063351720548763,118,0.4152542372881356,1.1522662309335816,-0.0506998209712286
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,6m,,,無進場點,B(總債務/四季經營現金流<=3),278,0.5,1.1787671796595227,-4.33989683042e-05,108,0.4351851851851852,0.8332797585177373,-0.0640587310798647
ON,ON SEMICONDUCTOR CORP,2026-08-03,-0.2657,False,False,True,True,True,行業殺,線之上,線之上,買方回來,12m,,,無進場點,B(總債務/四季經營現金流<=3),267,0.5430711610486891,1.6969219327138223,0.0560679037315217,100,0.31,1.5621848269007983,-0.13214385154732
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,1m,2026-03-30,1.0,已成熟,"A2(N2,缺債務標籤當零負債)",2517,0.4942391736193882,1.014704861063539,-0.0015539014555955,2244,0.5075757575757576,1.0403289000825875,0.0016471645547769
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,3m,2026-03-30,1.0,已成熟,"A2(N2,缺債務標籤當零負債)",2452,0.4857259380097879,0.965805326847586,-0.0067514750687227,2210,0.5063348416289593,1.0514794945352604,0.003108753893878
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,6m,2026-03-30,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",2324,0.4401893287435456,0.9818399188432888,-0.0400722266597944,2098,0.4528122020972354,1.0319100340272946,-0.033518934811347
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,觸發日即買,12m,2026-03-30,1.0,未成熟,"A2(N2,缺債務標籤當零負債)",2154,0.4312906220984215,0.9748043176704176,-0.0709173185443386,1931,0.4764370792335577,1.096580663263398,-0.0252797440947381
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,1m,2026-04-15,12.0,已成熟,"A2(N2,缺債務標籤當零負債)",2484,0.499194847020934,0.9949974103092076,-0.0001742421461735,2228,0.5035906642728905,1.0250681460738664,0.0011042921906494
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,3m,2026-04-15,12.0,已成熟,"A2(N2,缺債務標籤當零負債)",2415,0.4836438923395445,0.901556215387238,-0.006623854886029,2187,0.4947416552354824,0.927542794244635,-0.0019702141549525
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,6m,2026-04-15,12.0,未成熟,"A2(N2,缺債務標籤當零負債)",2301,0.4324206866579748,0.9622001531216507,-0.0443549147637739,2065,0.4619854721549636,1.0059902967705767,-0.0268680736898936
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,跌勢衰竭,12m,2026-04-15,12.0,未成熟,"A2(N2,缺債務標籤當零負債)",2134,0.4259606373008435,0.960027629857889,-0.0697441580573865,1919,0.4674309536216779,1.0988718174031735,-0.0271830827791743
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,1m,2026-07-29,84.0,已成熟,"A2(N2,缺債務標籤當零負債)",2465,0.4795131845841785,0.9088011588033044,-0.0058209826150661,2215,0.4794582392776523,0.9938763784595432,-0.0054718199475517
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,3m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2373,0.4584913611462284,0.91807729184896,-0.0192146675563342,2151,0.4783821478382148,1.017371489848286,-0.0095305475605927
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,6m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2269,0.4327897752313794,0.8908176248964037,-0.0504782507127983,2029,0.4519467718087728,0.960608327325501,-0.0329282042143758
LULU,lululemon athletica inc.,2026-03-27,-0.2519,False,True,False,True,True,個別殺,線下逾 10%,線下逾 10%,買方回來,12m,2026-07-29,84.0,未成熟,"A2(N2,缺債務標籤當零負債)",2097,0.4177396280400572,0.9707369975553856,-0.0743375757175622,1890,0.4555555555555555,1.0734719517958653,-0.0419355893326904
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,1m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1221,0.4963144963144963,0.949975955098588,-0.0005675852175576,157,0.4713375796178344,1.3504773222622168,-0.0046708288583005
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,False,True,True,True,個別殺,線之上,線之上,觸發日即買,3m,2026-08-13,1.0,未成熟,B(總債務/四季經營現金流<=3),1193,0.4886839899413244,1.066367944055115,-0.0044087109980759,123,0.4634146341463415,1.471060729382913,-0.0185696245256989
