代號,公司,觸發日,相對SPY60日,面板total_debt空白,總債務來源_gatefix,總債務值_gatefix,過負債閘A(N2)_gatefix,資料不足_債務閘,過負債閘B(債務比)_gatefix,過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本_gatefix,軸一格 樣本N_gatefix,軸一格 勝率_gatefix,軸一格 賠率_gatefix,軸一格 中位超額_gatefix,軸二格 樣本N_gatefix,軸二格 勝率_gatefix,軸二格 賠率_gatefix,軸二格 中位超額_gatefix
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,1m,2026-08-27,1.0,未成熟,"A(淨現金 N2, gatefix)",1403,0.4932287954383464,1.0722385609466332,-0.0021295413305435,316,0.4462025316455696,1.2176166884428408,-0.0144541175654483
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,3m,2026-08-27,1.0,未成熟,"A(淨現金 N2, gatefix)",1359,0.4885945548197203,0.9050878605349488,-0.0053421980012851,302,0.4503311258278146,0.9219820909471876,-0.0164074035700514
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,6m,2026-08-27,1.0,未成熟,"A(淨現金 N2, gatefix)",1277,0.4189506656225528,0.9619567620751588,-0.0496627280731404,271,0.3985239852398524,0.8444953175671036,-0.0508309848949908
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,觸發日即買,12m,2026-08-27,1.0,未成熟,"A(淨現金 N2, gatefix)",1169,0.4285714285714285,0.9440523701492696,-0.0912729512676291,255,0.392156862745098,0.7384545606987953,-0.1612572973071806
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,1m,,,無進場點,"A(淨現金 N2, gatefix)",1381,0.503982621288921,0.964549300523844,0.0009128627050465,307,0.4885993485342019,1.2702403095341337,-0.0037504852701798
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,3m,,,無進場點,"A(淨現金 N2, gatefix)",1337,0.4869109947643979,0.8703431805294709,-0.0050757490089363,293,0.4641638225255973,0.97180105474936,-0.0187856898301013
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,6m,,,無進場點,"A(淨現金 N2, gatefix)",1258,0.4077901430842607,0.9443152047143272,-0.0571034071067095,268,0.3880597014925373,0.8575353044923424,-0.089720982700089
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,跌勢衰竭,12m,,,無進場點,"A(淨現金 N2, gatefix)",1162,0.4225473321858864,0.9833411226616317,-0.0697441580573865,253,0.375494071146245,0.9925765153539244,-0.1203063505268314
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,1m,,,無進場點,"A(淨現金 N2, gatefix)",1367,0.4850036576444769,0.8325599631200482,-0.0048548871201177,308,0.4415584415584415,0.7190126593848982,-0.0188650966244989
TDC,TERADATA CORP /DE/,2026-08-26,-0.2744,False,panel,0.0,True,False,True,True,True,個別殺,線下 10% 內,線下 10% 內,買方回來,3m,,,無進場點,"A(淨現金 N2, gatefix)",1306,0.4540581929555896,0.876573525173211,-0.0231763054167379,288,0.4236111111111111,0.8530446914171881,-0.038873466459676
