流動性口徑,負債閘口徑,年份段,組,期,主口徑,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
不含流動性閘,A(資料不足當不過),全期 2010-2026,0 全部觸發(不分閘),1m,False,16022,183,25,3632,-0.09911572819721956,0.06291349394582449,0.0010610410685307702,0.016602172013481464,7.606475572469272,高,0.4774684808388466,-0.0067743377364097,0.010096169821725388,-0.0906412637265594,0.08191257418042425,1.2775897701385157,1.0204269686533547,161.0,1.2027592619848995,802.0,2.961370878364738,-0.0020678713254875833,-0.020845794144420716,4463.0,0.10366995381350642,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,0 全部觸發(不分閘),3m,False,15375,830,25,3494,-0.1601189355641957,0.1872520325203252,0.004097560975609756,0.05567479674796748,16.6471220607926,高,0.464,-0.0195588407587824,0.03107242480166316,-0.16560406773275266,0.14337810443386584,1.5138715319876392,1.035361894180416,154.0,0.8568152119025015,769.0,1.9314866908100639,0.004494112763541286,-0.030467416377989602,4375.0,0.10803252032520325,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,0 全部觸發(不分閘),6m,False,14365,1840,25,3256,-0.2185459144548616,0.3139575356769927,0.011695092238078663,0.12822833275321963,36.4684668439731,高,0.4344587539157675,-0.0505121347905692,0.04413395453854293,-0.2507302387891496,0.1859323943466766,1.6996452216579074,1.051992627616366,144.0,0.9276808385506781,719.0,2.0693287232272337,0.0032240496332478843,-0.049680314819464555,4211.0,0.11562826313957536,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,0 全部觸發(不分閘),12m,False,13036,3169,25,3006,-0.29335245567938123,0.447376495857625,0.03191162933415158,0.23350721080085915,71.57174139555339,高,0.434949370972691,-0.0708977317597298,0.10198317064580117,-0.34772322345956175,0.2717848386325983,1.9991713666759645,1.1131144161442077,131.0,0.72708222548922,652.0,1.4611023867339268,0.028115555856768264,-0.04950046614108792,3948.0,0.12741638539429273,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,1 過三閘(現行①池),1m,False,1821,16,6,713,-0.0841379494502626,0.039538714991762765,0.0005491488193300384,0.009884678747940691,0.7992516782684966,高,0.49478308621636463,-0.0019445779081582,0.004673775393671341,-0.0692721849793486,0.0739462900669649,1.1252930426685195,1.0875332390213914,19.0,1.1973014437558243,92.0,3.4422804178862574,-0.0009318655575046834,-0.012022044124560243,1174.0,0.11532125205930807,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,1 過三閘(現行①池),3m,False,1754,83,6,696,-0.1305549153970178,0.12827822120866592,0.0005701254275940707,0.026795895096921322,4.671768900952977,高,0.500570125427594,0.00012048704000497562,0.018107042845959844,-0.13196538938128802,0.1322811892270186,1.230298783920414,1.0005995907190328,18.0,0.6286092156145668,88.0,1.8233576647479146,0.006794515918744102,-0.015696060136883207,1135.0,0.11972633979475485,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,1 過三閘(現行①池),6m,False,1638,199,6,671,-0.177050507788672,0.23931623931623933,0.001221001221001221,0.07264957264957266,3.5697477446936787,高,0.4371184371184371,-0.040960321836989,0.011259702084738504,-0.19816035044689995,0.15360305439354371,1.4105314267039877,1.0294111763651186,17.0,1.904433487732509,82.0,4.711398054347412,-0.01029045118171808,-0.043991496940425145,1074.0,0.1282051282051282,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,1 過三閘(現行①池),12m,False,1494,343,6,634,-0.25419588584486935,0.3815261044176707,0.0107095046854083,0.17001338688085676,11.705683397360184,高,0.4524765729585007,-0.0517274283316527,0.029366490383096078,-0.3065156353526937,0.2522843181347988,1.4245414432574173,1.0066912817842424,15.0,1.0275777058258533,75.0,2.669786820976563,-0.0008180740275771381,-0.05162752167605571,995.0,0.14056224899598393,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,2 只不過負債閘,1m,False,4734,35,2,1576,-0.08189189600169999,0.04858470637938318,0.0006337135614702154,0.017110266159695818,1.7398342065474424,高,0.49852133502323615,-0.0005298763864764,0.0014208744879114414,-0.07344592655977332,0.06903202832213212,1.0353823974835326,0.947235464714831,48.0,3.9973486616795326,237.0,11.780730522637946,-0.004302480892589561,-0.01612535457500233,2362.0,0.1436417405999155,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,2 只不過負債閘,3m,False,4588,181,2,1549,-0.13405817341648316,0.12903225806451613,0.001961639058413252,0.034655623365300786,3.644043104313688,高,0.49411508282476024,-0.0024939359135866,0.014499759647632447,-0.12621424897876737,0.13534636904767605,1.213923915310285,1.1048287358979099,46.0,0.719818105969023,230.0,2.1547401749796977,0.00410371460049716,-0.0176271159950374,2315.0,0.14821272885789014,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,2 只不過負債閘,6m,False,4293,476,2,1478,-0.1851852306681836,0.23526671325413465,0.0041928721174004195,0.08199394362916375,4.383040245156447,高,0.4484043792219893,-0.0329575656287773,0.006892358314924376,-0.2024644709260424,0.160900930738036,1.3020881807876388,1.0525222945937263,43.0,2.424700102285669,215.0,6.838428881094584,-0.009918894272647936,-0.04236210267908943,2212.0,0.15839739110179363,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,2 只不過負債閘,12m,False,3992,777,2,1417,-0.2507664012230034,0.37324649298597196,0.02029058116232465,0.17259519038076152,9.355625301048798,高,0.44789579158316634,-0.0492285066030131,0.018261365647221403,-0.28637104851540485,0.23367585513953076,1.3725316411915458,1.0508691849464629,40.0,1.4665351050125983,200.0,3.8577200862018475,-0.008605798586660003,-0.054938290789786855,2073.0,0.17034068136272545,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,3 只不過現金流閘,1m,False,633,7,1,285,-0.1185258550701895,0.0679304897314376,0.001579778830963665,0.020537124802527645,1.16568438388532,高,0.4470774091627172,-0.0127182502817788,-0.007444833723835175,-0.1072439265241216,0.0847765286792407,1.1109927123831838,1.1150959761957624,7.0,-1.115292514181398,32.0,-3.295815968083273,-0.015924096903688404,-0.0336844847401574,408.0,0.05845181674565561,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,3 只不過現金流閘,3m,False,610,30,1,275,-0.2043917811278182,0.24262295081967214,0.006557377049180328,0.08524590163934426,2.005349016365627,高,0.419672131147541,-0.0456476742378253,-0.028655290171743415,-0.22372523702415115,0.11769025836865053,1.0843458922780227,0.818624528804944,7.0,-0.5088437489416241,31.0,-1.4781922670784158,-0.04373827002378688,-0.07481541328816341,396.0,0.060655737704918035,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,3 只不過現金流閘,6m,False,571,69,1,251,-0.2811245604616817,0.4115586690017513,0.03327495621716287,0.19614711033274956,5.701597369111421,高,0.3975481611208406,-0.1059287261432189,-0.024598460959780216,-0.349354407597657,0.19175784561827655,1.3262431424467342,0.9544876519798384,6.0,-1.2590635507031798,29.0,-3.1742631085804547,-0.056159604998954664,-0.10817442042823716,377.0,0.0647985989492119,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,3 只不過現金流閘,12m,False,523,117,1,225,-0.3998036056228492,0.6003824091778203,0.08030592734225621,0.384321223709369,6.508599321119126,高,0.367112810707457,-0.1964905579094622,-0.06262002447746509,-0.5050421533846834,0.20878426920554355,1.3332667808626248,0.8525379034441202,6.0,-0.6733337279080407,27.0,-1.5969555191641154,-0.10600026320560503,-0.17147379376318997,343.0,0.07074569789674952,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4 只不過市值閘,1m,False,1165,14,2,421,-0.0909091042515441,0.026609442060085836,0.0,0.010300429184549357,2.9453657337117423,高,0.4901287553648069,-0.0028085871688741,0.024440464766109626,-0.0826081670552599,0.0852759855895435,1.5350244028691005,1.1130316283085986,12.0,0.5833250577854224,59.0,1.4119823863519785,0.010289717753161582,-0.010606177904652509,882.0,0.11587982832618025,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4 只不過市值閘,3m,False,1131,48,2,413,-0.1447368627439907,0.14588859416445624,0.0017683465959328027,0.03536693191865606,14.682618901303856,高,0.45181255526083114,-0.0224503330644851,0.046179611744665304,-0.15517323798507693,0.14014143910559645,1.8258586843617872,1.1444199131305317,12.0,0.7501912119191777,57.0,1.4768426547236184,0.011659784080910493,-0.02318908956488532,864.0,0.11936339522546419,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4 只不過市值閘,6m,False,1076,103,2,393,-0.212991592036403,0.2899628252788104,0.0055762081784386614,0.08643122676579926,16.048538686717155,高,0.4107806691449814,-0.0654399925993405,0.04598829538754159,-0.24128917343714576,0.1670670278685277,1.9154223540251296,1.1307696183800964,11.0,1.022299070025365,54.0,2.0285899399593648,-0.0010360881989227419,-0.049802478902993476,818.0,0.12546468401486988,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4 只不過市值閘,12m,False,999,180,2,371,-0.2791209156279127,0.4264264264264264,0.012012012012012012,0.19119119119119118,41.75516400916379,高,0.4164164164164164,-0.0985682299133043,0.16852759018160793,-0.3376117682592046,0.24869066807617074,2.698881849408215,1.206262211759545,10.0,0.7363353664777558,50.0,1.2408936582294177,0.04488405514491104,-0.04273617543068933,763.0,0.13513513513513514,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4a 只不過市值閘(1 億至 5 億),1m,False,720,7,2,306,-0.0899285412258338,0.030555555555555555,0.0,0.009722222222222222,1.661651513551652,高,0.48333333333333334,-0.0038511553356901504,0.016088204119745386,-0.08599665168567262,0.07929072188739207,1.392086398669267,0.9764546225724908,8.0,0.787115846297918,36.0,1.8810204051768273,0.003463406007591576,-0.014920038012784813,576.0,0.11527777777777778,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4a 只不過市值閘(1 億至 5 億),3m,False,697,30,2,295,-0.1447368338497724,0.15925394548063126,0.0,0.03443328550932568,14.682618901303856,高,0.41606886657101866,-0.0413935106011498,0.035157643879121334,-0.1736301466748249,0.128706470360479,1.8955767602101095,1.0913800726276863,7.0,1.135173324731352,35.0,2.09471789182419,-0.004800588119079138,-0.040522550070745574,562.0,0.11908177905308465,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4a 只不過市值閘(1 億至 5 億),6m,False,668,59,2,286,-0.21440326834018453,0.2994011976047904,0.0,0.08832335329341318,16.048538686717155,高,0.40718562874251496,-0.0746918267697807,0.02452201227657834,-0.25758909220050785,0.15575535102249752,1.7084897685318041,1.0298944257652676,7.0,1.8275990281882903,34.0,3.4410728544627105,-0.020509311463818663,-0.06307017722625344,537.0,0.12425149700598802,,,,
不含流動性閘,A(資料不足當不過),全期 2010-2026,4a 只不過市值閘(1 億至 5 億),12m,False,628,99,2,274,-0.2930517466163761,0.445859872611465,0.006369426751592357,0.19904458598726116,19.7325336751658,高,0.4124203821656051,-0.09600989325173209,0.07857761129691196,-0.3390076667153142,0.24513202550626656,2.036416164574769,1.2114391562271811,7.0,0.8868344564529992,32.0,1.6985155468433852,0.008992513111802117,-0.05783467282268043,506.0,0.1321656050955414,,,,
