事件表,版本,年份段,進場格,期,口徑,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,正本(120 日冷卻),579,7,0,461,高,0.5302245250431779,0.012257490594961751,0.0070506767349434,307,272,0.10289615545793705,-0.09004423776141111,0.0702328725420002,-0.06806626450788406,1.142728929868666,1.0318308643757759,0.012257490594961742,8.673617379884035e-16,0.7289663457738649,0.00880270306807405,6,0.49898795846468835,29,1.4425940060598874,0.006205455626736975,-0.005711142165089701
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,同公司單注(365 曆日),458,6,0,381,高,0.5327510917030568,0.012567570937535437,0.0085494020491221,244,214,0.1003513690426742,-0.08752236708888445,0.0665252264889081,-0.06537080554882954,1.1465796959166004,1.0176595795383958,0.012567570937535445,8.673617379884035e-16,0.7289663457738649,0.008196082202459421,5,0.5279662271335355,23,1.435428368121667,0.005997796048208824,-0.005761615683447419
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,正本(120 日冷卻),563,23,0,447,高,0.5168738898756661,0.029886348695716866,0.0065692937319077,291,272,0.1922962810850189,-0.1438683951472496,0.138848621065859,-0.12583023453989214,1.3366124011337115,1.1034599241872955,0.02988634869571688,1.3877787807814457e-15,1.5379776085719985,0.02402306253875849,6,0.32878717841485977,29,1.0779384157380643,0.020276187692756374,-0.002455791945600682
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,同公司單注(365 曆日),442,22,0,367,高,0.5090497737556561,0.027110759338000296,0.0034462231027194,225,217,0.18512832837823842,-0.13673234220141708,0.1314270951936638,-0.1231460074798205,1.3539468818981422,1.0672460917192161,0.027110759338000293,3.469446951953614e-16,1.5379776085719985,0.020059982800086987,5,0.3842508160506161,23,1.184586605944826,0.0168844282582857,-0.005278981165748201
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,正本(120 日冷卻),535,51,0,429,高,0.4485981308411215,0.02518100244791211,-0.0274120810396764,240,295,0.30179297698999197,-0.19985924802700028,0.18298398498314125,-0.1685701700398397,1.5100275817570414,1.0855063202457171,0.025181002447912146,3.469446951953614e-15,3.5697477446936787,0.010897407117330966,6,0.8929824995304568,27,2.1575170622129116,0.0027253728706838278,-0.030696614936495267
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,同公司單注(365 曆日),425,39,0,354,高,0.43529411764705883,0.021234492220909774,-0.0437608019300717,185,240,0.3006440204846344,-0.1941436858157113,0.1971312626124526,-0.16374432259805943,1.5485645037666451,1.2038967793487871,0.021234492220909798,2.42861286636753e-15,2.4249454197243,0.008139187318402531,5,0.9374721121966176,22,2.4023083322364323,0.001343554470331197,-0.03140286546695131
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,正本(120 日冷卻),492,94,0,399,高,0.4695121951219512,0.0516774554590902,-0.0248365002224366,231,261,0.43614895025148365,-0.2886019134950971,0.2647690878222981,-0.2708713296163376,1.5112476039036835,0.9774718062532394,0.051677455459090166,3.469446951953614e-15,3.600580356905249,0.03154065243111827,5,0.5830452033802187,25,1.6636804063183794,0.02176838636948707,-0.036133359317348526
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,同公司單注(365 曆日),398,66,0,335,高,0.45979899497487436,0.04244324329871801,-0.02831741296912055,183,215,0.42078159605861415,-0.2795842848643564,0.2569299889981216,-0.2468465829730635,1.5050259218352038,1.0408488782936016,0.042443243298718014,6.938893903907228e-16,3.600580356905249,0.019677575501771044,4,0.6798521607400937,20,1.9501955981402073,0.013726063015330673,-0.04246321273912121
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,正本(120 日冷卻),571,7,11,455,高,0.521891418563923,0.011309316770020917,0.004339500150311,298,273,0.10206529246369477,-0.0877576457087879,0.070465692948609,-0.0724586546616514,1.1630359000557615,0.9724951874645117,0.011309316770020922,5.204170427930421e-16,0.5057637588599584,0.008909264342551803,6,0.4025614514437057,29,1.4537928889537894,0.006828373532133982,-0.00540668261836
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,同公司單注(365 曆日),450,7,9,375,高,0.5088888888888888,0.008574081672356654,0.0020745958873744,229,221,0.09906655440744228,-0.08519413668209858,0.0694674870825418,-0.0649235700280009,1.1628330101766104,1.0699887121515523,0.008574081672356647,6.938893903907228e-16,0.4546889431808616,0.0057203034522803975,5,0.521124946624984,23,1.8746471956289077,0.004152047681620657,-0.007903239860465996
