事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,1m,579,0.0122574905949617,0.5302245250431779,0.023928377466428518,0.016080511829925623,0.012109063858601107
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,3m,563,0.0298863486957168,0.5168738898756661,0.05640143168300191,0.038321415351991704,0.029019074515907402
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,6m,535,0.0251810024479121,0.4485981308411215,0.047947283566125515,0.03248402936655317,0.024562494220811033
events.csv(正本),A(淨現金 N2),全期 2010-2026,觸發日即買,12m,492,0.0516774554590902,0.4695121951219512,0.09367331390420096,0.06446165488026165,0.04913812233098728
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,571,0.0113093167700209,0.521891418563923,0.02211834676016212,0.014855087834735194,0.011182846417494955
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,556,0.0220882799595389,0.4838129496402877,0.042307557567181374,0.02860849015956625,0.021610931651044173
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,6m,523,0.0073781841988944,0.4397705544933078,0.014541784469002951,0.009741743758699052,0.007324145305729262
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,12m,490,0.056138028870144,0.4612244897959183,0.10094261847943509,0.06963823422252537,0.05315406446466134
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,1m,566,5.001915184659447e-05,0.4770318021201413,0.00010002829703203255,6.668775490887384e-05,5.001665005618045e-05
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,3m,545,0.011783067228365,0.4752293577981651,0.023023558188780845,0.015467746311605413,0.011645843471805698
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,6m,512,-0.003775398758719,0.4375,,,
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,12m,482,0.03348112455262,0.4356846473029045,0.0627597172827763,0.042733798560543816,0.032396454813931434
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,1m,253,0.0169794864543489,0.541501976284585,0.03284363673847289,0.02213812331910331,0.016695996999454808
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,3m,253,0.0401772952569961,0.5098814229249012,0.07437797850774393,0.05084592470342861,0.03862542995333263
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,6m,253,0.0378370614968391,0.4624505928853755,0.07035041689305652,0.04802650617241991,0.03645761256807299
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,12m,253,0.0623270480103358,0.5059288537549407,0.11083772020368865,0.07672654525415085,0.058670301322996526
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,1m,253,0.0099084502509383,0.4980237154150198,0.01943182201836842,0.013039005221834701,0.009811236106080987
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,3m,253,0.0263901828095616,0.458498023715415,0.05013426099382459,0.03399087648695162,0.025711647725744163
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,6m,253,0.0136349716841018,0.4703557312252964,0.026546034510453165,0.017855352609155092,0.013451560043797625
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,跌勢衰竭,12m,253,0.0438550774045653,0.4901185770750988,0.08063743307105725,0.05524317807218083,0.042012611093109095
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,1m,252,-0.0076513420621169,0.4603174603174603,,,
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,3m,252,-0.002743700448436,0.4126984126984127,,,
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,6m,252,-0.0011755552850374,0.4444444444444444,,,
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,買方回來,12m,252,0.0254521316238829,0.4484126984126984,0.04843853529573548,0.032822311766147715,0.024820399547639028
