事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency,entry_date,exit_date,entry_close,entry_adj,exit_close,exit_adj,股票總回報,大市總回報,股票價格回報,大市價格回報,超額_總回報口徑,超額_價格口徑,口徑差,存檔超額,重算對照差,股票除息因子,大市除息因子,窗內最大單日升,窗內最大單日跌,窗內交易日,窗內代號,窗內代號數,代號可對應實體數,代號時段起,代號時段止,觸發日在代號時段內,觸發前股數,一年後股數,股數比,疑似拆股(股數比<=0.5 或 >=1.8),疑似單日異常(升>=80% 或 跌<=-50%),窗內換過代號
events.csv(正本),A(淨現金 N2),1,0001463101,ENPH,"Enphase Energy, Inc.",2019-10-30,2019,2019-10-31,3.600580356905249,2295957167.011881,122385775.0,203046000.0,104062000.0,True,38671000.0,YTD_diff,False,136733109.31549072,-0.3847314119338989,0.0905867394430952,個別殺,36.0,Semiconductors & Related Devices,False,2019-09-30,2019-10-29,USD,2019-10-31,2020-10-30,19.43000030517578,19.43000030517578,98.08999633789062,98.08999633789062,4.04837852790776,0.09733514823415423,4.04837852790776,0.07651740019157871,3.6005803569052492,3.6895466130035075,-0.08896625609825826,3.600580356905249,4.440892098500626e-16,0.0,0.019338050679785335,0.4244461993762014,-0.26004544811378905,253,ENPH,1,1,2009-05-06,,True,122385775.0,126332567.0,1.0322487805465954,False,False,False
events.csv(正本),A(淨現金 N2),2,0000910638,DDD,3D SYSTEMS CORP,2020-09-30,2020,2020-10-01,3.3397619190827053,594773342.15625,121135104.0,63922000.0,21528000.0,True,7012000.0,YTD_diff,False,11753804.256486893,-0.3078320026397705,-0.3675248177175819,個別殺,73.0,Services-Prepackaged Software,False,2020-06-30,2020-08-05,USD,2020-10-01,2021-10-01,4.880000114440918,4.880000114440918,27.670000076293945,27.670000076293945,4.670081849877986,0.30654214576740424,4.670081849877986,0.28839300743281937,3.3397619190827053,3.400894616135707,-0.06113269705300173,3.3397619190827053,0.0,0.0,0.01408664765322487,1.0427045864778144,-0.19644239905607142,253,DDD,1,1,1996-05-08,,True,124128509.0,131161765.0,1.056661085005057,False,True,False
events.csv(正本),A(淨現金 N2),3,0001372920,EDU,New Oriental Education & Technology Group Inc.,2022-03-10,2022,2022-03-11,3.061586771067589,19266935865.284824,1690082150.0,1612211000.0,0.0,True,1130085000.0,FY_latest,False,35674610.935087204,-0.4337650537490845,-0.6431310750098225,個別殺,82.0,Services-Educational Services,True,2021-05-31,2021-09-24,USD,2022-03-11,2023-03-14,10.199999809265137,9.982458114624023,39.2599983215332,38.422672271728516,2.8490191324159295,-0.05233610670732669,2.8490195152622957,-0.06746493642431672,3.0615867710675895,3.1274796687040762,-0.06589289763648676,3.061586771067589,4.440892098500626e-16,-9.946594559107069e-08,0.016223336052352266,0.28300096908981076,-0.16393437909102304,253,EDU,1,1,2006-08-22,,True,1690082150.0,1696966183.0,1.004073194311886,False,False,False
events.csv(正本),A(淨現金 N2),4,0001035983,FIX,COMFORT SYSTEMS USA INC,2025-02-21,2025,2025-02-24,2.4576013817173674,12941314568.0,35553062.0,549939000.0,68335000.0,True,849057000.0,FY_latest,False,169252158.9691162,-0.2673274278640747,-0.0504530403289579,行業殺,17.0,Electrical Work,False,2024-12-31,2025-02-20,USD,2025-02-24,2026-02-25,358.5400085449219,356.76458740234375,1450.5999755859375,1448.5286865234375,3.0601806840482437,0.17427668369092886,3.0458524600168584,0.16064700676740973,2.4576013817173674,2.485859556287673,-0.02825817457030544,2.4576013817173674,0.0,0.0035414598463447966,0.01174317156210991,0.22370878497400337,-0.09030615322355906,253,FIX,1,1,1997-03-26,,True,35553062.0,35174967.0,0.989365332302461,False,False,False
events.csv(正本),A(淨現金 N2),5,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,2025-04-04,2025,2025-04-07,2.3645734951592674,2981143613.0830383,37721671.0,722086000.0,564695000.0,True,130747000.0,FY_latest,False,31462409.16595459,-0.2664451003074646,-0.2803215904616896,行業殺,36.0,"Electronic Components, NEC",False,2024-12-31,2025-02-18,USD,2025-04-07,2026-04-09,81.93000030517578,81.68610382080078,374.9800109863281,374.7330322265625,3.5874758949041636,0.36346431472052254,3.5768339996288203,0.34801135366676816,2.3645734951592674,2.3952488509679313,-0.030675355808663873,2.3645734951592674,0.0,0.002325165229109638,0.01146352440706111,0.19259085753523575,-0.09308657490299521,253,AEIS,1,1,1996-05-13,,True,37655384.0,38030657.0,1.0099659852094458,False,False,False
events.csv(正本),A(淨現金 N2),6,0001314727,SONO,Sonos Inc,2020-03-13,2020,2020-03-16,2.3636732860384813,929515780.5188084,110001870.0,408419000.0,32631000.0,True,147426000.0,YTD_diff,False,22132045.25952339,-0.3125176131725311,-0.350424741911913,個別殺,36.0,Household Audio & Video Equipment,False,2019-12-28,2020-02-06,USD,2020-03-16,2021-03-16,7.46999979019165,7.46999979019165,42.25,42.25,4.655957320838965,0.6814823675994375,4.655957320838965,0.6506566336764681,2.3636732860384813,2.426489316703975,-0.0628160306654939,2.3636732860384813,0.0,0.0,0.01867483115147439,0.2984201483870348,-0.18342857360839848,253,SONO,1,1,2005-01-14,,True,110001870.0,124597844.0,1.1326884170241833,False,False,False
events.csv(正本),A(淨現金 N2),7,0001511737,UI,Ubiquiti Inc.,2012-11-06,2012,2012-11-07,1.869105228604632,986841190.5079994,88984777.0,122060000.0,29591000.0,True,81788000.0,FY_latest,False,4440445.081520081,-0.2771627306938171,-0.4125271674552728,個別殺,36.0,Radio & Tv Broadcasting & Communications Equipment,False,2012-06-30,2012-09-28,USD,2012-11-07,2013-11-07,10.270000457763672,9.361621856689453,37.18000030517578,34.36398696899414,2.6707300823562923,0.2793989031003665,2.6202530329070557,0.2520039446568574,1.869105228604632,1.8915667944634755,-0.022461565858843624,1.869105228604632,0.0,0.01394296171853604,0.021880888283476896,0.24528307580379405,-0.0974297008237579,253,UI,1,1,2011-06-17,,True,88543801.0,87639156.0,0.9897830792242588,False,False,False
events.csv(正本),A(淨現金 N2),8,0001039399,FORM,FORMFACTOR INC,2025-03-24,2025,2025-03-25,1.8141115653811544,2505527924.06971,77450635.0,184506000.0,13586000.0,True,90871000.0,YTD_diff,False,28345280.53998947,-0.2716180086135864,-0.2793399304371443,個別殺,36.0,Semiconductors & Related Devices,False,2024-09-28,2024-11-05,USD,2025-03-25,2026-03-26,31.450000762939453,31.450000762939453,100.3499984741211,100.3499984741211,2.1907788883863275,0.13384946341107695,2.1907788883863275,0.1209988569564282,1.8141115653811544,1.846371223829311,-0.0322596584481567,1.8141115653811544,0.0,0.0,0.011463532165892465,0.28386539417934475,-0.17460774669522183,253,FORM,1,1,2002-01-29,,True,77565827.0,77954772.0,1.0050143860388416,False,False,False
events.csv(正本),A(淨現金 N2),9,0001645113,NVCR,NovoCure Ltd,2020-06-24,2020,2020-06-25,1.7457979870197664,5961131354.9902725,100440295.0,181919000.0,149465000.0,True,32892000.0,YTD_diff,False,54593555.33409119,-0.2740841805934906,-0.2164855718386463,個別殺,38.0,Surgical & Medical Instruments & Apparatus,False,2020-03-31,2020-04-30,USD,2020-06-25,2021-06-25,57.20000076293945,57.20000076293945,221.25,221.25,2.868006941415121,0.4087004796785423,2.868006941415121,0.38802660445654924,1.7457979870197664,1.7866951029584568,-0.04089711593869039,1.7457979870197664,0.0,0.0,0.014894437293647922,0.49628445954639244,-0.13995269625694762,253,NVCR,1,1,2015-06-24,,True,100440295.0,103647871.0,1.0319351511263481,False,False,False
events.csv(正本),A(淨現金 N2),10,0000874238,STRL,"STERLING INFRASTRUCTURE, INC.",2025-02-11,2025,2025-02-12,1.7274700170721498,4449714802.366333,30713105.0,648127000.0,322610000.0,True,470204000.0,YTD_diff,False,59242276.19934082,-0.2564602494239807,0.020772360656009,個別殺,16.0,Heavy Construction Other Than Bldg Const - Contractors,False,2024-09-30,2024-11-07,USD,2025-02-12,2026-02-13,140.39999389648438,140.39999389648438,437.7699890136719,437.7699890136719,2.118020000317348,0.14319130212270514,2.118020000317348,0.12992246179991795,1.7274700170721498,1.7594990857606954,-0.0320290686885456,1.7274700170721498,0.0,0.0,0.011743142358326297,0.18185009764793736,-0.14210665712848758,253,STRL,1,1,1995-02-10,,True,30603090.0,30644110.0,1.0013403875229592,False,False,False
