事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency
events.csv(正本),A(淨現金 N2),1,0001463101,ENPH,"Enphase Energy, Inc.",2019-10-30,2019,2019-10-31,3.600580356905249,2295957167.011881,122385775.0,203046000.0,104062000.0,True,38671000.0,YTD_diff,False,136733109.31549072,-0.3847314119338989,0.0905867394430952,個別殺,36.0,Semiconductors & Related Devices,False,2019-09-30,2019-10-29,USD
events.csv(正本),A(淨現金 N2),2,0000910638,DDD,3D SYSTEMS CORP,2020-09-30,2020,2020-10-01,3.3397619190827053,594773342.15625,121135104.0,63922000.0,21528000.0,True,7012000.0,YTD_diff,False,11753804.256486893,-0.3078320026397705,-0.3675248177175819,個別殺,73.0,Services-Prepackaged Software,False,2020-06-30,2020-08-05,USD
events.csv(正本),A(淨現金 N2),3,0001372920,EDU,New Oriental Education & Technology Group Inc.,2022-03-10,2022,2022-03-11,3.061586771067589,19266935865.284824,1690082150.0,1612211000.0,0.0,True,1130085000.0,FY_latest,False,35674610.935087204,-0.4337650537490845,-0.6431310750098225,個別殺,82.0,Services-Educational Services,True,2021-05-31,2021-09-24,USD
events.csv(正本),A(淨現金 N2),4,0001035983,FIX,COMFORT SYSTEMS USA INC,2025-02-21,2025,2025-02-24,2.4576013817173674,12941314568.0,35553062.0,549939000.0,68335000.0,True,849057000.0,FY_latest,False,169252158.9691162,-0.2673274278640747,-0.0504530403289579,行業殺,17.0,Electrical Work,False,2024-12-31,2025-02-20,USD
events.csv(正本),A(淨現金 N2),5,0000927003,AEIS,ADVANCED ENERGY INDUSTRIES INC,2025-04-04,2025,2025-04-07,2.3645734951592674,2981143613.0830383,37721671.0,722086000.0,564695000.0,True,130747000.0,FY_latest,False,31462409.16595459,-0.2664451003074646,-0.2803215904616896,行業殺,36.0,"Electronic Components, NEC",False,2024-12-31,2025-02-18,USD
events.csv(正本),A(淨現金 N2),6,0001314727,SONO,Sonos Inc,2020-03-13,2020,2020-03-16,2.3636732860384813,929515780.5188084,110001870.0,408419000.0,32631000.0,True,147426000.0,YTD_diff,False,22132045.25952339,-0.3125176131725311,-0.350424741911913,個別殺,36.0,Household Audio & Video Equipment,False,2019-12-28,2020-02-06,USD
events.csv(正本),A(淨現金 N2),7,0001511737,UI,Ubiquiti Inc.,2012-11-06,2012,2012-11-07,1.869105228604632,986841190.5079994,88984777.0,122060000.0,29591000.0,True,81788000.0,FY_latest,False,4440445.081520081,-0.2771627306938171,-0.4125271674552728,個別殺,36.0,Radio & Tv Broadcasting & Communications Equipment,False,2012-06-30,2012-09-28,USD
events.csv(正本),A(淨現金 N2),8,0001039399,FORM,FORMFACTOR INC,2025-03-24,2025,2025-03-25,1.8141115653811544,2505527924.06971,77450635.0,184506000.0,13586000.0,True,90871000.0,YTD_diff,False,28345280.53998947,-0.2716180086135864,-0.2793399304371443,個別殺,36.0,Semiconductors & Related Devices,False,2024-09-28,2024-11-05,USD
events.csv(正本),A(淨現金 N2),9,0001645113,NVCR,NovoCure Ltd,2020-06-24,2020,2020-06-25,1.7457979870197664,5961131354.9902725,100440295.0,181919000.0,149465000.0,True,32892000.0,YTD_diff,False,54593555.33409119,-0.2740841805934906,-0.2164855718386463,個別殺,38.0,Surgical & Medical Instruments & Apparatus,False,2020-03-31,2020-04-30,USD
events.csv(正本),A(淨現金 N2),10,0000874238,STRL,"STERLING INFRASTRUCTURE, INC.",2025-02-11,2025,2025-02-12,1.7274700170721498,4449714802.366333,30713105.0,648127000.0,322610000.0,True,470204000.0,YTD_diff,False,59242276.19934082,-0.2564602494239807,0.020772360656009,個別殺,16.0,Heavy Construction Other Than Bldg Const - Contractors,False,2024-09-30,2024-11-07,USD
