版本,年份切法,軸一格,進場格,期,2020年觸發佔比,樣本N,勝率,平均超額,中位超額,賠率,可信度
A(淨現金 N2),全期 2010-2026,行業殺,觸發日即買,1m,0.12612612612612611,107,0.5420560747663551,0.01230178227573541,0.0107321332258456,1.123690342703244,高
A(淨現金 N2),全期 2010-2026,行業殺,觸發日即買,3m,0.12612612612612611,98,0.5714285714285714,0.06563988140973807,0.055972009856798954,1.2443795295315603,中
A(淨現金 N2),全期 2010-2026,行業殺,觸發日即買,6m,0.12612612612612611,90,0.5444444444444444,0.0986356691566859,0.0203884324163595,1.6439330316436471,中
A(淨現金 N2),全期 2010-2026,行業殺,觸發日即買,12m,0.12612612612612611,80,0.575,0.16461783308224473,0.0949973575991459,1.6399447732063226,中
A(淨現金 N2),全期 2010-2026,行業殺,跌勢衰竭,1m,0.12612612612612611,103,0.5339805825242718,0.01999388607391524,0.0067965761591466,1.0452075939631265,高
A(淨現金 N2),全期 2010-2026,行業殺,跌勢衰竭,3m,0.12612612612612611,98,0.5612244897959183,0.05565005745645641,0.0264013547833473,1.745391937683829,中
A(淨現金 N2),全期 2010-2026,行業殺,跌勢衰竭,6m,0.12612612612612611,86,0.5465116279069767,0.08223444951956554,0.0404767963653219,1.2330083099002145,中
A(淨現金 N2),全期 2010-2026,行業殺,跌勢衰竭,12m,0.12612612612612611,80,0.5625,0.1419477671214172,0.03027567279954595,1.7758722970501073,中
A(淨現金 N2),全期 2010-2026,行業殺,買方回來,1m,0.12612612612612611,102,0.5392156862745098,0.021037349860650718,0.013783404695412348,1.2123071015333744,高
A(淨現金 N2),全期 2010-2026,行業殺,買方回來,3m,0.12612612612612611,95,0.6,0.07874216473935508,0.0356772970656407,1.276978384742285,中
A(淨現金 N2),全期 2010-2026,行業殺,買方回來,6m,0.12612612612612611,82,0.524390243902439,0.06326383931879963,0.02072802025382975,1.3336187955795407,中
A(淨現金 N2),全期 2010-2026,行業殺,買方回來,12m,0.12612612612612611,80,0.5125,0.10294000021154762,0.03213290290732745,1.9431052879738548,中
A(淨現金 N2),全期 2010-2026,個別殺,觸發日即買,1m,0.0794979079497908,472,0.527542372881356,0.012247449896142298,0.00650342247664885,1.0256902186508692,高
A(淨現金 N2),全期 2010-2026,個別殺,觸發日即買,3m,0.0794979079497908,465,0.5053763440860215,0.02235119556458981,0.0019876115462595,0.9948197566294092,高
A(淨現金 N2),全期 2010-2026,個別殺,觸發日即買,6m,0.0794979079497908,445,0.42921348314606744,0.010325002439396064,-0.0437608019300717,0.9967483815732652,高
A(淨現金 N2),全期 2010-2026,個別殺,觸發日即買,12m,0.0794979079497908,412,0.44902912621359226,0.029747285046827183,-0.04239991393727955,0.913145560705736,高
A(淨現金 N2),全期 2010-2026,個別殺,跌勢衰竭,1m,0.0794979079497908,468,0.5192307692307693,0.009397969252283488,0.00409176828575735,0.9627972778736124,高
A(淨現金 N2),全期 2010-2026,個別殺,跌勢衰竭,3m,0.0794979079497908,458,0.4672489082969432,0.01490693892308057,-0.0096021698976431,1.037059600874041,高
A(淨現金 N2),全期 2010-2026,個別殺,跌勢衰竭,6m,0.0794979079497908,437,0.41876430205949655,-0.007353254742931011,-0.0580100131331672,1.0301427366491887,高
A(淨現金 N2),全期 2010-2026,個別殺,跌勢衰竭,12m,0.0794979079497908,410,0.44146341463414634,0.039394665308919996,-0.052585048243146845,1.0427936328868104,高
A(淨現金 N2),全期 2010-2026,個別殺,買方回來,1m,0.0794979079497908,464,0.46336206896551724,-0.004563575098795693,-0.0099508756300054,0.9007355043317069,高
A(淨現金 N2),全期 2010-2026,個別殺,買方回來,3m,0.0794979079497908,450,0.4488888888888889,-0.002352742246177283,-0.0265406478339434,0.8434033367610081,高
A(淨現金 N2),全期 2010-2026,個別殺,買方回來,6m,0.0794979079497908,430,0.42093023255813955,-0.01655962555489709,-0.0663683294898471,0.8963145118279054,高
A(淨現金 N2),全期 2010-2026,個別殺,買方回來,12m,0.0794979079497908,402,0.42039800995024873,0.019658462729947864,-0.07146712038867405,0.9573739534768916,高
A(淨現金 N2),全期 2010-2026,全部,觸發日即買,1m,0.08828522920203735,579,0.5302245250431779,0.012257490594961751,0.0070506767349434,1.0318308643757759,高
A(淨現金 N2),全期 2010-2026,全部,觸發日即買,3m,0.08828522920203735,563,0.5168738898756661,0.029886348695716866,0.0065692937319077,1.1034599241872955,高
A(淨現金 N2),全期 2010-2026,全部,觸發日即買,6m,0.08828522920203735,535,0.4485981308411215,0.02518100244791211,-0.0274120810396764,1.0855063202457171,高
A(淨現金 N2),全期 2010-2026,全部,觸發日即買,12m,0.08828522920203735,492,0.4695121951219512,0.0516774554590902,-0.0248365002224366,0.9774718062532394,高
A(淨現金 N2),全期 2010-2026,全部,跌勢衰竭,1m,0.08828522920203735,571,0.521891418563923,0.011309316770020917,0.004339500150311,0.9724951874645117,高
A(淨現金 N2),全期 2010-2026,全部,跌勢衰竭,3m,0.08828522920203735,556,0.48381294964028776,0.022088279959538902,-0.006900375947679151,1.1073258568641307,高
A(淨現金 N2),全期 2010-2026,全部,跌勢衰竭,6m,0.08828522920203735,523,0.4397705544933078,0.0073781841988944255,-0.0443549147637739,1.0799877328132867,高
A(淨現金 N2),全期 2010-2026,全部,跌勢衰竭,12m,0.08828522920203735,490,0.46122448979591835,0.05613802887014402,-0.04213624622797775,1.0865205315977027,高
A(淨現金 N2),全期 2010-2026,全部,買方回來,1m,0.08828522920203735,566,0.47703180212014135,5.001915184659447e-05,-0.0069901188790798,0.9232292969563411,高
A(淨現金 N2),全期 2010-2026,全部,買方回來,3m,0.08828522920203735,545,0.47522935779816516,0.011783067228365056,-0.0113245413845222,0.9377604261834476,高
A(淨現金 N2),全期 2010-2026,全部,買方回來,6m,0.08828522920203735,512,0.4375,-0.0037753987587190964,-0.05557803377806955,0.9695806056058198,高
A(淨現金 N2),全期 2010-2026,全部,買方回來,12m,0.08828522920203735,482,0.43568464730290457,0.03348112455262003,-0.06188864952033425,1.014955221346072,高
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,觸發日即買,1m,0.0,93,0.5268817204301075,0.0031771203261468624,0.0057632114549774,1.0094419688554341,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,觸發日即買,3m,0.0,84,0.5476190476190477,0.05008412141632457,0.028892436495441348,1.132516169574139,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,觸發日即買,6m,0.0,76,0.5263157894736842,0.08628062041809326,0.016290818428149452,1.4959853900434668,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,觸發日即買,12m,0.0,66,0.5151515151515151,0.12859504956401854,0.00539385804540345,1.436422866829217,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,跌勢衰竭,1m,0.0,89,0.5393258426966292,0.01982823472192928,0.0153580668548587,0.9417389640061222,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,跌勢衰竭,3m,0.0,84,0.5714285714285714,0.04972238190419865,0.0264013547833473,1.4167985294744987,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,跌勢衰竭,6m,0.0,72,0.5416666666666666,0.08601461239462241,0.030251019854628552,1.2503280786108988,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,跌勢衰竭,12m,0.0,66,0.5151515151515151,0.11279090478471653,0.0113570397839568,1.6793822626775974,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,買方回來,1m,0.0,88,0.5227272727272727,0.01697013188512144,0.0131974026862109,1.3439102054066179,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,買方回來,3m,0.0,81,0.6172839506172839,0.079802400706085,0.0356772970656407,1.3700471334865065,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,買方回來,6m,0.0,68,0.5147058823529411,0.04978384307182437,0.012626766004690749,1.399374272329916,中
A(淨現金 N2),全期 剔走 2020 年觸發,行業殺,買方回來,12m,0.0,66,0.4393939393939394,0.07269695380000735,-0.0479856746082133,2.112818627227097,中
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,觸發日即買,1m,0.0,434,0.5184331797235023,0.00787492212231376,0.00264793132882605,0.9260599136027412,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,觸發日即買,3m,0.0,427,0.4918032786885246,0.010792004668137962,-0.0029647089892775,0.9586382500294254,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,觸發日即買,6m,0.0,407,0.41277641277641275,-0.008028811634817805,-0.0466384956908227,0.944646246452024,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,觸發日即買,12m,0.0,374,0.40641711229946526,-0.011506225072660978,-0.12465526976209974,0.8785411368151684,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,跌勢衰竭,1m,0.0,430,0.5209302325581395,0.0075709261851886,0.00513119995785125,0.911327888341117,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,跌勢衰竭,3m,0.0,420,0.45714285714285713,0.00022516105562065325,-0.013702866572879151,0.9818389776278126,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,跌勢衰竭,6m,0.0,399,0.40100250626566414,-0.02149214254446954,-0.0660272327488913,1.0195006237041377,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,跌勢衰竭,12m,0.0,372,0.40860215053763443,0.007443302533395997,-0.0974767664473938,0.9967027707702457,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,買方回來,1m,0.0,426,0.4624413145539906,-0.005700351178586393,-0.0096219922764059,0.8964365145387995,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,買方回來,3m,0.0,412,0.4441747572815534,-0.013358127139276001,-0.03037354336987525,0.8082284573564452,高
A(淨現金 N2),全期 剔走 2020 年觸發,個別殺,買方回來,6m,0.0,392,0.40816326530612246,-0.031647044405319624,-0.0788070022440408,0.8430775223061074,高
