代號,公司,觸發日,十二個月超額,期內最大跌幅,觸發日市值,現金,總債務(gatefix),債務來源,滾動四季經營現金流,近60日中位成交金額,過現金流閘,過市值閘,負債閘狀態,過流動性閘,落組,軸一,軸二,觸發年,外國申報人,SIC 行業
AXTI,AXT INC,2025-05-07,71.57174139555339,-0.0534350658781502,58365432.2954309,22833000.0,1300000.0,companyfacts_fallback,-12112000.0,581375.0009596348,False,False,過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2025,False,Semiconductors & Related Devices
TSSI,"TSS, Inc.",2024-02-09,41.75516400916379,-0.1111111663005948,6481988.0575710535,28703000.0,0.0,companyfacts_fallback,19738000.0,2466.000048816204,True,False,過,False,4 只不過市值閘,個別殺,線下逾 10%,2024,False,Services-Management Consulting Services
DRUG,BRIGHT MINDS BIOSCIENCES INC.,2024-04-23,25.74713947273373,-0.1467890103912219,4999497.4612852335,6747986.0,,資料不足,-7024265.0,31721.499973535538,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2024,True,Pharmaceutical Preparations
IVT,InvenTrust Properties Corp.,2021-08-06,19.7325336751658,-0.1418920240554663,105466848.199203,172111000.0,0.0,companyfacts_fallback,107821000.0,0.0,True,False,過,False,4 只不過市值閘,個別殺,線下逾 10%,2021,False,Real Estate Investment Trusts
KOPN,KOPIN CORP,2020-03-02,18.56832891551816,-0.441176483478513,30246056.761870265,8757699.0,,資料不足,-24798248.0,148325.00110417604,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2020,False,Semiconductors & Related Devices
QUBT,Quantum Computing Inc.,2024-06-05,18.33563667506904,-0.4817518422838481,63493559.14655924,2059285.0,2496480.0,companyfacts_fallback,-19940521.0,826593.6496913433,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2024,False,Services-Prepackaged Software
STLN,"Starling Oncology, Inc.",2024-11-22,16.845514395223383,-0.0592104521453604,11636097.486948594,47402000.0,91537000.0,panel,-34617000.0,29115.30025005341,False,False,不過,False,6 三閘全不過,個別殺,線下逾 10%,2024,False,Services-Offices & Clinics of  Doctors of  Medicine
DXLG,"DESTINATION XL GROUP, INC.",2020-10-02,16.190818796731328,-0.2962963330892855,13919828.143124253,20414000.0,18341000.0,panel,5889000.0,481659.0029641986,True,False,過,False,4 只不過市值閘,個別殺,線下逾 10%,2020,False,Retail-Family Clothing Stores
ABVX,Abivax S.A.,2025-05-19,15.875946852675373,-0.0362069019381128,372485288.8095846,144221000.0,,資料不足,-154072000.0,801556.0189008713,False,False,資料不足,False,9 負債閘資料不足(不納入五組),個別殺,線下逾 10%,2025,True,Pharmaceutical Preparations
BLNK,Blink Charging Co.,2020-05-04,13.23582746579045,-0.0606060759314056,43688513.24152923,7987019.0,0.0,companyfacts_fallback,-10211305.0,550209.0091586113,False,False,過,False,5 不過兩閘(補完),個別殺,線下逾 10%,2020,False,"Miscellaneous Electrical Machinery, Equipment & Supplies"
