ticker,name,source,組別
CRM,Salesforce,新聞點名,座位型應用 SaaS
NOW,ServiceNow,新聞點名,座位型應用 SaaS
WDAY,Workday,新聞點名,座位型應用 SaaS
HUBS,HubSpot,新聞點名,座位型應用 SaaS
MNDY,monday.com,新聞點名,座位型應用 SaaS
ASAN,Asana,新聞點名,座位型應用 SaaS
TEAM,Atlassian,新聞點名,座位型應用 SaaS
DOCU,DocuSign,新聞點名,座位型應用 SaaS
PCTY,Paylocity,新聞點名,座位型應用 SaaS
BL,BlackLine,新聞點名,座位型應用 SaaS
WK,Workiva,新聞點名,座位型應用 SaaS
FRSH,Freshworks,新聞點名,座位型應用 SaaS
PCOR,Procore,新聞點名,座位型應用 SaaS
BRZE,Braze,新聞點名,座位型應用 SaaS
PD,PagerDuty,新聞點名,座位型應用 SaaS
ZM,Zoom Communications,新聞點名,座位型應用 SaaS
CXM,Sprinklr,新聞點名,座位型應用 SaaS
GWRE,Guidewire,新聞點名,垂直/記錄系統
QTWO,Q2 Holdings,新聞點名,垂直/記錄系統
TOST,Toast,新聞點名,垂直/記錄系統
BILL,BILL Holdings,新聞點名,垂直/記錄系統
INTU,Intuit,新聞點名,垂直/記錄系統
SNOW,Snowflake,新聞點名,用量型基建
DDOG,Datadog,新聞點名,用量型基建
MDB,MongoDB,新聞點名,用量型基建
ESTC,Elastic,新聞點名,用量型基建
TWLO,Twilio,新聞點名,用量型基建
NET,Cloudflare,新聞點名,用量型基建
CRWD,CrowdStrike,新聞點名,資安/開發工具
OKTA,Okta,新聞點名,資安/開發工具
GTLB,GitLab,新聞點名,資安/開發工具
PATH,UiPath,新聞點名,資安/開發工具
PAYC,Paycom Software,SIC 補足,座位型應用 SaaS
RNG,RingCentral,新聞點名,座位型應用 SaaS
DOMO,Domo,SIC 補足,座位型應用 SaaS
