event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,Q1,Q3,四分位距,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差,備註
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊低點,3m,20,20,-0.045,-0.0375,-0.0688,-0.0161,0.0528,0.0517,-0.1067,0.1583,0.2,0.1078,-0.1494,0.0579,
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊低點,6m,20,20,-0.1165,-0.1011,-0.1379,-0.0775,0.0604,-0.0122,-0.1632,0.151,0.05,0.0689,-0.1835,0.0588,
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊低點,12m,20,20,-0.0935,-0.0802,-0.1243,-0.0429,0.0813,0.0259,-0.1592,0.1851,0.15,0.0713,-0.1697,0.0682,
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊結束日(新聞),3m,20,20,-0.0777,-0.0681,-0.0972,-0.0497,0.0475,0.0123,-0.1177,0.13,0.15,0.0557,-0.128,0.0484,
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊結束日(新聞),6m,20,20,-0.1689,-0.1734,-0.2373,-0.1288,0.1085,-0.0643,-0.2788,0.2145,0.05,0.0138,-0.2857,0.0796,
E01,2013-05 縮減恐慌殺債券替代品,新聞點名,衝擊結束日(新聞),12m,20,20,-0.1257,-0.1141,-0.1843,-0.0661,0.1183,0.0115,-0.2065,0.2179,0.1,0.053,-0.2249,0.083,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊低點,3m,243,243,-0.0336,0.0052,-0.0687,0.0301,0.0988,0.2437,-0.1351,0.3788,0.3333,1.9958,-0.3451,0.1993,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊低點,6m,243,243,-0.0757,-0.0329,-0.1302,0.0224,0.1525,0.227,-0.1972,0.4242,0.2881,1.4544,-0.4338,0.1819,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊低點,12m,243,243,-0.0471,0.0076,-0.1347,0.0266,0.1613,0.4193,-0.234,0.6533,0.321,4.5296,-0.6524,0.3749,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊結束日(新聞),3m,243,243,-0.0348,-0.0219,-0.0753,0.0171,0.0924,0.1327,-0.1423,0.275,0.2963,0.8298,-0.4312,0.1164,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊結束日(新聞),6m,243,243,-0.092,-0.0671,-0.1629,-0.003,0.1599,0.1636,-0.243,0.4065,0.2469,1.5396,-0.4647,0.1746,
E01,2013-05 縮減恐慌殺債券替代品,同SIC全體,衝擊結束日(新聞),12m,243,243,-0.0456,0.0124,-0.1223,0.0546,0.1769,0.3941,-0.217,0.6111,0.3827,3.6394,-0.6568,0.3231,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊低點,3m,9,9,0.0556,0.0465,0.039,0.0735,0.0345,0.0913,-0.0219,0.1132,0.7778,0.1075,-0.0287,0.0434,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊低點,6m,9,9,-0.0414,-0.0369,-0.0674,0.0643,0.1317,0.0951,-0.2223,0.3174,0.4444,0.124,-0.2485,0.1241,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊低點,12m,9,9,-0.0528,-0.0814,-0.2763,0.045,0.3213,0.1566,-0.2977,0.4543,0.3333,0.1636,-0.298,0.1847,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊結束日(新聞),3m,9,9,0.0156,0.0437,-0.0029,0.098,0.1009,0.1343,-0.0315,0.1658,0.6667,0.1549,-0.038,0.0681,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊結束日(新聞),6m,9,9,-0.1193,-0.0956,-0.153,0.0017,0.1547,0.0473,-0.2785,0.3258,0.3333,0.0682,-0.2792,0.1283,
E02,2015-09 藥價風暴殺專科藥與生物科技,新聞點名,衝擊結束日(新聞),12m,9,9,-0.0512,-0.0717,-0.2115,0.1046,0.3161,0.1325,-0.2648,0.3973,0.3333,0.1428,-0.2861,0.1676,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊低點,3m,299,299,-0.0672,-0.0729,-0.2333,0.0565,0.2898,0.3073,-0.4376,0.7449,0.3478,1.2346,-0.8526,0.2803,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊低點,6m,299,299,-0.144,-0.1313,-0.3228,0.0313,0.3541,0.324,-0.5522,0.8762,0.2943,1.8113,-0.8807,0.3347,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊低點,12m,299,299,-0.1473,-0.084,-0.4337,0.1265,0.5603,0.7108,-0.6871,1.398,0.3712,5.9012,-0.9479,0.6196,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊結束日(新聞),3m,299,299,-0.0251,-0.0357,-0.1638,0.0964,0.2602,0.3426,-0.4169,0.7595,0.4147,1.3272,-0.807,0.276,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊結束日(新聞),6m,299,299,-0.155,-0.1443,-0.3529,0.0243,0.3772,0.3068,-0.5683,0.8751,0.3077,1.4775,-0.878,0.3342,
E02,2015-09 藥價風暴殺專科藥與生物科技,同SIC全體,衝擊結束日(新聞),12m,299,299,-0.1301,-0.0754,-0.3872,0.123,0.5102,0.685,-0.6673,1.3523,0.3612,5.5737,-0.95,0.5797,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊低點,3m,7,7,-0.0114,-0.0039,-0.1123,0.0722,0.1845,0.2432,-0.1793,0.4225,0.4286,0.2432,-0.1793,0.1486,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊低點,6m,7,7,0.1374,0.1174,0.0323,0.1767,0.1444,0.2849,-0.0182,0.3031,0.8571,0.2849,-0.0182,0.1077,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊低點,12m,7,7,0.0771,0.0579,-0.0464,0.159,0.2054,0.3547,-0.2514,0.6061,0.7143,0.3547,-0.2514,0.1987,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊結束日(新聞),3m,7,7,-0.0114,-0.0039,-0.1123,0.0722,0.1845,0.2432,-0.1793,0.4225,0.4286,0.2432,-0.1793,0.1486,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊結束日(新聞),6m,7,7,0.1374,0.1174,0.0323,0.1767,0.1444,0.2849,-0.0182,0.3031,0.8571,0.2849,-0.0182,0.1077,
E03,2017-06 亞馬遜收購全食殺雜貨零售,新聞點名,衝擊結束日(新聞),12m,7,7,0.0771,0.0579,-0.0464,0.159,0.2054,0.3547,-0.2514,0.6061,0.7143,0.3547,-0.2514,0.1987,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊低點,3m,61,61,-0.0521,-0.0451,-0.1231,0.0339,0.1569,0.158,-0.2356,0.3936,0.3279,0.3495,-0.411,0.142,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊低點,6m,61,61,-0.0633,-0.0591,-0.1434,0.039,0.1824,0.1953,-0.3286,0.5239,0.3115,0.5939,-0.6743,0.1992,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊低點,12m,61,61,-0.1083,-0.0271,-0.2087,0.05,0.2587,0.4881,-0.3504,0.8385,0.3443,2.4517,-0.6445,0.4098,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊結束日(新聞),3m,61,61,-0.0521,-0.0451,-0.1231,0.0339,0.1569,0.158,-0.2356,0.3936,0.3279,0.3495,-0.411,0.142,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊結束日(新聞),6m,61,61,-0.0633,-0.0591,-0.1434,0.039,0.1824,0.1953,-0.3286,0.5239,0.3115,0.5939,-0.6743,0.1992,
E03,2017-06 亞馬遜收購全食殺雜貨零售,同SIC全體,衝擊結束日(新聞),12m,61,61,-0.1083,-0.0271,-0.2087,0.05,0.2587,0.4881,-0.3504,0.8385,0.3443,2.4517,-0.6445,0.4098,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊低點,3m,20,20,0.0459,0.0665,-0.063,0.1494,0.2124,0.3195,-0.1114,0.4309,0.6,0.3494,-0.1483,0.1549,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊低點,6m,20,20,-0.0638,-0.0774,-0.2477,0.0914,0.3391,0.1975,-0.3654,0.5629,0.4,0.2477,-0.4463,0.2109,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊低點,12m,20,20,-0.5316,-0.4,-0.6431,-0.2945,0.3487,0.1843,-0.7132,0.8975,0.15,0.4603,-0.7614,0.3477,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊結束日(新聞),3m,20,20,-0.1123,-0.1064,-0.1756,-0.0198,0.1558,0.0239,-0.2669,0.2907,0.2,0.0295,-0.2967,0.104,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊結束日(新聞),6m,20,20,-0.1233,-0.1123,-0.2548,0.0686,0.3234,0.1461,-0.3917,0.5378,0.35,0.1683,-0.4566,0.2022,
E04,2021-02 重開輪動殺居家股,新聞點名,衝擊結束日(新聞),12m,20,20,-0.5914,-0.4718,-0.6823,-0.3243,0.358,0.0168,-0.7546,0.7714,0.1,0.2289,-0.8106,0.3008,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊低點,3m,336,336,-0.0026,0.0761,-0.1154,0.113,0.2284,0.6592,-0.2751,0.9344,0.497,24.7155,-0.6106,1.368,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊低點,6m,336,336,-0.0607,-0.0181,-0.2569,0.0871,0.3441,0.6205,-0.4866,1.1071,0.372,17.3314,-0.7627,0.9979,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊低點,12m,336,336,-0.2577,-0.2132,-0.5429,-0.0015,0.5415,0.4454,-0.7196,1.165,0.25,11.3548,-0.8928,0.7303,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊結束日(新聞),3m,336,336,-0.053,-0.0082,-0.1594,0.035,0.1944,0.4506,-0.3118,0.7624,0.3363,14.3967,-0.6113,0.8233,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊結束日(新聞),6m,336,336,-0.115,-0.0576,-0.3041,0.0742,0.3783,0.5602,-0.5077,1.0679,0.372,16.0062,-0.7596,0.9313,
E04,2021-02 重開輪動殺居家股,同SIC全體,衝擊結束日(新聞),12m,336,336,-0.2739,-0.2405,-0.5673,-0.0273,0.54,0.4003,-0.7501,1.1504,0.2232,8.501,-0.9076,0.6221,
E05,2023-03 地區銀行擠提,新聞點名,衝擊低點,3m,18,18,0.2325,0.3257,0.1486,0.4705,0.3219,0.8009,0.0352,0.7657,0.9444,0.9976,-0.0335,0.3018,
E05,2023-03 地區銀行擠提,新聞點名,衝擊低點,6m,18,18,0.0987,0.2008,0.0069,0.3614,0.3545,0.6741,-0.0828,0.7569,0.7778,1.2211,-0.1121,0.3265,
E05,2023-03 地區銀行擠提,新聞點名,衝擊低點,12m,18,18,0.2816,0.3178,0.0704,0.4494,0.3791,0.808,-0.0494,0.8574,0.8333,1.2101,-0.1211,0.3411,
E05,2023-03 地區銀行擠提,新聞點名,衝擊結束日(新聞),3m,18,18,0.1755,0.2933,0.1441,0.2622,0.118,0.796,0.0404,0.7556,0.9444,0.9696,-0.0145,0.3002,
E05,2023-03 地區銀行擠提,新聞點名,衝擊結束日(新聞),6m,18,18,0.0785,0.2015,0.0028,0.271,0.2682,0.7154,-0.0732,0.7886,0.7222,1.2085,-0.0993,0.3342,
E05,2023-03 地區銀行擠提,新聞點名,衝擊結束日(新聞),12m,18,18,0.1734,0.2223,-0.015,0.387,0.402,0.6974,-0.1104,0.8078,0.6667,0.9607,-0.1537,0.3211,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊低點,3m,313,313,0.1026,0.1222,0.0245,0.2026,0.1781,0.3765,-0.085,0.4615,0.7859,0.9976,-0.3035,0.1768,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊低點,6m,313,313,0.0371,0.0482,-0.0591,0.1497,0.2088,0.2794,-0.1693,0.4487,0.6262,1.2211,-0.6881,0.1717,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊低點,12m,313,313,0.0065,0.0398,-0.1158,0.1677,0.2835,0.4306,-0.2721,0.7026,0.5208,1.9707,-0.7363,0.2897,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊結束日(新聞),3m,313,313,0.0962,0.1172,0.0113,0.1895,0.1782,0.3713,-0.0856,0.4569,0.7796,1.0237,-0.318,0.1769,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊結束日(新聞),6m,313,313,0.0491,0.0586,-0.041,0.1525,0.1935,0.3017,-0.165,0.4667,0.639,1.2085,-0.7209,0.1776,
E05,2023-03 地區銀行擠提,同SIC全體,衝擊結束日(新聞),12m,313,313,-0.0346,0.0085,-0.1481,0.1157,0.2638,0.4004,-0.2873,0.6877,0.4409,2.1427,-0.7295,0.2988,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊低點,3m,23,23,0.0953,0.0919,-0.0342,0.1285,0.1627,0.3309,-0.0707,0.4017,0.6957,0.4782,-0.0898,0.1532,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊低點,6m,23,23,0.0134,0.0675,-0.0655,0.1492,0.2147,0.4025,-0.1488,0.5513,0.5217,0.5989,-0.3302,0.2244,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊低點,12m,23,23,-0.1216,-0.0263,-0.194,0.136,0.33,0.4149,-0.3247,0.7397,0.3043,0.6509,-0.4171,0.2844,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊結束日(新聞),3m,23,23,0.0012,0.019,-0.0906,0.0828,0.1734,0.2155,-0.1133,0.3288,0.5217,0.3292,-0.1412,0.1286,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊結束日(新聞),6m,23,23,-0.0625,0.0449,-0.0965,0.1356,0.2322,0.4481,-0.1639,0.612,0.3478,1.3027,-0.3056,0.3151,
E06,2023-10 減肥藥殺食品與醫療器械,新聞點名,衝擊結束日(新聞),12m,23,23,-0.197,-0.0962,-0.2807,0.009,0.2898,0.3394,-0.3423,0.6817,0.2609,0.6266,-0.4738,0.2706,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊低點,3m,312,312,-0.0039,0.0223,-0.129,0.1191,0.248,0.4783,-0.3543,0.8326,0.4936,2.0978,-0.7885,0.3243,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊低點,6m,312,312,-0.0767,-0.0449,-0.255,0.1193,0.3743,0.5621,-0.5437,1.1057,0.375,2.2594,-0.974,0.425,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊低點,12m,312,312,-0.2232,-0.1461,-0.4679,0.0131,0.481,0.6726,-0.7351,1.4077,0.2628,4.0378,-0.9974,0.5622,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊結束日(新聞),3m,312,312,-0.032,-0.0089,-0.1649,0.0899,0.2548,0.4381,-0.3633,0.8015,0.4391,2.3534,-0.8444,0.3241,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊結束日(新聞),6m,312,312,-0.0827,-0.0364,-0.2563,0.1121,0.3684,0.5885,-0.543,1.1314,0.3974,2.114,-0.9386,0.4353,
E06,2023-10 減肥藥殺食品與醫療器械,同SIC全體,衝擊結束日(新聞),12m,312,312,-0.223,-0.1047,-0.4453,0.0488,0.4941,0.7983,-0.6951,1.4934,0.2788,5.7341,-0.9977,0.6725,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊低點,3m,19,19,0.1465,0.1813,0.0775,0.2503,0.1728,0.4268,-0.0096,0.4364,0.8421,0.5481,-0.0569,0.1626,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊低點,6m,19,19,0.3817,0.4192,0.263,0.6085,0.3455,0.8625,-0.0172,0.8797,0.8947,0.9405,-0.1518,0.32,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊低點,12m,19,19,0.4335,0.6228,0.119,0.812,0.693,1.955,-0.1765,2.1315,0.7895,2.7674,-0.3758,0.8089,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊結束日(新聞),3m,19,19,-0.0685,-0.0676,-0.1293,-0.0052,0.1242,0.1285,-0.262,0.3905,0.2632,0.2345,-0.427,0.1469,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊結束日(新聞),6m,19,19,0.17,0.187,0.0869,0.2966,0.2096,0.4593,-0.078,0.5373,0.9474,0.6188,-0.3426,0.2085,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,新聞點名,衝擊結束日(新聞),12m,19,19,0.2863,0.3327,-0.1836,0.4966,0.6802,1.3086,-0.2561,1.5646,0.6316,2.4808,-0.3618,0.6658,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,同SIC全體,衝擊低點,3m,391,391,-0.0159,0.054,-0.1102,0.1151,0.2253,0.6005,-0.3042,0.9048,0.4655,8.4315,-0.9814,0.5717,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,同SIC全體,衝擊低點,6m,391,391,-0.064,0.1075,-0.1731,0.1737,0.3468,1.0487,-0.4233,1.472,0.4015,8.7899,-0.9893,0.7724,
E07,2025-01 DeepSeek 殺 AI 資本開支鏈,同SIC全體,衝擊低點,12m,391,391,0.0195,0.3513,-0.2353,0.4055,0.6408,2.1975,-0.576,2.7735,0.5217,22.7963,-0.9984,1.6852,
