口徑,特徵,欄名,三分位,n,中位十二個月超額,平均十二個月超額,贏家比例
新聞點名／衝擊低點,市銷率 P/S,f_ps,低,43,-0.0023,0.1444,0.4884
新聞點名／衝擊低點,市銷率 P/S,f_ps,中,34,-0.0478,0.1268,0.4118
新聞點名／衝擊低點,市銷率 P/S,f_ps,高,40,0.0563,0.2056,0.575
新聞點名／衝擊低點,市帳率 P/B,f_pb,低,45,-0.0522,0.24,0.4667
新聞點名／衝擊低點,市帳率 P/B,f_pb,中,38,0.0341,0.1024,0.5263
新聞點名／衝擊低點,市帳率 P/B,f_pb,高,43,0.0348,0.1415,0.5349
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,低,43,-0.0352,0.065,0.4884
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,中,34,-0.1035,0.0387,0.4118
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,高,40,-0.0009,0.157,0.5
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,低,45,-0.0713,0.1781,0.4
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,中,38,-0.0045,0.0394,0.5
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,高,43,-0.0503,0.0429,0.4884
同SIC全體／衝擊低點,市銷率 P/S,f_ps,低,734,-0.0595,0.1078,0.4278
同SIC全體／衝擊低點,市銷率 P/S,f_ps,中,725,-0.0508,0.0917,0.4097
同SIC全體／衝擊低點,市銷率 P/S,f_ps,高,731,-0.088,0.0901,0.4254
同SIC全體／衝擊低點,市帳率 P/B,f_pb,低,807,-0.0642,0.0673,0.4126
同SIC全體／衝擊低點,市帳率 P/B,f_pb,中,801,-0.0577,0.0279,0.402
同SIC全體／衝擊低點,市帳率 P/B,f_pb,高,803,-0.0403,0.1322,0.4446
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,低,734,-0.0623,0.0961,0.4305
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,中,725,-0.0587,0.0715,0.4097
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,高,731,-0.0798,0.2227,0.4049
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,低,807,-0.0724,0.0578,0.4089
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,中,801,-0.0606,0.1762,0.422
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,高,803,-0.0709,0.082,0.3985
