event_id,event,池,窗口,n,中位,平均,前後20差距,贏家比例,最好,最差
E01,2013-05 縮減恐慌殺債券替代品,①池 全部觸發,3m,271,0.0029,0.0433,0.8586,0.5055,3.035,-0.6696
E01,2013-05 縮減恐慌殺債券替代品,①池 過現金流閘(D-173 口徑),3m,135,0.0189,0.0647,0.6662,0.5556,1.4745,-0.4876
E01,2013-05 縮減恐慌殺債券替代品,①池 全部觸發,6m,271,0.0109,0.1193,1.411,0.5203,5.5346,-0.7984
E01,2013-05 縮減恐慌殺債券替代品,①池 過現金流閘(D-173 口徑),6m,135,0.0354,0.0951,0.9065,0.5852,2.4071,-0.4789
E01,2013-05 縮減恐慌殺債券替代品,①池 全部觸發,12m,271,-0.0288,0.1077,1.6856,0.4686,6.2957,-0.8871
E01,2013-05 縮減恐慌殺債券替代品,①池 過現金流閘(D-173 口徑),12m,135,0.0269,0.1651,1.4611,0.563,5.6406,-0.8871
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 全部觸發,3m,434,-0.0685,-0.0524,0.7424,0.3733,2.311,-0.7427
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 過現金流閘(D-173 口徑),3m,267,-0.0457,-0.049,0.6612,0.397,0.9107,-0.7068
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 全部觸發,6m,434,-0.1505,-0.103,0.9838,0.3111,2.4463,-0.9439
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 過現金流閘(D-173 口徑),6m,267,-0.1205,-0.0995,0.8201,0.3333,1.3831,-0.9113
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 全部觸發,12m,434,-0.1361,-0.0546,1.3316,0.3641,3.7656,-0.9743
E02,2015-09 藥價風暴殺專科藥與生物科技,①池 過現金流閘(D-173 口徑),12m,267,-0.059,-0.0332,1.0719,0.4045,2.5174,-0.9743
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 全部觸發,3m,275,-0.0512,-0.0234,0.812,0.3782,2.1974,-0.8366
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 過現金流閘(D-173 口徑),3m,138,-0.0096,0.0158,0.6596,0.471,2.1974,-0.5678
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 全部觸發,6m,275,-0.0727,0.019,1.286,0.4,6.0052,-0.9598
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 過現金流閘(D-173 口徑),6m,138,-0.0189,0.0753,1.1413,0.4783,6.0052,-0.9132
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 全部觸發,12m,275,-0.0596,0.1368,2.1964,0.4618,8.6496,-0.9928
E03,2017-06 亞馬遜收購全食殺雜貨零售,①池 過現金流閘(D-173 口徑),12m,138,0.05,0.148,1.4912,0.5507,5.7009,-0.9695
E04,2021-02 重開輪動殺居家股,①池 全部觸發,3m,823,-0.0862,-0.0391,0.7917,0.3475,5.5689,-0.615
E04,2021-02 重開輪動殺居家股,①池 過現金流閘(D-173 口徑),3m,336,-0.0273,-0.023,0.6051,0.4315,1.0957,-0.6135
E04,2021-02 重開輪動殺居家股,①池 全部觸發,6m,823,-0.1641,-0.0811,1.1042,0.305,9.1311,-0.8812
E04,2021-02 重開輪動殺居家股,①池 過現金流閘(D-173 口徑),6m,336,-0.0789,-0.0472,0.8284,0.378,2.0512,-0.8812
E04,2021-02 重開輪動殺居家股,①池 全部觸發,12m,823,-0.4327,-0.3422,1.1829,0.1543,4.4223,-0.9766
E04,2021-02 重開輪動殺居家股,①池 過現金流閘(D-173 口徑),12m,336,-0.2443,-0.171,1.2711,0.2381,4.4223,-0.9766
E05,2023-03 地區銀行擠提,①池 全部觸發,3m,1426,-0.0582,-0.0282,0.8745,0.3934,3.6369,-0.8987
E05,2023-03 地區銀行擠提,①池 過現金流閘(D-173 口徑),3m,715,-0.0267,-0.018,0.5665,0.4308,1.2831,-0.8262
E05,2023-03 地區銀行擠提,①池 全部觸發,6m,1426,-0.1363,-0.1153,1.1178,0.3001,5.3581,-0.9699
E05,2023-03 地區銀行擠提,①池 過現金流閘(D-173 口徑),6m,715,-0.0659,-0.0548,0.7569,0.3538,1.7967,-0.8997
E05,2023-03 地區銀行擠提,①池 全部觸發,12m,1426,-0.2127,-0.1526,1.4623,0.2931,7.6705,-0.9992
E05,2023-03 地區銀行擠提,①池 過現金流閘(D-173 口徑),12m,715,-0.1411,-0.1059,0.9935,0.3077,1.6468,-0.9897
E06,2023-10 減肥藥殺食品與醫療器械,①池 全部觸發,3m,1036,-0.0582,-0.0224,1.0655,0.4083,4.3766,-0.961
