event_id,event,ticker,entity_id,resolve_status,named_confidence
E01,2013-05 縮減恐慌殺債券替代品,ACC,,代號不在宇宙(多為已除牌/被收購),A
E01,2013-05 縮減恐慌殺債券替代品,AVB,,代號不在宇宙(多為已除牌/被收購),B
E01,2013-05 縮減恐慌殺債券替代品,AEP,,代號不在宇宙(多為已除牌/被收購),B
E01,2013-05 縮減恐慌殺債券替代品,EQR,0000931182,已解析但衝擊起日無報價,
E01,2013-05 縮減恐慌殺債券替代品,TWO,0001465740,已解析但衝擊起日無報價,
E02,2015-09 藥價風暴殺專科藥與生物科技,MNK,,代號不在宇宙(多為已除牌/被收購),A
E02,2015-09 藥價風暴殺專科藥與生物科技,ENDP,,代號不在宇宙(多為已除牌/被收購),A
E03,2017-06 亞馬遜收購全食殺雜貨零售,K,,代號不在宇宙(多為已除牌/被收購),A
E04,2021-02 重開輪動殺居家股,RDFN,,代號不在宇宙(多為已除牌/被收購),B
E05,2023-03 地區銀行擠提,FRC,,代號不在宇宙(多為已除牌/被收購),A
E05,2023-03 地區銀行擠提,CMA,,代號不在宇宙(多為已除牌/被收購),A
E05,2023-03 地區銀行擠提,PACW,,代號不在宇宙(多為已除牌/被收購),A
E05,2023-03 地區銀行擠提,MCBC,,代號不在宇宙(多為已除牌/被收購),A
E05,2023-03 地區銀行擠提,SNV,,代號不在宇宙(多為已除牌/被收購),B
E06,2023-10 減肥藥殺食品與醫療器械,K,,代號不在宇宙(多為已除牌/被收購),B
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,XOM,,代號不在宇宙(多為已除牌/被收購),A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,MRO,,代號不在宇宙(多為已除牌/被收購),A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,APC,,代號在宇宙但衝擊日不在有效時段,A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,LINE,,代號在宇宙但衝擊日不在有效時段,A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,WLL,,代號不在宇宙(多為已除牌/被收購),A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,OAS,,代號不在宇宙(多為已除牌/被收購),A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,KOG,,代號不在宇宙(多為已除牌/被收購),A
E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,DNR,,代號不在宇宙(多為已除牌/被收購),B
E10,2016-11 特朗普當選殺太陽能與醫院,SPWR,,代號在宇宙但衝擊日不在有效時段,A
E10,2016-11 特朗普當選殺太陽能與醫院,LPNT,,代號不在宇宙(多為已除牌/被收購),A
E10,2016-11 特朗普當選殺太陽能與醫院,WCG,,代號不在宇宙(多為已除牌/被收購),A
E10,2016-11 特朗普當選殺太陽能與醫院,SCTY,,代號不在宇宙(多為已除牌/被收購),A
E11,2018-03 劍橋分析私隱風暴殺社交平台,TWTR,,代號不在宇宙(多為已除牌/被收購),B
E12,2019-05 華為實體清單殺半導體,XLNX,,代號不在宇宙(多為已除牌/被收購),A
E14,2023-05 生成式 AI 殺教育科技,UDMY,,代號不在宇宙(多為已除牌/被收購),A
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",APA,,代號在宇宙但衝擊日不在有效時段,A
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",MRO,,代號不在宇宙(多為已除牌/被收購),A
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",XOM,,代號不在宇宙(多為已除牌/被收購),A
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",HA,,代號不在宇宙(多為已除牌/被收購),A
E16,"2020-03 疫情加油價戰殺旅遊休閒與能源(另列,不入主樣本)",ERI,,代號不在宇宙(多為已除牌/被收購),A
