口徑,特徵,欄名,三分位,n_修前,中位十二個月超額_修前,贏家比例_修前,n_修後,中位十二個月超額_修後,贏家比例_修後
同SIC全體／衝擊低點,市帳率 P/B,f_pb,中,801,-0.0472,0.412,801,-0.0577,0.402
同SIC全體／衝擊低點,市帳率 P/B,f_pb,低,807,-0.0153,0.4622,807,-0.0642,0.4126
同SIC全體／衝擊低點,市帳率 P/B,f_pb,高,803,-0.1183,0.3848,803,-0.0403,0.4446
同SIC全體／衝擊低點,市銷率 P/S,f_ps,中,725,-0.041,0.4428,725,-0.0508,0.4097
同SIC全體／衝擊低點,市銷率 P/S,f_ps,低,734,-0.0153,0.4673,734,-0.0595,0.4278
同SIC全體／衝擊低點,市銷率 P/S,f_ps,高,731,-0.1729,0.3529,731,-0.088,0.4254
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,中,801,-0.0543,0.422,801,-0.0606,0.422
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,低,807,-0.0269,0.4634,807,-0.0724,0.4089
同SIC全體／衝擊結束日(新聞),市帳率 P/B,f_pb,高,803,-0.1346,0.3437,803,-0.0709,0.3985
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,中,725,-0.0443,0.4441,725,-0.0587,0.4097
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,低,734,-0.0263,0.47,734,-0.0623,0.4305
同SIC全體／衝擊結束日(新聞),市銷率 P/S,f_ps,高,731,-0.1764,0.3311,731,-0.0798,0.4049
新聞點名／衝擊低點,市帳率 P/B,f_pb,中,38,0.0438,0.5263,38,0.0341,0.5263
新聞點名／衝擊低點,市帳率 P/B,f_pb,低,45,-0.0522,0.4667,45,-0.0522,0.4667
新聞點名／衝擊低點,市帳率 P/B,f_pb,高,43,0.0348,0.5349,43,0.0348,0.5349
新聞點名／衝擊低點,市銷率 P/S,f_ps,中,34,-0.0181,0.4706,34,-0.0478,0.4118
新聞點名／衝擊低點,市銷率 P/S,f_ps,低,43,-0.0023,0.4884,43,-0.0023,0.4884
新聞點名／衝擊低點,市銷率 P/S,f_ps,高,40,0.0209,0.525,40,0.0563,0.575
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,中,38,-0.0045,0.5,38,-0.0045,0.5
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,低,45,-0.0713,0.4,45,-0.0713,0.4
新聞點名／衝擊結束日(新聞),市帳率 P/B,f_pb,高,43,-0.0503,0.4884,43,-0.0503,0.4884
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,中,34,-0.0825,0.4706,34,-0.1035,0.4118
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,低,43,-0.0352,0.4884,43,-0.0352,0.4884
新聞點名／衝擊結束日(新聞),市銷率 P/S,f_ps,高,40,-0.0508,0.45,40,-0.0009,0.5
