籃子,三條中幾條,n_修前,事件數_修前,中位十二個月超額_修前,平均十二個月超額_修前,贏家比例_修前,n_修後,事件數_修後,中位十二個月超額_修後,平均十二個月超額_修後,贏家比例_修後
同SIC全體,-1,1412,14,-0.0196,0.1082,0.4653,1412,14,-0.0196,0.1082,0.4653
同SIC全體,0,253,14,-0.1902,0.2382,0.3794,228,13,-0.1516,0.2981,0.4167
同SIC全體,1,423,14,-0.0144,0.1078,0.4728,451,14,-0.0234,0.0927,0.4523
同SIC全體,2,525,14,-0.0045,0.0685,0.4914,544,14,-0.0019,0.0688,0.4945
同SIC全體,3,211,13,-0.0083,0.0518,0.4882,189,12,-0.0196,0.0295,0.4709
新聞點名,-1,109,13,0.0133,0.1511,0.5138,109,13,0.0133,0.1511,0.5138
新聞點名,0,16,9,-0.0223,0.0864,0.5,16,10,0.0576,0.1149,0.5625
新聞點名,1,40,11,-0.0154,0.1152,0.475,39,10,-0.0644,0.0877,0.4359
新聞點名,2,46,11,0.0306,0.2227,0.5435,48,12,0.0388,0.2232,0.5625
新聞點名,3,7,6,0.0254,0.0337,0.5714,6,6,0.1063,0.0825,0.5
