category,category_name,form,items,filingDate,cik,name,ticker,in_entity_table,has_price,impact_rel_pct_20d,median_vol_60d,price_note,ocf_ttm,ocf_positive,debt,debt_to_ocf,gate_cashflow_pass,gate_debt_pass,candidate,fin_note,accessionNumber,primaryDocument
1,Form 10(分拆登記 10-12B/10-12G),10-12B/A,,2026-08-04,0001658678,"BioStem Technologies, Inc.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001213900-26-084943,ea0300421-1012ba2_biostem.htm
1,Form 10(分拆登記 10-12B/10-12G),10-12G/A,,2026-08-05,0001341878,"B-Scada, Inc.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001493152-26-036192,form10-12ga.htm
1,Form 10(分拆登記 10-12B/10-12G),10-12G/A,,2026-08-17,0001341878,"B-Scada, Inc.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001493152-26-038756,form10-12ga.htm
1,Form 10(分拆登記 10-12B/10-12G),10-12G,,2026-08-26,0001091326,"BIOMOLECULAR LIFE HOLDINGS, INC.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001493152-26-040114,form10-12g.htm
2,8-K Item 1.03(破產),8-K,"1.03,2.04,5.02,7.01,8.01,9.01",2026-08-03,0001415404,EchoStar CORP,ECHO,True,True,-0.13669684391474557,6578750.0,,-85317000.0,False,17556344000.0,,False,False,False,,0001415404-26-000038,sats-20260728x8k.htm
2,8-K Item 1.03(破產),8-K,1.03,2026-08-24,0001873722,Bubblr Inc.,,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001493152-26-039848,form8-k.htm
2,8-K Item 1.03(破產),8-K,"1.01,1.03,9.01",2026-08-28,0001001233,"SANGAMO THERAPEUTICS, INC",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001193125-26-374328,d116527d8k.htm
2,8-K Item 1.03(破產),8-K,"1.01,1.03",2026-08-28,0001720893,"BioXcel Therapeutics, Inc.",BTAI,True,True,,736800.0,衝擊期視窗不足 ±20 個交易日,-50904000.0,False,104451000.0,,False,False,False,,0001104659-26-102570,tm2624233d1_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"1.01,3.01,3.02,5.03,9.01",2026-08-03,0001677077,"Alzamend Neuro, Inc.",ALZN,True,True,0.39175552714082573,47100.0,,-8067813.0,False,0.0,,False,False,False,,0001214659-26-009469,az7312618k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,7.01,8.01,9.01",2026-08-04,0000712515,ELECTRONIC ARTS INC.,,False,False,,,CIK 不在實體表,2294000000.0,True,0.0,0.0,True,True,False,,0001140361-26-031157,ef20079099_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"2.02,3.01,7.01,9.01",2026-08-04,0001130713,"NEIGHBORHOOD INTELLIGENCE, INC.",BBBY,True,True,,2050650.0,衝擊期視窗不足 ±20 個交易日,-71649000.0,False,36455000.0,,False,False,False,,0001628280-26-052552,byon-20260804.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-04,0001864531,"VSEE HEALTH, INC.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001185185-26-003262,vsee8k080426.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-05,0000813298,"DESTINATION XL GROUP, INC.",DXLG,True,True,,60300.0,衝擊期視窗不足 ±20 個交易日,5274000.0,True,0.0,0.0,True,True,False,,0001193125-26-335458,dxlg-20260804.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-05,0001411685,"Vistagen Therapeutics, Inc.",VTGN,True,True,,898550.0,衝擊期視窗不足 ±20 個交易日,-62297000.0,False,0.0,,False,False,False,,0001628280-26-053304,vtgn-20260804.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-05,0001505155,"Upland Software, Inc.",UPLD,True,True,,20945.0,衝擊期視窗不足 ±20 個交易日,25179000.0,True,223843000.0,8.890067119424918,True,False,False,,0001505155-26-000062,upld-20260731.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-05,0001595248,"Genprex, Inc.",GNPX,True,True,,12052.5,衝擊期視窗不足 ±20 個交易日,-15562704.0,False,0.0,,False,False,False,,0001437749-26-025938,gnpx20260805_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-06,0001023994,OLENOX INDUSTRIES INC.,OLOX,True,True,,25050.0,衝擊期視窗不足 ±20 個交易日,-4291945.0,False,19791010.0,,False,False,False,,0001213900-26-085927,ea0300785-8k_olenox.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-06,0001138723,ACCURAY INC,ARAY,True,True,,1364600.0,衝擊期視窗不足 ±20 個交易日,-6981000.0,False,147870000.0,,False,False,False,,0001437749-26-026250,aray20260805_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-07,0000087050,Neonode Inc.,NEON,True,True,,129950.0,衝擊期視窗不足 ±20 個交易日,-11146000.0,False,20000.0,,False,False,False,,0001437749-26-026593,neon20260804_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-07,0001468492,HeartSciences Inc.,HSCS,True,True,,41200.0,衝擊期視窗不足 ±20 個交易日,-7426707.0,False,3622120.0,,False,False,False,,0001213900-26-086773,ea0301173-8k_heart.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,5.02",2026-08-07,0001487197,BARFRESH FOOD GROUP INC.,BRFH,True,True,,7600.0,衝擊期視窗不足 ±20 個交易日,-3142000.0,False,1088000.0,,False,False,False,,0001493152-26-036569,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-07,0001708527,ELUTIA INC.,ELUT,True,True,,65550.0,衝擊期視窗不足 ±20 個交易日,-43993000.0,False,0.0,,False,False,False,,0001104659-26-092718,tm2622521d1_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-07,0001760233,"GIFTIFY, INC.",GIFT,True,True,,46000.0,衝擊期視窗不足 ±20 個交易日,-2190472.0,False,3693532.0,,False,False,False,,0001493152-26-036559,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-07,0001769624,Triller Group Inc.,ILLR,True,True,,260250.0,衝擊期視窗不足 ±20 個交易日,-10552000.0,False,101271000.0,,False,False,False,,0001213900-26-086776,ea0301113-8k_triller.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-07,0001892492,Eightco Holdings Inc.,ORBS,True,True,,15048050.0,衝擊期視窗不足 ±20 個交易日,-21011905.0,False,0.0,,False,False,False,,0001493152-26-036618,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-07,0002092446,Avalanche Treasury Corp,,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001104659-26-092723,tm2622466d1_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-10,0001348362,Lexaria Bioscience Corp.,LEXX,True,True,,4770.0,衝擊期視窗不足 ±20 個交易日,-7425488.0,False,0.0,,False,False,False,,0001640334-26-001302,lxrp_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"1.01,3.01,3.02,7.01,9.01",2026-08-10,0001414767,Netcapital Inc.,NCPL,True,True,,167900.0,衝擊期視窗不足 ±20 個交易日,-8385887.0,False,2420124.0,,False,False,False,,0001493152-26-036916,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-10,0001469443,"Arcadia Biosciences, Inc.",RKDA,True,True,,63450.0,衝擊期視窗不足 ±20 個交易日,-2497000.0,False,0.0,,False,False,False,,0001193125-26-340664,rkda-20260804.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,3.02,7.01,9.01",2026-08-10,0001718227,"Construction Partners, Inc.",ROAD,True,True,,633700.0,衝擊期視窗不足 ±20 個交易日,352844000.0,True,1786166000.0,5.06219745836687,True,False,False,,0001628280-26-055282,road-20260806.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,8.01,9.01",2026-08-10,0001805521,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,FFAI,True,True,,12447300.0,衝擊期視窗不足 ±20 個交易日,-94212000.0,False,49650000.0,,False,False,False,,0001213900-26-087005,ea0301305-8k_faraday.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,4.01,4.02,5.02,9.01",2026-08-10,0001923780,Northann Corp.,,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001575872-26-000562,ncl121_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,8.01",2026-08-11,0001711786,Rocket One Inc.,RKTO,True,True,,1114000.0,衝擊期視窗不足 ±20 個交易日,-10662439.0,False,0.0,,False,False,False,,0001213900-26-087771,ea0301581-8k_rocket.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-11,0001841761,"Grove Collaborative Holdings, Inc.",GROV,True,True,,33550.0,衝擊期視窗不足 ±20 個交易日,-477000.0,False,7500000.0,,False,False,False,,0001841761-26-000066,grov-20260807.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-12,0001651721,"GENERATION INCOME PROPERTIES, INC.",GIPR,True,True,,130200.0,衝擊期視窗不足 ±20 個交易日,805173.0,True,53902964.0,66.9458166133241,True,False,False,"警告:有息負債取不到任何資產負債表口徑的標籤,退用債務附註的本金總額 DebtInstrumentCarryingAmount = 54M —— 本金不等於帳面值(未扣未攤銷折價與發行成本),可能高估。",0001193125-26-346878,gipr-20260806.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-12,0002033770,"CID Holdco, Inc.",DAIC,True,True,,120550.0,衝擊期視窗不足 ±20 個交易日,-11435258.0,False,1127289.0,,False,False,False,,0001213900-26-088070,ea0301685-8k_cidhold.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"1.01,3.01,8.01,9.01",2026-08-13,0001605888,CIRCLE8 GROUP INC,CIRC,True,True,,706350.0,衝擊期視窗不足 ±20 個交易日,-23166424.0,False,567969096.0,,False,False,False,"警告:有息負債取自 LongTermDebt = 566M,但申報歷史裡沒有一個結算日可以判斷它是「全部有息負債的總額」還是「資產負債表非流動那一行」。當成總額處理;若實為非流動,流動到期部分會漏計。",0001213900-26-089264,ea0301845-8k_circle8.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-13,0001753539,BlackSky Technology Inc.,BKSY,True,True,,1521050.0,衝擊期視窗不足 ±20 個交易日,-54157000.0,False,217150000.0,,False,False,False,,0001753539-26-000128,bksy-20260807.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"2.01,3.01,9.01",2026-08-13,0001756180,"NOCERA, INC.",NCRA,True,True,,150776.5,衝擊期視窗不足 ±20 個交易日,-4033209.0,False,22640.0,,False,False,False,,0001683168-26-006346,nocera_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-14,0001096275,Worksport Ltd,WKSP,True,True,,464750.0,衝擊期視窗不足 ±20 個交易日,-22056502.0,False,5276365.0,,False,False,False,,0001493152-26-038479,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,8.01,9.01",2026-08-14,0001140215,"REED'S, INC.",REED,True,True,,14800.0,衝擊期視窗不足 ±20 個交易日,-14641000.0,False,9227000.0,,False,False,False,,0001493152-26-038386,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-14,0001388320,"Actinium Pharmaceuticals, Inc.",ATNM,True,True,,111650.0,衝擊期視窗不足 ±20 個交易日,-22663000.0,False,5000.0,,False,False,False,,0001213900-26-090232,ea0301890-8k_actinium.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-14,0001454938,Teads Holding Co.,TEAD,True,True,,222000.0,衝擊期視窗不足 ±20 個交易日,-42184000.0,False,614467000.0,,False,False,False,,0001454938-26-000057,tead-20260811.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-14,0001702780,"Optimum Communications, Inc.",OPTU,True,True,,6099550.0,衝擊期視窗不足 ±20 個交易日,1027418000.0,True,26662934000.0,25.951398554434515,True,False,False,,0001702780-26-000052,optu-20260813.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-14,0001819142,SES AI Corp,SES,True,True,,11641250.0,衝擊期視窗不足 ±20 個交易日,-58335000.0,False,442000.0,,False,False,False,,0001819142-26-000047,ses-20260813x8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-14,0002006986,"Adagio Medical Holdings, Inc.",ADGM,True,True,,77700.0,衝擊期視窗不足 ±20 個交易日,-16533000.0,False,24836000.0,,False,False,False,,0001104659-26-097242,tm2623192d2_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"2.01,3.01,3.03,5.01,5.02,5.03,7.01,8.01,9.01",2026-08-17,0000915912,AVALONBAY COMMUNITIES INC,,False,False,,,CIK 不在實體表,1660462000.0,True,9044623000.0,5.447052085503914,True,False,False,"警告:有息負債取自 LongTermDebt = 9025M,但申報歷史裡沒有一個結算日可以判斷它是「全部有息負債的總額」還是「資產負債表非流動那一行」。當成總額處理;若實為非流動,流動到期部分會漏計。",0001104659-26-097833,tm2623381d1_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-17,0001527352,"Nexalin Technology, Inc.",NXL,True,True,,200900.0,衝擊期視窗不足 ±20 個交易日,-6128895.0,False,0.0,,False,False,False,,0001829126-26-008934,nexalintec_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"2.02,3.01,9.01",2026-08-17,0001709628,"CLOUDASTRUCTURE, INC.",CSAI,True,True,,307350.0,衝擊期視窗不足 ±20 個交易日,-7355000.0,False,1300000.0,,False,False,False,,0001683168-26-006505,cloud_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-17,0002099656,Helix Acquisition Corp. III,,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001213900-26-090826,ea0302451-8k_helix3.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,5.02,8.01",2026-08-18,0001495584,"Firsthand Technology Value Fund, Inc.",,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001437749-26-028421,sccv20260817_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-18,0001825024,Offerpad Solutions Inc.,OPAD,True,True,,65350.0,衝擊期視窗不足 ±20 個交易日,73648000.0,True,0.0,0.0,True,True,False,,0001193125-26-355453,d159544d8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,3.03,5.03,7.01,9.01",2026-08-18,0001971387,"Liminatus Pharma, Inc.",LIMN,True,True,,71556.0,衝擊期視窗不足 ±20 個交易日,-3972747.0,False,1442500.0,,False,False,False,,0001104659-26-098335,tm2623497d1_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"2.04,3.01,9.01",2026-08-18,0002033770,"CID Holdco, Inc.",DAIC,True,True,,159750.0,衝擊期視窗不足 ±20 個交易日,-11435258.0,False,1127289.0,,False,False,False,,0001213900-26-091288,ea0302597-8k_cidhold.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,8.01,9.01",2026-08-19,0000732026,TRIO-TECH INTERNATIONAL,TRT,True,True,,454550.0,衝擊期視窗不足 ±20 個交易日,1654000.0,True,516000.0,0.31197097944377267,True,True,False,"警告:有息負債取自 LongTermDebt = 1M,但申報歷史裡沒有一個結算日可以判斷它是「全部有息負債的總額」還是「資產負債表非流動那一行」。當成總額處理;若實為非流動,流動到期部分會漏計。",0001437749-26-028480,trt20260818_8k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-19,0001516551,"Skye Bioscience, Inc.",SKYE,True,True,,133800.0,衝擊期視窗不足 ±20 個交易日,-38810453.0,False,143050.0,,False,False,False,,0001628280-26-057804,skye-20260818.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-19,0001719714,Mereo BioPharma Group plc,MREO,True,True,,1437800.0,衝擊期視窗不足 ±20 個交易日,-25346000.0,False,0.0,,False,False,False,,0001193125-26-356168,mreo-20260217.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,7.01,9.01",2026-08-19,0001840425,"OSR Health, Inc.",OSRH,True,True,,678400.0,衝擊期視窗不足 ±20 個交易日,-7203837.0,False,2370947.0,,False,False,False,,0001213900-26-091756,ea0302782-8k_osrhealth.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,"3.01,9.01",2026-08-20,0001378140,"Ocean Power Technologies, Inc.",OPTT,True,True,,4205200.0,衝擊期視窗不足 ±20 個交易日,-20775000.0,False,12012000.0,,False,False,False,,0001493152-26-039393,form8-k.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-20,0001787518,T3 Defense Inc.,DFNS,True,True,,161734.5,衝擊期視窗不足 ±20 個交易日,-13295000.0,False,6567000.0,,False,False,False,,0001185185-26-003654,dfns8k082026.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-20,0001829247,"BullFrog AI Holdings, Inc.",BFRG,True,True,,172200.0,衝擊期視窗不足 ±20 個交易日,-5499495.0,False,90138.0,,False,False,False,,0001628280-26-058143,bfrg-20260818.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-20,0002018145,Rising Dragon Acquisition Corp.,,False,False,,,CIK 不在實體表,,,,,,,False,無 companyfacts 快取,0001213900-26-091870,ea0302829-8k_rising.htm
3,8-K Item 3.01(退市 / 不合規通知),8-K,3.01,2026-08-21,0000925741,"BioCardia, Inc.",BCDA,True,True,,294050.0,衝擊期視窗不足 ±20 個交易日,-7563000.0,False,0.0,,False,False,False,,0001437749-26-028744,bcda20260819_8k.htm
