代號,公司,ETF,IGV權重%,CIBR權重%,基準價,急性窗相對大市低點%,急性窗低點日,全期相對大市低點%,全期低點日,現價,至今相對大市%,至今絕對%,回補比例%,衝擊時200日線,事前日均成交額(百萬),市值(十億美元),在200的35家內,備註,收費模式,收費證據,收費備註
U,UNITY SOFTWARE,IGV,0.51,,47.29,-63.1,2026-02-23,-63.1,2026-02-23,42.75,-18.4,-9.6,70.9,線下,325.5,18.5,否,,混合,Our Cloud and Hosting service arrangements are based on a fixed fee or consumption-based model.,固定費加用量
INTA,INTAPP,IGV,0.07,,42.69,-53.5,2026-02-23,-58.6,2026-05-27,39.86,-15.7,-6.6,70.7,線下,24.9,2.9,否,,席位,We generally price our subscriptions based on the number of users adopting our solution and the modules deployed.,按使用人數
TEAM,ATLASSIAN CORP CLASS A,IGV,0.95,,146.44,-52.1,2026-02-23,-60.2,2026-04-10,176.42,8.8,20.5,116.8,線下,380.9,,是,,混合,"Data Center offerings are on-premises term license agreements for the Company’s Data Center products, which are software licensed for a specified period, and include support and maintenance services that are bundled with the license for the term of the license period.",雲訂閱加數據中心授權
ASAN,ASANA CLASS A,IGV,0.03,,12.96,-48.3,2026-02-23,-58.9,2026-05-13,8.79,-38.8,-32.2,19.7,線下,45.9,,是,,席位,"Our core work management product is available in a tiered, seat-based model -Personal, Starter, Advanced, Enterprise, and Enterprise+ -each providing increasing levels of functionality and control to support growing organizational complexity.",按席位
PD,PAGERDUTY,IGV,0.04,,12.26,-48.1,2026-02-23,-52.6,2026-04-14,13.32,-1.9,8.6,96.0,線下,23.9,,是,,席位,"PagerDuty Incident Management is offered as four plan options offered on a per-user basis -Free, Professional, Business and Enterprise -to address increasingly complex requirements.",按用戶
BRZE,BRAZE CLASS A,IGV,0.1,,30.21,-46.8,2026-02-23,-46.8,2026-02-23,30.31,-9.4,0.3,79.8,線下,41.8,,是,,查不到,,10-K 掃不到收費語
HUBS,HUBSPOT,IGV,0.42,,375.96,-44.1,2026-02-11,-57.3,2026-06-25,240.42,-42.3,-36.1,4.1,線下,292.4,,是,,混合,"In addition, our growth strategy involves a scalable pricing model (including freemium versions of our products and our recent seats-based and consumption-based pricing model changes) intended to provide opportunities to increase the value of our customer relationships over time, including as customers expand their use of our platform, or we sell to other parts of their organizations, cross-sell additional products a",席位與用量並存
APP,APPLOVIN CLASS A,IGV,2.58,,658.65,-43.2,2026-02-12,-58.9,2026-08-24,312.01,-57.2,-52.6,-32.6,線下,2388.4,106.4,否,,其他,We may experience heightened levels of variability in the pricing of advertising both in terms of user acquisition and as it relates to our Software Platform and Apps.,"廣告競價,非軟件收費"
KVYO,KLAVIYO SERIES A,IGV,0.09,,28.44,-43.1,2026-02-23,-58.0,2026-06-22,17.89,-43.2,-37.1,-0.2,線下,68.9,4.8,否,,查不到,,"10-K 只講按交易量付給信用卡處理商的**成本**,未講自己按什麼收費(前半版誤判,已改)"
AI,C3 AI CLASS A,IGV,0.05,,14.15,-43.1,2026-02-27,-46.5,2026-07-22,10.51,-32.9,-25.7,23.5,線下,79.3,1.7,否,,用量或交易,"With the consumption-based pricing model, customers either pay a monthly fee and consumption charges using vCPU and vGPU hours as the metric to calculate payment or enter into a time-certain multi-period commitment that may include consumption charges.",按用量
SPSC,SPS COMMERCE,IGV,0.1,,95.48,-43.1,2026-02-25,-51.5,2026-05-14,79.0,-25.3,-17.3,41.3,線下,38.3,2.8,否,,訂閱(未標明計量),Revenue for subscription-based services is recognized on a ratable basis over the contract term beginning on the date that our service is made available to the customer.,"原文只說訂閱,未講計量"
INTU,INTUIT,IGV,2.99,,630.69,-42.9,2026-02-24,-62.2,2026-06-22,318.93,-54.3,-49.4,-26.7,線下,1079.6,,是,,查不到,,10-K 全文掃不到任何收費語
BL,BLACKLINE,IGV,0.05,,57.5,-42.8,2026-02-24,-59.0,2026-05-13,30.14,-52.7,-47.6,-23.1,線下,35.9,,是,,用量或交易,"Our pricing model is designed to allow us to capture additional revenue as our customers' usage of our platform grows, providing us with an opportunity to increase the lifetime value of our customer relationships.",按用量
BMNR,BITMINE IMMERSION TECHNOLOGIES,IGV,0.48,,31.13,-42.7,2026-02-05,-60.4,2026-06-30,24.77,-28.2,-20.4,34.0,,1569.9,14.7,否,,查不到,,"快取的 10-K 是賣股與挖礦年代的舊申報,掃不到收費模式語"
