status,ticker,entry_date,entry_px,exit_date,exit_px,bars,exit_reason,flag,ret,spy_ret,excess,premise,event_id,entity_id,arm,tag
成交,SPG,2013-05-30,87.988965,2013-08-14,79.527927,53.0,跌回200日線下連續10日,直接進場,-0.09796699964081701,0.03070455789198623,-0.12867155753280324,守住,E01,0001063761,A,主口徑
成交,SPG,2013-05-30,87.988965,2013-08-14,79.527927,53.0,跌回200日線下連續10日,即日確認,-0.09796699964081701,0.03070455789198623,-0.12867155753280324,守住,E01,0001063761,B,主口徑
成交,SPG,2013-05-30,,2013-08-14,,53.0,A半:跌回200日線下連續10日 / B半:跌回200日線下連續10日,A半+B半,-0.09796699964081701,,-0.12867155753280324,守住,E01,0001063761,C,主口徑
成交,T,2013-05-30,10.733471,2013-08-29,10.244965,64.0,跌回200日線下連續10日,直接進場,-0.0474204488252602,-0.005652308449414778,-0.04176814037584542,守住,E01,0000732717,A,主口徑
成交,T,2013-05-30,10.733471,2013-08-29,10.244965,64.0,跌回200日線下連續10日,即日確認,-0.0474204488252602,-0.005652308449414778,-0.04176814037584542,守住,E01,0000732717,B,主口徑
成交,T,2013-05-30,,2013-08-29,,64.0,A半:跌回200日線下連續10日 / B半:跌回200日線下連續10日,A半+B半,-0.0474204488252602,,-0.04176814037584542,守住,E01,0000732717,C,主口徑
成交,ED,2013-05-30,35.475499,2013-08-30,34.789063,65.0,跌回200日線下連續10日,直接進場,-0.021309908910160824,0.00018421386633438175,-0.021494122776495206,守住,E01,0001047862,A,主口徑
成交,ED,2013-06-17,35.683727,2013-08-30,34.789063,53.0,跌回200日線下連續10日,升穿確認,-0.02702092541845702,0.006637435202034414,-0.033658360620491434,守住,E01,0001047862,B,主口徑
成交,ED,2013-05-30,,2013-08-30,,65.0,A半:跌回200日線下連續10日 / B半:跌回200日線下連續10日,A半+B半,-0.024165417164308922,,-0.02757624169849332,守住,E01,0001047862,C,主口徑
成交,RMD,2023-10-11,144.78388,2024-10-11,235.941299,252.0,期末未平,直接進場,0.6263526947301585,0.34840091983709587,0.27795177489306266,守住,E06,0000943819,A,主口徑
成交,RMD,2024-01-26,183.098812,2025-01-29,248.593094,252.0,期末未平,升穿確認,0.35498506474875025,0.25008615000856915,0.10489891474018109,守住,E06,0000943819,B,主口徑
成交,RMD,2023-10-11,,2024-10-11,,252.0,A半:期末未平 / B半:期末未平,A半+B半,0.4906688797394544,,0.19142534481662188,守住,E06,0000943819,C,主口徑
成交,KO,2023-10-11,50.032353,2024-10-11,66.182289,252.0,期末未平,直接進場,0.32014559282082455,0.34840091983709587,-0.028255327016271314,守住,E06,0000021344,A,主口徑
成交,KO,2023-12-12,55.0627,2024-11-25,61.187942,240.0,跌回200日線下連續10日,升穿確認,0.10901984945223075,0.3162641127262553,-0.20724426327402456,守住,E06,0000021344,B,主口徑
成交,KO,2023-10-11,,2024-10-11,,252.0,A半:期末未平 / B半:跌回200日線下連續10日,A半+B半,0.21458272113652765,,-0.11774979514514794,守住,E06,0000021344,C,主口徑
成交,MDLZ,2023-10-11,58.749862,2024-04-09,63.41677,123.0,跌回200日線下連續10日,直接進場,0.07727913392316377,0.20336542991905326,-0.1260862959958895,守住,E06,0001103982,A,主口徑
成交,MDLZ,2023-11-15,64.330579,2024-04-09,63.41677,98.0,跌回200日線下連續10日,升穿確認,-0.01617549459095957,0.16468002311373464,-0.1808555177046942,守住,E06,0001103982,B,主口徑
成交,MDLZ,2023-10-11,,2024-04-09,,123.0,A半:跌回200日線下連續10日 / B半:跌回200日線下連續10日,A半+B半,0.030551819666102098,,-0.15347090685029185,守住,E06,0001103982,C,主口徑
成交,MU,2025-02-03,88.309738,2026-02-04,379.182343,252.0,期末未平,直接進場,3.28519399305858,0.17139057269161762,3.1138034203669624,守住,E07,0000723125,A,主口徑
成交,MU,2025-05-14,96.055279,2026-05-15,724.548523,252.0,期末未平,升穿確認,6.527958437152141,0.2719137008118091,6.256044736340332,守住,E07,0000723125,B,主口徑
成交,MU,2025-02-03,,2026-02-04,,252.0,A半:期末未平 / B半:期末未平,A半+B半,4.9065762151053605,,4.684924078353648,守住,E07,0000723125,C,主口徑
成交,AAPL,2025-04-10,187.914182,2025-05-01,207.80186,14.0,①前提被推翻(事後欄),直接進場,0.10362326737711469,0.052990567903689056,0.050632699473425635,被推翻,E08,0000320193,A,主口徑
成交,AAPL,2025-08-11,227.08116933177635,2025-08-11,227.08116933177635,0.0,進場即失效(前提覆核日不遲於進場日),升穿確認,-0.001998999999999973,0.22525231914140953,-0.2272513191414095,被推翻,E08,0000320193,B,主口徑
成交,AAPL,2025-04-10,,2025-05-01,,14.0,A半:①前提被推翻(事後欄) / B半:進場即失效(前提覆核日不遲於進場日),A半+B半,0.05081213368855736,,-0.08830930983399193,被推翻,E08,0000320193,C,主口徑
成交,SWKS,2019-05-28,58.712811,2019-11-01,79.922999,111.0,①前提被推翻(事後欄),直接進場,0.3585320021127232,0.08735054667014941,0.27118145544257377,被推翻,E12,0000004127,A,主口徑
成交,SWKS,2019-07-02,68.499692,2019-11-01,79.922999,86.0,①前提被推翻(事後欄),升穿確認,0.16443199242387063,0.03625795781645147,0.12817403460741916,被推翻,E12,0000004127,B,主口徑
成交,SWKS,2019-05-28,,2019-11-01,,111.0,A半:①前提被推翻(事後欄) / B半:①前提被推翻(事後欄),A半+B半,0.2614819972682969,,0.19967774502499647,被推翻,E12,0000004127,C,主口徑
成交,MSFT,2022-01-11,301.309552,2022-03-17,282.576482,45.0,跌回200日線下連續10日,直接進場,-0.06404689374186645,-0.0680092938482556,0.003962400106389152,守住,E13,0000789019,A,主口徑
成交,MSFT,2022-01-11,301.309552,2022-03-17,282.576482,45.0,跌回200日線下連續10日,即日確認,-0.06404689374186645,-0.0680092938482556,0.003962400106389152,守住,E13,0000789019,B,主口徑
成交,MSFT,2022-01-11,,2022-03-17,,45.0,A半:跌回200日線下連續10日 / B半:跌回200日線下連續10日,A半+B半,-0.06404689374186645,,0.003962400106389152,守住,E13,0000789019,C,主口徑
成交,DUOL,2023-05-09,131.5,2024-05-09,200.580002,252.0,期末未平,直接進場,0.5222740867482465,0.2835419202357483,0.23873216651249818,守住,E14,0001562088,A,主口徑
成交,DUOL,2023-05-09,131.5,2024-05-09,200.580002,252.0,期末未平,即日確認,0.5222740867482465,0.2835419202357483,0.23873216651249818,守住,E14,0001562088,B,主口徑
成交,DUOL,2023-05-09,,2024-05-09,,252.0,A半:期末未平 / B半:期末未平,A半+B半,0.5222740867482465,,0.23873216651249818,守住,E14,0001562088,C,主口徑
成交,T,2013-05-30,10.733471,2013-08-29,10.244965,64.0,跌回200日線下連續10日,即日確認,-0.0474204488252602,-0.005652308449414778,-0.04176814037584542,守住,E01,0000732717,D,主口徑
成交,VZ,2013-05-30,24.979477,2013-10-11,24.141766,94.0,跌回200日線下連續10日,即日確認,-0.035467910962461935,0.03194104936170494,-0.06740896032416688,,E01,0000732712,D,主口徑
成交,SPG,2013-05-30,87.988965,2013-08-14,79.527927,53.0,跌回200日線下連續10日,即日確認,-0.09796699964081701,0.03070455789198623,-0.12867155753280324,守住,E01,0001063761,D,主口徑
未成交,NLY,,,,,,期內未確認,,0.0,,-0.18877565094752646,,E01,0001043219,D,主口徑
成交,ARR,2014-02-06,28.60745,2014-11-28,30.153313,205.0,跌回200日線下連續10日,升穿確認,0.051930050956597196,0.19821857668395992,-0.14628852572736273,,E01,0001428205,D,主口徑
成交,AGNC,2014-02-06,4.450205,2015-02-06,5.130157,252.0,期末未平,升穿確認,0.15048695859848293,0.1935674078587062,-0.04308044926022325,,E01,0001423689,D,主口徑
成交,ED,2013-06-17,35.683727,2013-08-30,34.789063,53.0,跌回200日線下連續10日,升穿確認,-0.02702092541845702,0.006637435202034414,-0.033658360620491434,守住,E01,0001047862,D,主口徑
成交,O,2013-05-30,24.566807,2013-08-26,21.285513,61.0,跌回200日線下連續10日,即日確認,-0.13529817263034605,0.014046174573021819,-0.14934434720336787,,E01,0000726728,D,主口徑
