event_id,arm,n,未成交,平均絕對,中位絕對
E01,A,3.0,0.0,-0.055565785792079346,-0.0474204488252602
E01,B,3.0,0.0,-0.05746945796151141,-0.0474204488252602
E01,C,3.0,0.0,-0.056517621876795376,-0.0474204488252602
E01,D,20.0,1.0,-0.014579420909055835,-0.041444179893861066
E06,A,3.0,0.0,0.3412591404913823,0.32014559282082455
E06,B,3.0,0.0,0.14927647320334048,0.10901984945223075
E06,C,3.0,0.0,0.24526780684736138,0.21458272113652765
E06,D,23.0,0.0,0.12243760120298038,-0.01617549459095957
E07,A,1.0,0.0,3.28519399305858,3.28519399305858
E07,B,1.0,0.0,6.527958437152141,6.527958437152141
E07,C,1.0,0.0,4.9065762151053605,4.9065762151053605
E07,D,19.0,0.0,0.3511766974978969,-0.1675949887690671
E08,A,1.0,0.0,0.10362326737711469,0.10362326737711469
E08,B,1.0,0.0,-0.001998999999999973,-0.001998999999999973
E08,C,1.0,0.0,0.05081213368855736,0.05081213368855736
E08,D,18.0,1.0,0.7571687245089127,0.05086678640553022
E12,A,1.0,0.0,0.3585320021127232,0.3585320021127232
E12,B,1.0,0.0,0.16443199242387063,0.16443199242387063
E12,C,1.0,0.0,0.2614819972682969,0.2614819972682969
E12,D,8.0,0.0,0.18991325311084592,0.10579196694430815
E13,A,1.0,0.0,-0.06404689374186645,-0.06404689374186645
E13,B,1.0,0.0,-0.06404689374186645,-0.06404689374186645
E13,C,1.0,0.0,-0.06404689374186645,-0.06404689374186645
E13,D,14.0,8.0,-0.09367483700069526,0.0
E14,A,1.0,0.0,0.5222740867482465,0.5222740867482465
E14,B,1.0,0.0,0.5222740867482465,0.5222740867482465
E14,C,1.0,0.0,0.5222740867482465,0.5222740867482465
E14,D,2.0,0.0,0.15430258187338763,0.15430258187338763
