列型,樣本,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
彙總,七宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,T、SPG、ED,3,-0.0063,-0.0998,0.3333
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,T,1,-0.0063,-0.0998,0.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,SPG,1,0.0459,-0.0477,1.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,a,3,3,3,ED,1,-0.063,-0.1566,0.0
彙總,七宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,NEE、DLR、DUK,3,0.065,-0.0285,1.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,DLR,1,0.065,-0.0285,1.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,DUK,1,0.0142,-0.0793,1.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,b,3,3,3,NEE,1,0.1197,0.0262,1.0
彙總,七宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,T、VZ、PSA,3,-0.0063,-0.0998,0.3333
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,T,1,-0.0063,-0.0998,0.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,VZ,1,-0.0208,-0.1143,0.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,c,3,3,3,PSA,1,0.0387,-0.0548,1.0
彙總,七宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,ED、SO、NEE,3,-0.0268,-0.1203,0.3333
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,ED,1,-0.063,-0.1566,0.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,SO,1,-0.0268,-0.1203,0.0
逐家,七宗,E01,2013-05 縮減恐慌殺債券替代品,d,3,3,3,NEE,1,0.1197,0.0262,1.0
彙總,七宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,KO、MDLZ、RMD,3,0.1284,0.0068,0.6667
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,KO,1,0.1284,0.0068,1.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,MDLZ,1,0.0,-0.1216,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,a,3,3,3,RMD,1,0.3869,0.2653,1.0
彙總,七宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,EW、CAG、GIS,3,-0.052,-0.1737,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,EW,1,-0.1635,-0.2852,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,GIS,1,-0.0186,-0.1402,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,b,3,3,3,CAG,1,-0.052,-0.1737,0.0
彙總,七宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DVA、DPZ、KHC,3,0.0381,-0.0836,0.6667
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,KHC,1,-0.0046,-0.1263,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DPZ,1,0.0381,-0.0836,1.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DVA,1,0.7726,0.6509,1.0
彙總,七宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KO、PEP、KHC,3,-0.0046,-0.1263,0.3333
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,PEP,1,-0.0459,-0.1676,0.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KO,1,0.1284,0.0068,1.0
逐家,七宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KHC,1,-0.0046,-0.1263,0.0
彙總,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,a,1,1,1,MU,1,2.334,2.7674,1.0
逐家,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,a,1,1,1,MU,1,2.334,2.7674,1.0
彙總,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,b,1,1,1,SMCI,1,-0.8093,-0.3758,0.0
逐家,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,b,1,1,1,SMCI,1,-0.8093,-0.3758,0.0
彙總,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,c,1,1,1,ORCL,1,-0.5136,-0.0801,0.0
逐家,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,c,1,1,1,ORCL,1,-0.5136,-0.0801,0.0
彙總,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,d,1,1,1,MSFT,1,-0.5554,-0.122,0.0
逐家,七宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,d,1,1,1,MSFT,1,-0.5554,-0.122,0.0
彙總,七宗,E08,2025-04 對等關稅殺零售與電子硬件,a,1,1,1,AAPL,1,-0.0369,0.035,0.0
