event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord
E01,中,20,-0.0935,-0.1257,-0.0471,-0.0456,4,2
E02,中,9,-0.0528,-0.0512,-0.1473,-0.1301,4,2
E03,中,7,0.0771,0.0771,-0.1083,-0.1083,4,2
E04,中,20,-0.5316,-0.5914,-0.2577,-0.2739,4,2
E05,中,18,0.2816,0.1734,0.0065,-0.0346,4,2
E06,低,23,-0.1216,-0.197,-0.2232,-0.223,4,1
E07,中,19,0.4335,0.2863,0.0195,-0.0007,4,2
E08,中,18,0.0719,0.033,0.1103,0.1023,4,2
E09,中,5,-0.1335,-0.2217,-0.3966,-0.382,4,2
E10,中,10,0.0825,0.0676,-0.0823,-0.0945,4,2
E11,中,2,-0.1411,-0.1969,0.0258,0.039,2,2
E12,中,8,0.457,0.4359,0.0143,-0.0149,4,2
E13,高,14,-0.3574,-0.3708,-0.14,-0.1615,4,3
E14,高,2,-0.0147,0.013,-0.3025,-0.2774,2,3
