錨,判詞,家數,中位,平均,勝率,註
-,__剔出__,3,,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
T,更壞,15,-0.1216,-0.0026,0.3333,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
T,相稱,16,-0.173,-0.0009,0.375,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
T,更好,18,-0.0364,0.1206,0.5,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
T,資料不足,0,,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
T,__全部__,49,-0.0946,0.0432,0.4082,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
N,更壞,15,-0.1629,-0.0283,0.3333,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
N,相稱,16,-0.1978,-0.0722,0.3125,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
N,更好,18,-0.0661,0.0042,0.4444,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
N,資料不足,0,,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
N,__全部__,49,-0.1404,-0.0307,0.3673,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL
