樣本,錨,欄,損害級,家數,中位,平均,勝率
步〇高,T,全真情境損害級,重大,4,-0.1933,-0.2183,0.25
步〇高,T,全真情境損害級,有限,2,0.4028,0.4028,1.0
步〇高,T,全真情境損害級,輕微,0,,,
步〇高,T,全真情境損害級,輕微或受益,0,,,
步〇高,T,全真情境損害級,資料不足,0,,,
步〇高,T,不成立情境損害級,重大,0,,,
步〇高,T,不成立情境損害級,有限,0,,,
步〇高,T,不成立情境損害級,輕微,5,-0.0894,-0.1295,0.4
步〇高,T,不成立情境損害級,輕微或受益,1,0.58,0.58,1.0
步〇高,T,不成立情境損害級,資料不足,0,,,
步〇高,N,全真情境損害級,重大,4,-0.2146,-0.2226,0.25
步〇高,N,全真情境損害級,有限,2,0.4389,0.4389,1.0
步〇高,N,全真情境損害級,輕微,0,,,
步〇高,N,全真情境損害級,輕微或受益,0,,,
步〇高,N,全真情境損害級,資料不足,0,,,
步〇高,N,不成立情境損害級,重大,0,,,
步〇高,N,不成立情境損害級,有限,0,,,
步〇高,N,不成立情境損害級,輕微,5,-0.1038,-0.1206,0.4
步〇高,N,不成立情境損害級,輕微或受益,1,0.5905,0.5905,1.0
步〇高,N,不成立情境損害級,資料不足,0,,,
步〇低/中,T,全真情境損害級,重大,35,-0.0439,-0.0164,0.3714
步〇低/中,T,全真情境損害級,有限,9,0.0459,0.3271,0.5556
步〇低/中,T,全真情境損害級,輕微,0,,,
步〇低/中,T,全真情境損害級,輕微或受益,0,,,
步〇低/中,T,全真情境損害級,資料不足,2,0.0586,0.0586,0.5
步〇低/中,T,不成立情境損害級,重大,0,,,
步〇低/中,T,不成立情境損害級,有限,1,-0.5523,-0.5523,0.0
步〇低/中,T,不成立情境損害級,輕微,8,-0.0391,-0.0431,0.375
步〇低/中,T,不成立情境損害級,輕微或受益,35,0.0,0.0933,0.4286
步〇低/中,T,不成立情境損害級,資料不足,2,0.0586,0.0586,0.5
步〇低/中,N,全真情境損害級,重大,35,-0.0854,-0.0406,0.3429
步〇低/中,N,全真情境損害級,有限,9,0.0354,0.2966,0.5556
步〇低/中,N,全真情境損害級,輕微,0,,,
步〇低/中,N,全真情境損害級,輕微或受益,0,,,
步〇低/中,N,全真情境損害級,資料不足,2,-0.0133,-0.0133,0.5
步〇低/中,N,不成立情境損害級,重大,0,,,
步〇低/中,N,不成立情境損害級,有限,1,-0.4657,-0.4657,0.0
步〇低/中,N,不成立情境損害級,輕微,8,0.0206,0.002,0.5
步〇低/中,N,不成立情境損害級,輕微或受益,35,-0.0402,0.0485,0.3714
步〇低/中,N,不成立情境損害級,資料不足,2,-0.0133,-0.0133,0.5
