樣本,錨,欄,家數,Spearman,p值,註
步〇高,T,全真情境損害級,6,-0.8281,0.0418,"家數過細,不下結論 相對籃子中位;預期負號"
步〇高,T,不成立情境損害級,6,-0.6547,0.1583,"家數過細,不下結論 相對籃子中位;預期負號"
步〇高,N,全真情境損害級,6,-0.8281,0.0418,"家數過細,不下結論 相對籃子中位;預期負號"
步〇高,N,不成立情境損害級,6,-0.6547,0.1583,"家數過細,不下結論 相對籃子中位;預期負號"
步〇低/中,T,全真情境損害級,44,-0.304,0.0448,相對籃子中位;預期負號
步〇低/中,T,不成立情境損害級,44,-0.1947,0.2055,相對籃子中位;預期負號
步〇低/中,N,全真情境損害級,44,-0.2729,0.0731,相對籃子中位;預期負號
步〇低/中,N,不成立情境損害級,44,-0.1038,0.5025,相對籃子中位;預期負號
全樣本,T,全真情境損害級,50,-0.3764,0.0071,相對籃子中位;預期負號
全樣本,T,不成立情境損害級,50,-0.2222,0.1209,相對籃子中位;預期負號
全樣本,N,全真情境損害級,50,-0.3563,0.0111,相對籃子中位;預期負號
全樣本,N,不成立情境損害級,50,-0.1438,0.319,相對籃子中位;預期負號
