版本,錨,欄,家數,Spearman,p值,註
v1(KARST-204)敘事適用度四級,T,適用度序數 vs 個股超額,44,-0.3707,0.0132,預期負號(敘事越適用越差)
v3(KARST-215)步五全真損害級,T,全真損害序數 vs 個股超額,50,-0.2559,0.0728,預期負號(損害越重越差)
v3(KARST-215)步五不成立損害級,T,不成立損害序數 vs 個股超額,50,-0.1094,0.4496,預期負號
v3(KARST-215)q1 便宜度,T,便宜度序數 vs 個股超額,49,-0.1155,0.4292,預期正號;已剔模型不適用 3 家
v1(KARST-204)敘事適用度四級,N,適用度序數 vs 個股超額,44,-0.348,0.0206,預期負號(敘事越適用越差)
v3(KARST-215)步五全真損害級,N,全真損害序數 vs 個股超額,50,-0.266,0.0619,預期負號(損害越重越差)
v3(KARST-215)步五不成立損害級,N,不成立損害序數 vs 個股超額,50,-0.0323,0.8238,預期負號
v3(KARST-215)q1 便宜度,N,便宜度序數 vs 個股超額,49,-0.0899,0.5392,預期正號;已剔模型不適用 3 家
v2.1(KARST-210)損害四級,T,,10,0.3,,照錄 210 評分表;方向判反(210 原判)
v2.1(KARST-210)步六現價對價值,T,,10,0.3,,照錄 210 評分表;方向判反(210 原判)
v2.1(KARST-210)必要前提守住,T,,10,,,照錄 210 表三:守住 +75.4% 對被推翻 −23.7%;210 判此步方向對
