樣本,錨,欄,家數,Spearman,p值,註
全樣本,T,前提守住=1 vs 十二個月超額,52,-0.07,0.6218,預期負號
只算高信心,T,前提守住=1 vs 十二個月超額,27,-0.0097,0.9618,預期負號
全樣本,T,前提守住=1 vs 相對籃子中位,52,0.0673,0.6353,預期負號
方向校正 全樣本,T,事後指向損害成立=1 vs 十二個月超額,52,-0.2931,0.035,預期負號
方向校正 全樣本,T,事後指向損害成立=1 vs 相對籃子中位,52,-0.2101,0.1349,預期負號
方向校正 只算高信心,T,事後指向損害成立=1 vs 十二個月超額,27,-0.2807,0.1562,預期負號
方向校正 只算高信心,T,事後指向損害成立=1 vs 相對籃子中位,27,-0.3,0.1284,預期負號
全樣本,N,前提守住=1 vs 十二個月超額,52,-0.0619,0.6626,預期負號
只算高信心,N,前提守住=1 vs 十二個月超額,27,0.0097,0.9618,預期負號
全樣本,N,前提守住=1 vs 相對籃子中位,52,0.0269,0.8497,預期負號
方向校正 全樣本,N,事後指向損害成立=1 vs 十二個月超額,52,-0.2697,0.0531,預期負號
方向校正 全樣本,N,事後指向損害成立=1 vs 相對籃子中位,52,-0.1427,0.313,預期負號
方向校正 只算高信心,N,事後指向損害成立=1 vs 十二個月超額,27,-0.2613,0.188,預期負號
方向校正 只算高信心,N,事後指向損害成立=1 vs 相對籃子中位,27,-0.2807,0.1562,預期負號
