表,區塊,event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord,宗數,T錨中位,N錨中位,欄,家數,Spearman,p值,註,樣本,錨,損害級,中位,平均,勝率,判詞,事後,版本,測,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表一 逐宗,,E01,中,20.0,-0.0935,-0.1257,-0.0471,-0.0456,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E02,中,9.0,-0.0528,-0.0512,-0.1473,-0.1301,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E03,中,7.0,0.0771,0.0771,-0.1083,-0.1083,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E04,中,20.0,-0.5316,-0.5914,-0.2577,-0.2739,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E05,中,18.0,0.2816,0.1734,0.0065,-0.0346,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E06,低,23.0,-0.1216,-0.197,-0.2232,-0.223,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E07,中,19.0,0.4335,0.2863,0.0195,-0.0007,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E08,中,18.0,0.0719,0.033,0.1103,0.1023,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E09,中,5.0,-0.1335,-0.2217,-0.3966,-0.382,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E10,中,10.0,0.0825,0.0676,-0.0823,-0.0945,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E11,中,2.0,-0.1411,-0.1969,0.0258,0.039,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E12,中,8.0,0.457,0.4359,0.0143,-0.0149,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E13,高,14.0,-0.3574,-0.3708,-0.14,-0.1615,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 逐宗,,E14,高,2.0,-0.0147,0.013,-0.3025,-0.2774,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
表一 三檔合計,,,高,,,,,,,,2.0,-0.186,-0.1789,,,,,,,,,,,,,,,,,,,,,,
表一 三檔合計,,,中,,,,,,,,11.0,0.0719,0.033,,,,,,,,,,,,,,,,,,,,,,
表一 三檔合計,,,低,,,,,,,,1.0,-0.1216,-0.197,,,,,,,,,,,,,,,,,,,,,,
表一 秩相關,,,,,,,,,,,,,,步〇可信程度序數 vs 籃子中位(T 錨),14.0,-0.1073,0.7151,,,,,,,,,,,,,,,,,,
表一 秩相關,,,,,,,,,,,,,,步〇可信程度序數 vs 籃子中位(N 錨),14.0,-0.0705,0.8108,,,,,,,,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,4.0,,,,步〇高,T,重大,-0.1933,-0.2183,0.25,,,,,,,,,,,
表二 損害級,,,,,,,,,,,,,,全真情境損害級,2.0,,,,步〇高,T,有限,0.4028,0.4028,1.0,,,,,,,,,,,
