event_id,t1,n_rows,n_post_T1_q,cik_found,revenue_ok,revenue_bad,revenue_leak,revenue_coinc,revenue_post,revenue_types,gross_profit_ok,gross_profit_bad,gross_profit_leak,gross_profit_post,operating_income_ok,operating_income_bad,operating_income_leak,operating_income_post,ocf_ok,ocf_bad,ocf_leak,ocf_post,sig_rev_in_text,sig_rev_eq_ex991,sig_rev_vs_ex991_pp,prior_rev_in_text,prior_text_conflict,revenue_nopack,revenue_leakcells,revenue_coincells,revenue_postcells
E001,2015-11-05,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E002,2015-11-04,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,1,0,,,
E003,2015-05-01,8,4,1,8,0,0,0,0,,8,0,0,0,6,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,,
E004,2015-11-06,8,4,1,8,0,0,0,0,,7,0,0,0,8,0,0,0,8,0,0,0,1,1,0.05,1,0,0,,,
E005,2015-08-05,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.04,1,1,0,,,
E006,2015-04-30,8,4,1,8,0,0,1,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,0.0,1,0,0,,2013-09-29(與 2015-10-04 同值),
E007,2015-02-27,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.43,1,0,0,,,
E008,2015-07-30,8,4,1,8,0,0,0,0,,8,0,0,0,8,0,0,0,8,0,0,0,1,1,-0.01,1,1,0,,,
E009,2016-11-08,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.0,1,0,0,,,
E010,2016-05-03,8,4,1,8,0,0,0,0,,8,0,0,0,7,0,0,0,8,0,0,0,1,1,-0.02,1,0,0,,,
E011,2016-11-04,8,4,1,8,0,0,0,2,,8,0,0,2,7,0,0,0,8,0,0,0,1,1,-0.06,1,0,0,,,2014-12-31(值首見於 2017-03-13); 2015-12-31(值首見於 2017-03-13)
