event_id,t1,t2,latest_data_date,verified,iso_leak_n,iso_leak,violations,detail
E001,2015-11-05,2015-11-06,2015-11-05,1,0,,0,
E002,2015-11-04,2015-11-05,2015-11-04,1,0,,0,
E003,2015-05-01,2015-05-04,2015-05-01,1,0,,0,
E004,2015-11-06,2015-11-09,2015-11-06,1,0,,0,
E005,2015-08-05,2015-08-06,2015-08-05,1,0,,0,
E006,2015-04-30,2015-05-01,2015-04-30,1,0,,0,
E007,2015-02-27,2015-03-02,2015-02-27,1,0,,0,
E008,2015-07-30,2015-07-31,2015-07-30,1,0,,0,
E009,2016-11-08,2016-11-09,2016-11-08,1,0,,0,
E010,2016-05-03,2016-05-04,2016-05-03,1,0,,0,
E011,2016-11-04,2016-11-07,2016-11-04,1,0,,0,
E012,2016-04-20,2016-04-21,2016-04-20,1,0,,0,
E013,2016-11-03,2016-11-04,2016-11-03,1,0,,0,
E014,2016-05-19,2016-05-20,2016-05-19,1,0,,0,
E015,2016-02-23,2016-02-24,2016-02-23,1,0,,0,
E016,2016-05-24,2016-05-25,2016-05-24,1,0,,0,
E017,2017-02-09,2017-02-10,2017-02-09,1,0,,0,
E018,2017-02-16,2017-02-17,2017-02-16,1,0,,0,
E019,2017-11-02,2017-11-03,2017-11-02,1,0,,0,
E020,2017-08-01,2017-08-02,2017-08-01,1,0,,0,
E021,2017-05-03,2017-05-04,2017-05-03,1,0,,0,
E022,2017-03-01,2017-03-02,2017-03-01,1,0,,0,
E023,2017-05-05,2017-05-08,2017-05-05,1,0,,0,
E024,2017-11-06,2017-11-07,2017-11-06,1,0,,0,
E025,2018-05-01,2018-05-02,2018-05-01,1,0,,0,
E026,2018-03-16,2018-03-19,2018-03-16,1,0,,0,
E027,2018-08-01,2018-08-02,2018-08-01,1,0,,0,
E028,2018-11-01,2018-11-02,2018-11-01,1,0,,0,
E029,2018-10-23,2018-10-24,2018-10-23,1,0,,0,
E030,2018-02-06,2018-02-07,2018-02-06,1,0,,0,
E031,2018-08-08,2018-08-09,2018-08-08,1,0,,0,
E032,2018-09-06,2018-09-07,2018-09-06,1,0,,0,
E033,2019-07-24,2019-07-25,2019-07-24,1,0,,0,
E034,2019-05-08,2019-05-09,2019-05-08,1,0,,0,
E035,2019-11-06,2019-11-07,2019-11-06,1,0,,0,
E036,2019-02-08,2019-02-11,2019-02-08,1,0,,0,
E037,2019-08-08,2019-08-09,2019-08-08,1,0,,0,
E038,2019-02-21,2019-02-22,2019-02-21,1,0,,0,
E039,2019-10-31,2019-11-01,2019-10-31,1,0,,0,
E040,2019-07-30,2019-07-31,2019-07-30,1,0,,0,
E041,2020-02-14,2020-02-18,2020-02-14,1,0,,0,
E042,2020-10-21,2020-10-22,2020-10-21,1,0,,0,
E043,2020-11-06,2020-11-09,2020-11-06,1,0,,0,
E044,2020-05-06,2020-05-07,2020-05-06,1,0,,0,
E045,2020-05-22,2020-05-26,2020-05-22,1,0,,0,
E046,2020-05-28,2020-05-29,2020-05-28,1,0,,0,
E047,2020-10-27,2020-10-28,2020-10-27,1,0,,0,
E048,2020-11-05,2020-11-06,2020-11-05,1,0,,0,
E049,2021-08-05,2021-08-06,2021-08-05,1,0,,0,
E050,2021-02-12,2021-02-16,2021-02-12,1,0,,0,
E051,2021-11-10,2021-11-11,2021-11-10,1,0,,0,
E052,2021-08-04,2021-08-05,2021-08-04,1,0,,0,
E053,2021-02-22,2021-02-23,2021-02-22,1,0,,0,
E054,2021-08-03,2021-08-04,2021-08-03,1,0,,0,
E055,2021-08-06,2021-08-09,2021-08-06,1,0,,0,
B028,2021-08-24,2021-08-25,2021-08-24,1,0,,0,
E057,2022-07-29,2022-08-01,2022-07-29,1,0,,0,
E058,2022-01-28,2022-01-31,2022-01-28,1,0,,0,
E059,2022-02-24,2022-02-25,2022-02-24,1,0,,0,
E060,2022-05-05,2022-05-06,2022-05-05,1,0,,0,
E061,2022-05-17,2022-05-18,2022-05-17,1,0,,0,
E062,2022-11-02,2022-11-03,2022-11-02,1,0,,0,
E063,2022-05-25,2022-05-26,2022-05-25,1,0,,0,
E064,2022-11-15,2022-11-16,2022-11-15,1,0,,0,
E065,2023-10-20,2023-10-23,2023-10-20,1,0,,0,
E066,2023-04-20,2023-04-21,2023-04-20,1,0,,0,
B033,2023-02-16,2023-02-17,2023-02-16,1,0,,0,
E068,2023-07-25,2023-07-26,2023-07-25,1,0,,0,
E069,2023-10-27,2023-10-30,2023-10-27,1,0,,0,
B034,2023-05-11,2023-05-12,2023-05-11,1,0,,0,
E071,2023-11-30,2023-12-01,2023-11-30,1,0,,0,
E072,2023-05-04,2023-05-05,2023-05-04,1,0,,0,
E073,2024-11-22,2024-11-25,2024-11-22,1,0,,0,
E074,2024-05-03,2024-05-06,2024-05-03,1,0,,0,
E075,2024-03-01,2024-03-04,2024-03-01,1,0,,0,
E076,2024-12-13,2024-12-16,2024-12-13,1,0,,0,
E077,2024-11-08,2024-11-11,2024-11-08,1,0,,0,
E078,2024-10-31,2024-11-01,2024-10-31,1,0,,0,
E079,2024-10-25,2024-10-28,2024-10-25,1,0,,0,
E080,2024-08-09,2024-08-12,2024-08-09,1,0,,0,
E081,2025-05-07,2025-05-08,2025-05-07,1,0,,0,
E082,2025-02-27,2025-02-28,2025-02-27,1,0,,0,
E083,2025-05-08,2025-05-09,2025-05-08,1,0,,0,
E084,2025-02-28,2025-03-03,2025-02-28,1,0,,0,
