event_id,stale,g0_stored,g0_truth,prev_stored,prev_truth,accel_stored,accel_truth,accel_truth_lt2
E001,accel_pp,2.565595,2.565595,1.092739,1.092739,147.2857,147.2856,0
E002,g0_signal_q_yoy; accel_pp,0.163116,0.163049,0.176072,0.176072,-1.2955,-1.3023,1
E003,,0.132911,0.132911,-0.208889,-0.208889,34.18,34.18,0
E004,g0_signal_q_yoy; accel_pp,0.19786,0.198437,-0.09411,-0.09411,29.197,29.2547,0
E005,g0_signal_q_yoy; accel_pp,0.394906,0.39548,0.359634,0.359634,3.5272,3.5846,0
E006,g0_signal_q_yoy; accel_pp,0.081775,0.081793,0.0,0.0,8.1775,8.1793,0
E007,g0_signal_q_yoy; accel_pp,0.066914,0.06229,0.031678,0.031678,3.5236,3.0612,0
E008,g0_signal_q_yoy; accel_pp,-0.082829,-0.082906,-0.160792,-0.160792,7.7962,7.7886,0
E009,g0_signal_q_yoy; accel_pp,0.709532,0.709465,0.64402,0.64402,6.5512,6.5445,0
E010,g0_signal_q_yoy; accel_pp,0.147532,0.147296,0.080028,0.080028,6.7504,6.7268,0
E011,g0_signal_q_yoy; accel_pp,0.491713,0.490876,0.365131,0.365131,12.6582,12.5745,0
E012,g0_signal_q_yoy; accel_pp,0.122653,0.122353,0.084599,0.084599,3.8054,3.7754,0
E013,g0_signal_q_yoy; accel_pp,0.211042,0.210947,0.131694,0.131694,7.9348,7.9253,0
E014,accel_pp,0.060713,0.060713,0.037058,0.037058,2.3656,2.3655,0
E015,g0_signal_q_yoy; accel_pp,0.199429,0.202151,-0.015487,-0.015487,21.4915,21.7638,0
E016,g0_signal_q_yoy; accel_pp,0.093013,0.091995,-0.01791,-0.01791,11.0923,10.9905,0
E017,,-0.083232,-0.083232,-0.162186,-0.162186,7.8954,7.8954,0
E018,,2.642329,2.642329,0.639599,0.639599,200.273,200.273,0
E019,g0_signal_q_yoy; accel_pp,0.265534,0.265611,0.22952,0.22952,3.6015,3.6091,0
E020,g0_signal_q_yoy; accel_pp,0.461309,0.461203,0.379246,0.379246,8.2063,8.1957,0
E021,,0.095884,0.095884,0.022387,0.022387,7.3497,7.3497,0
E022,,0.095843,0.095843,0.00011,0.00011,9.5733,9.5733,0
E023,g0_signal_q_yoy; accel_pp,-0.017506,-0.015631,-0.048616,-0.048616,3.111,3.2985,0
E024,,0.053667,0.053667,-0.035935,-0.035935,8.9602,8.9602,0
