event_id,kind,year,bucket,accessionNumber,cik,ticker,reaction_date,signal_q_end,fiscal_quarter,improvement_type,C1_implied_yoy,C1_basis,C1_estimated,C1_guidance_mid_usd,C1_guidance_scale,C1_next_q_implied_rev,C1_next_q_prior_rev,C1_note,C1_snippet,C2_prev4_avg_yoy,C2_n_quarters,C2_n_hist_after_T1,C2_note,C3_g0_text,C3_g0_xbrl
E001,main,2015,能源原材料公用,0001193125-15-366310,0001166003,XPO,2015-11-05,2015-09-30,2015Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,1.806648,4,0,,2.565595,2.565595
E002,main,2015,醫療,0001237831-15-000057,0001237831,GMED,2015-11-04,2015-09-30,2015Q3,指引,,,,277000000.0,往年收入量級,,,指引中值不高於已報累計收入,The company today increased guidance for full year 2015 sales by $15 million to $539 million and earnings per share by $0.03 to $1.07.,0.136223,4,0,,0.163116,0.163049
E003,main,2015,醫療,0001206774-15-001512,0000886744,GERN,2015-05-01,2015-03-31,2015Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.334835,4,0,,0.132911,0.132911
E004,main,2015,科技與軟件,0001005284-15-000110,0001005284,OLED,2015-11-06,2015-09-30,2015Q3,加速,-0.670974,下一財年(分母=以去年同季佔比推當財年總額),真,60000000.0,句中單位字,,,本財年已完成 3 季;指引 60 + 單位判讀(句中單位字),"For 2015, the Company expects to recognize $60 million in SDC licensing revenue for the full year.",-0.032908,4,0,,0.19786,0.198437
E005,main,2015,科技與軟件,0001193125-15-276550,0001142750,AMN,2015-08-05,2015-06-30,2015Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.125366,4,0,,0.394906,0.39548
E006,main,2015,消費與零售,0001140361-15-016823,0000715787,TILE,2015-04-30,2015-04-05,2015Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.02563,4,0,,0.081775,0.081793
E007,main,2015,製造與工業,0001193125-15-066544,0000015615,MTZ,2015-02-27,2014-12-31,2014Q4,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.113546,4,0,,0.066914,0.06229
E008,main,2015,製造與工業,0001104659-15-054499,0001334036,CROX,2015-07-30,2015-06-30,2015Q2,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,-0.043448,4,0,,-0.082829,-0.082906
E009,main,2016,能源原材料公用,0001157523-16-007293,0000719413,HL,2016-11-08,2016-09-30,2016Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.116022,4,0,,0.709532,0.709465
E010,main,2016,醫療,0001437749-16-030565,0000842023,TECH,2016-05-03,2016-03-31,2016Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.145604,4,0,,0.147532,0.147296
E011,main,2016,醫療,0001590714-16-000245,0001590714,ESI,2016-11-04,2016-09-30,2016Q3,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,1.156838,4,1,其中 1 季的首報日晚於 T1,0.491713,0.490876
E012,main,2016,科技與軟件,0001564590-16-016358,0001056696,MANH,2016-04-20,2016-03-31,2016Q1,加速,,,,,,,,無可比財年收入指引(解析器未抽到),,0.132147,4,0,,0.122653,0.122353
