event_id,cohort,year,fq_a3,signal_q_end,T1,status,reason,def_fiscal_year,def_fiscal_quarter,report_date,days_from_T0,n_segments,n_chars,has_qna,err
E001,main,2015,2015Q3,2015-09-30,2015-11-05,有,,2015,3,2015-11-05,1,97,61029,True,
E002,main,2015,2015Q3,2015-09-30,2015-11-04,有,,2015,3,2015-11-03,0,108,38831,True,
E003,main,2015,2015Q1,2015-03-31,2015-05-01,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E004,main,2015,2015Q3,2015-09-30,2015-11-06,有,,2015,3,2015-11-05,0,89,29767,True,
E005,main,2015,2015Q2,2015-06-30,2015-08-05,有,,2015,2,2015-08-05,1,88,54196,True,
E006,main,2015,2015Q2,2015-04-05,2015-04-30,有,,2015,1,2015-04-30,1,112,35175,True,
E007,main,2015,2014Q4,2014-12-31,2015-02-27,有,,2014,4,2015-02-27,1,85,57082,True,
E008,main,2015,2015Q2,2015-06-30,2015-07-30,有,,2015,2,2015-07-30,1,79,54763,True,
E009,main,2016,2016Q3,2016-09-30,2016-11-08,有,,2016,3,2016-11-08,0,99,44111,True,
E010,main,2016,2016Q1,2016-03-31,2016-05-03,有,,2016,3,2016-05-03,0,54,39151,True,
E011,main,2016,2016Q3,2016-09-30,2016-11-04,有,,2016,3,2016-11-04,0,72,48431,True,
E012,main,2016,2016Q1,2016-03-31,2016-04-20,有,,2016,1,2016-04-19,0,51,36852,True,
E013,main,2016,2016Q3,2016-09-30,2016-11-03,有,,2017,2,2016-11-02,0,41,36126,True,
E014,main,2016,2016Q2,2016-04-30,2016-05-19,有,,2017,1,2016-05-19,0,136,63621,True,
E015,main,2016,2015Q4,2015-12-31,2016-02-23,有,,2015,4,2016-02-23,0,110,35028,True,
E016,main,2016,2016Q2,2016-04-30,2016-05-24,有,,2016,2,2016-05-24,1,99,45213,True,
E017,main,2017,2016Q4,2016-12-31,2017-02-09,越界,有稿但 report_date 在 T1 之後,2016,4,2017-02-10,1,,,,
E018,main,2017,2016Q4,2016-12-31,2017-02-16,有,,2016,4,2017-02-16,0,63,36914,True,
E019,main,2017,2017Q3,2017-09-30,2017-11-02,越界,有稿但 report_date 在 T1 之後,2017,3,2017-11-05,3,,,,
E020,main,2017,2017Q2,2017-06-30,2017-08-01,有,,2017,2,2017-08-01,0,81,51612,True,
E021,main,2017,2017Q1,2017-03-31,2017-05-03,有,,2017,1,2017-05-02,0,95,40854,True,
E022,main,2017,2016Q4,2016-12-31,2017-03-01,有,,2016,4,2017-03-01,1,49,41947,True,
E023,main,2017,2017Q1,2017-03-31,2017-05-05,有,,2017,1,2017-05-04,0,44,41968,True,
E024,main,2017,2017Q3,2017-09-30,2017-11-06,有,,2018,2,2017-11-06,0,51,53124,True,
E025,main,2018,2018Q1,2018-03-31,2018-05-01,有,,2018,1,2018-04-30,0,42,40324,True,
E026,main,2018,2017Q4,2017-12-31,2018-03-16,有,,2017,4,2018-03-15,0,31,32980,True,
E027,main,2018,2018Q2,2018-06-30,2018-08-01,有,,2018,4,2018-07-31,0,56,46567,True,
E028,main,2018,2018Q3,2018-09-30,2018-11-01,有,,2019,2,2018-11-01,0,46,61499,True,
E029,main,2018,2018Q3,2018-09-30,2018-10-23,有,,2018,3,2018-10-23,0,101,35996,True,
E030,main,2018,2017Q4,2017-12-30,2018-02-06,有,,2018,2,2018-02-06,0,48,56413,True,
E031,main,2018,2018Q2,2018-06-30,2018-08-08,越界,有稿但 report_date 在 T1 之後,2018,2,2018-08-10,2,,,,
E032,main,2018,2018Q3,2018-07-28,2018-09-06,有,,2019,1,2018-09-05,0,39,33620,True,
E033,main,2019,2019Q2,2019-06-30,2019-07-24,有,,2019,2,2019-07-24,0,71,54133,True,
E034,main,2019,2019Q1,2019-03-31,2019-05-08,有,,2019,1,2019-05-08,1,85,50067,True,
E035,main,2019,2019Q3,2019-09-30,2019-11-06,有,,2020,1,2019-11-06,0,56,50286,True,
E036,main,2019,2018Q4,2018-12-31,2019-02-08,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E037,main,2019,2019Q2,2019-06-30,2019-08-08,越界,有稿但 report_date 在 T1 之後,2019,2,2019-08-09,1,,,,
E038,main,2019,2018Q4,2018-12-31,2019-02-21,有,,2018,4,2019-02-21,0,57,50208,True,
E039,main,2019,2019Q3,2019-09-30,2019-10-31,有,,2019,3,2019-10-31,0,53,40266,True,
E040,main,2019,2019Q2,2019-06-29,2019-07-30,有,,2020,1,2019-07-30,1,46,28263,True,
E041,main,2020,2019Q4,2019-12-31,2020-02-14,有,,2019,4,2020-02-14,1,72,44148,True,
E042,main,2020,2020Q3,2020-08-31,2020-10-21,有,,2020,4,2020-10-20,0,40,48070,True,
E043,main,2020,2020Q3,2020-09-30,2020-11-06,有,,2020,3,2020-11-06,1,59,45144,True,
E044,main,2020,2020Q2,2020-04-30,2020-05-06,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E045,main,2020,2020Q1,2020-03-31,2020-05-22,有,,2020,4,2020-05-22,1,46,50122,True,
E046,main,2020,2020Q2,2020-05-02,2020-05-28,有,,2021,1,2020-05-28,0,50,51305,True,
E047,main,2020,2020Q3,2020-09-30,2020-10-27,有,,2020,3,2020-10-27,0,89,46320,True,
E048,main,2020,2020Q3,2020-09-30,2020-11-05,越界,有稿但 report_date 在 T1 之後,2020,3,2020-11-07,2,,,,
E049,main,2021,2021Q2,2021-06-30,2021-08-05,有,,2021,2,2021-08-05,0,30,47289,True,
E050,main,2021,2021Q1,2021-01-03,2021-02-12,有,,2020,4,2021-02-11,0,42,54465,True,
E051,main,2021,2021Q3,2021-09-30,2021-11-10,有,,2021,3,2021-11-10,1,81,47095,True,
E052,main,2021,2021Q2,2021-06-30,2021-08-04,有,,2021,2,2021-08-03,0,41,31622,True,
E053,main,2021,2020Q4,2020-12-31,2021-02-22,有,,2020,4,2021-02-22,0,66,64305,True,
E054,main,2021,2021Q2,2021-06-30,2021-08-03,有,,2021,2,2021-08-03,0,73,58366,True,
E055,main,2021,2021Q2,2021-06-30,2021-08-06,有,,2021,2,2021-08-06,0,33,30114,True,
E056,main,2021,2021Q3,2021-09-30,2021-11-02,有,,2021,3,2021-11-02,1,59,42015,True,
E057,main,2022,2022Q2,2022-06-30,2022-07-29,有,,2022,2,2022-07-29,0,87,55285,True,
E058,main,2022,2021Q4,2021-12-31,2022-01-28,有,,2021,4,2022-01-28,0,39,26383,True,
E059,main,2022,2021Q4,2021-12-31,2022-02-24,有,,2021,4,2022-02-23,0,58,33963,True,
E060,main,2022,2022Q1,2022-03-31,2022-05-05,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E061,main,2022,2022Q1,2022-03-31,2022-05-17,有,,2022,4,2022-05-16,0,82,55336,True,
E062,main,2022,2022Q3,2022-09-30,2022-11-02,有,,2022,3,2022-11-01,0,125,68227,True,
E063,main,2022,2022Q2,2022-04-30,2022-05-25,有,,2023,1,2022-05-25,0,58,32942,True,
E064,main,2022,2022Q3,2022-09-30,2022-11-15,有,,2022,4,2022-11-14,0,40,57123,True,
E065,main,2023,2023Q3,2023-09-30,2023-10-20,有,,2023,3,2023-10-19,0,71,51046,True,
E066,main,2023,2023Q1,2023-03-31,2023-04-20,有,,2023,1,2023-04-20,0,62,23561,True,
E067,main,2023,2022Q4,2022-12-31,2023-02-03,有,,2023,2,2023-02-02,0,83,57138,True,
E068,main,2023,2023Q2,2023-06-30,2023-07-25,有,,2023,2,2023-07-25,0,62,58361,True,
E069,main,2023,2023Q3,2023-09-30,2023-10-27,有,,2023,3,2023-10-26,0,57,60177,True,
E070,main,2023,2023Q4,2023-10-31,2023-11-30,有,,2024,3,2023-11-29,0,44,56880,True,
E071,main,2023,2023Q4,2023-10-28,2023-11-30,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E072,main,2023,2023Q1,2023-03-31,2023-05-04,有,,2023,1,2023-05-04,1,53,30091,True,
E073,main,2024,2024Q3,2024-09-30,2024-11-22,有,,2024,4,2024-11-22,0,26,25185,True,
E074,main,2024,2024Q1,2024-03-31,2024-05-03,有,,2024,1,2024-05-02,0,54,40826,True,
E075,main,2024,2023Q4,2023-12-31,2024-03-01,有,,2023,4,2024-02-29,0,78,50599,True,
E076,main,2024,2024Q4,2024-11-03,2024-12-13,有,,2024,4,2024-12-12,0,61,36994,True,
E077,main,2024,2024Q3,2024-09-30,2024-11-08,有,,2024,3,2024-11-07,0,44,30475,True,
E078,main,2024,2024Q3,2024-09-30,2024-10-31,有,,2024,3,2024-10-31,0,50,34486,True,
E079,main,2024,2024Q3,2024-09-30,2024-10-25,有,,2024,3,2024-10-25,0,40,50652,True,
E080,main,2024,2024Q2,2024-06-30,2024-08-09,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E081,main,2025,2025Q1,2025-03-31,2025-05-07,有,,2025,1,2025-05-06,0,45,41908,True,
E082,main,2025,2024Q4,2024-12-31,2025-02-27,缺,該季缺(公司有稿但窗口內外 20 日均無),,,,,,,,
E083,main,2025,2025Q1,2025-03-31,2025-05-08,有,,2025,1,2025-05-08,0,56,44150,True,
E084,main,2025,2024Q4,2024-12-31,2025-02-28,有,,2024,4,2025-02-28,0,73,63810,True,
