kind,ticker,day,value,fetched
close,ED,2013-05-21,"(60.869998931884766, '2013-05-21')",2026-09-12
close,ED,2024-08-01,"(100.20999908447266, '2024-08-01')",2026-09-12
close,JPM,2011-08-05,"(37.599998474121094, '2011-08-05')",2026-09-12
close,JPM,2024-08-01,"(207.9600067138672, '2024-08-01')",2026-09-12
close,MET,2011-08-05,"(32.39750289916992, '2011-08-05')",2026-09-12
close,MET,2024-08-01,"(75.77999877929688, '2024-08-01')",2026-09-12
close,NVDA,2024-08-01,"(109.20999908447266, '2024-08-01')",2026-09-12
close,SPG,2013-05-21,"(169.54844665527344, '2013-05-21')",2026-09-12
close,SPG,2024-08-01,"(153.44000244140625, '2024-08-01')",2026-09-12
close,STT,2011-08-05,"(38.7400016784668, '2011-08-05')",2026-09-12
close,STT,2024-08-01,"(83.62999725341797, '2024-08-01')",2026-09-12
close,T,2013-05-21,"(27.90030288696289, '2013-05-21')",2026-09-12
close,T,2024-08-01,"(19.469999313354492, '2024-08-01')",2026-09-12
close,TGT,2022-05-17,"(215.27999877929688, '2022-05-17')",2026-09-12
close,TGT,2024-08-01,"(147.02000427246094, '2024-08-01')",2026-09-12
close,WMT,2022-05-17,"(43.78333282470703, '2022-05-17')",2026-09-12
close,WMT,2024-08-01,"(69.79000091552734, '2024-08-01')",2026-09-12
shares,ED,2013-05-21,,2026-09-12
shares,ED,2024-08-01,345835008.0,2026-09-12
shares,JPM,2011-08-05,,2026-09-12
shares,JPM,2024-08-01,2845100032.0,2026-09-12
shares,MET,2011-08-05,,2026-09-12
shares,MET,2024-08-01,711123008.0,2026-09-12
shares,NVDA,2024-08-01,24598300672.0,2026-09-12
shares,SPG,2013-05-21,,2026-09-12
shares,SPG,2024-08-01,374788000.0,2026-09-12
shares,STT,2011-08-05,,2026-09-12
shares,STT,2024-08-01,299231008.0,2026-09-12
shares,T,2013-05-21,,2026-09-12
shares,T,2024-08-01,7170240000.0,2026-09-12
shares,TGT,2022-05-17,463673984.0,2026-09-12
shares,TGT,2024-08-01,462636992.0,2026-09-12
shares,WMT,2022-05-17,2752780032.0,2026-09-12
shares,WMT,2024-08-01,8043539968.0,2026-09-12
