kind,ticker,date,close_panel,close_yf,shares_panel,shares_ref,split_factor,yf_shares,mcap_before,mcap_after,mcap_yf_ref,err_before_pct,err_after_pct,ref_source,note
事件日,NVDA,2024-08-01,109.21,109.21,2460000000,2024-05-29,1.0,24598300672,268214510193,2686565977478,2686380393869,-90.0,0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),"E18 日圓套息平倉,拆股錯(一拆十之前申報)"
事件日,JPM,2011-08-05,37.6,37.6,3899050011,2011-08-05,1.0,,97916809133,146604274464,146604274464,-33.2,0.0,"yfinance 未還原收市 x 申報封面頁股數(yn 股數歷史自 2015-10 起,該日查不到)","E17 美債降級,高息"
事件日,MET,2011-08-05,32.3975,32.3975,1057493527,2011-08-05,1.122,,21158987420,38439887859,38439887859,-45.0,0.0,"yfinance 未還原收市 x 申報封面頁股數(yn 股數歷史自 2015-10 起,該日查不到)","E17 美債降級,高息"
事件日,STT,2011-08-05,38.74,38.74,504031728,2011-08-05,1.0,,13344856426,19526189989,19526189989,-31.7,0.0,"yfinance 未還原收市 x 申報封面頁股數(yn 股數歷史自 2015-10 起,該日查不到)","E17 美債降級,高息"
事件日,T,2013-05-21,27.9003,27.9003,5380000000,2013-05-03,1.324,,59518394661,198737205500,198737205500,-70.1,0.0,"yfinance 未還原收市 x 申報封面頁股數(yn 股數歷史自 2015-10 起,該日查不到)","E01 縮減恐慌,高息"
事件日,ED,2013-05-21,60.87,60.87,292877396,2013-02-21,1.0,,10919153833,17827446782,17827446782,-38.8,0.0,"yfinance 未還原收市 x 申報封面頁股數(yn 股數歷史自 2015-10 起,該日查不到)","E01 縮減恐慌,高息(公用)"
事件日,SPG,2013-05-21,169.5484,169.5484,,,1.063,,,,,,,面板無股數(該實體在面板內取不到 dei 封面頁股數),"E01 縮減恐慌,高息(房託)"
事件日,WMT,2022-05-17,43.7833,43.7833,2751779629,2022-03-18,3.0,2752780032,114487485786,361446250070,361577653003,-68.3,-0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),E20 通脹殺零售
事件日,TGT,2022-05-17,215.28,215.28,479123918,2021-11-24,1.0,463673984,89320100318,103145796482,99819734710,-10.5,3.3,yfinance 未還原收市 x yfinance 同日流通股數(全外部),E20 通脹殺零售
補充單元測,T,2024-08-01,19.47,19.47,7170243877,2024-07-25,1.0,7170240000,127340688256,139604643362,139604567877,-8.8,0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,ED,2024-08-01,100.21,100.21,346147200,2024-08-01,1.0,345835008,32179219301,34687410595,34656125835,-7.1,0.1,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,SPG,2024-08-01,153.44,153.44,,,1.0,374788000,,,57507471635,,,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,JPM,2024-08-01,207.96,207.96,2871667879,2024-05-01,1.0,2845100032,573112100370,597192071397,591667021756,-3.1,0.9,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,MET,2024-08-01,75.78,75.78,700324845,2024-08-01,1.0,711123008,49753631610,53070615899,53888900678,-7.7,-1.5,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,STT,2024-08-01,83.63,83.63,298620012,2024-08-01,1.0,299231008,23577582325,24973590783,25024688377,-5.8,-0.2,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,NVDA,2024-08-01,109.21,109.21,2460000000,2024-05-29,1.0,24598300672,268214510193,2686565977478,2686380393869,-90.0,0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,WMT,2024-08-01,69.79,69.79,8043543330,2024-06-07,1.0,8043539968,549729535134,561358896365,561358661731,-2.1,0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
補充單元測,TGT,2024-08-01,147.02,147.02,462636573,2024-05-31,1.0,462636992,62453297187,68016830939,68016892540,-8.2,-0.0,yfinance 未還原收市 x yfinance 同日流通股數(全外部),非事件日:全口徑 yfinance 參考單元測
