event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊低點,3m,33,33,0.0192,0.0238,0.141,-0.097,0.238,0.697,0.1923,-0.1602,0.0841
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊低點,6m,33,33,0.0946,0.1163,0.2884,-0.0071,0.2955,0.9091,0.6186,-0.0758,0.1235
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊低點,12m,33,33,0.06,0.0764,0.2988,-0.1063,0.4051,0.697,0.752,-0.2648,0.1724
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊結束日(新聞),3m,33,33,0.0292,0.0379,0.1602,-0.086,0.2462,0.7576,0.2083,-0.1673,0.0889
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊結束日(新聞),6m,33,33,0.1035,0.115,0.2828,-0.0076,0.2905,0.8788,0.5703,-0.066,0.1185
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,新聞點名,衝擊結束日(新聞),12m,33,33,0.0786,0.0883,0.3109,-0.1014,0.4123,0.697,0.7413,-0.2521,0.1712
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊低點,3m,530,530,-0.0219,-0.0195,0.1798,-0.2108,0.3906,0.4302,0.9891,-0.8601,0.1543
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊低點,6m,530,530,-0.0197,-0.0019,0.2841,-0.2529,0.537,0.4453,1.3888,-0.7959,0.2116
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊低點,12m,530,530,-0.024,0.0202,0.4674,-0.3091,0.7765,0.4472,3.5483,-0.8332,0.3581
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊結束日(新聞),3m,530,530,-0.0055,-0.0073,0.1929,-0.2052,0.3981,0.4849,1.115,-0.8579,0.1579
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊結束日(新聞),6m,530,530,-0.0087,0.0058,0.2927,-0.2469,0.5395,0.466,1.1257,-0.82,0.209
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,衝擊結束日(新聞),12m,530,530,-0.0057,0.0303,0.4784,-0.3081,0.7864,0.4849,3.5995,-0.8314,0.3607
E18,2024-08 日圓套息平倉殺半導體,新聞點名,衝擊低點,3m,29,29,-0.0624,-0.0263,0.2918,-0.2684,0.5602,0.3793,0.6116,-0.4183,0.2181
E18,2024-08 日圓套息平倉殺半導體,新聞點名,衝擊低點,6m,29,29,-0.0847,-0.1013,0.1193,-0.3416,0.461,0.2759,0.3479,-0.4001,0.1688
E18,2024-08 日圓套息平倉殺半導體,新聞點名,衝擊低點,12m,29,29,-0.0753,0.0436,0.6069,-0.3048,0.9117,0.4138,1.1197,-0.4203,0.3591
E18,2024-08 日圓套息平倉殺半導體,新聞點名,衝擊結束日(新聞),3m,29,29,-0.0473,-0.0301,0.2807,-0.3216,0.6023,0.4138,0.5174,-0.6016,0.2287
