event,ticker,期末,收入億,去年同季_收入億,收入_按年
E01,T,2013-06-30,320.8,315.8,0.0158
E01,T,2013-09-30,321.6,314.6,0.0222
E01,T,2013-12-31,331.6,325.8,0.018
E01,T,2014-03-31,324.8,313.6,0.0357
E01,SPG,2013-06-30,10.8,11.9,-0.0868
E01,SPG,2013-09-30,11.5,12.3,-0.0665
E01,SPG,2013-12-31,12.5,13.4,-0.0694
E01,SPG,2014-03-31,11.6,10.6,0.0907
E01,ED,2013-06-30,28.2,27.7,0.017
E01,ED,2013-09-30,34.8,34.4,0.0134
E01,ED,2013-12-31,28.7,29.0,-0.0117
E01,ED,2014-03-31,37.9,31.8,0.19
E06,RMD,2023-12-31,11.6,10.3,0.1248
E06,RMD,2024-03-31,12.0,11.2,0.0717
E06,RMD,2024-06-30,12.2,11.2,0.09
E06,RMD,2024-09-30,12.2,11.0,0.1108
E06,KO,2023-12-31,108.5,101.2,0.0721
E06,KO,2024-03-29,113.0,109.8,0.0291
E06,KO,2024-06-28,123.6,119.7,0.0327
E06,KO,2024-09-27,118.5,119.5,-0.0083
E06,MDLZ,2023-12-31,93.1,87.0,0.0712
E06,MDLZ,2024-03-31,92.9,91.7,0.0135
E06,MDLZ,2024-06-30,83.4,85.1,-0.0193
E06,MDLZ,2024-09-30,92.0,90.3,0.0194
E07,MU,2025-02-27,80.5,58.2,0.3827
E07,MU,2025-05-29,93.0,68.1,0.3656
E07,MU,2025-11-27,136.4,87.1,0.5665
E07,MU,2026-02-26,238.6,80.5,1.9629
E08,AAPL,2025-06-28,940.4,857.8,0.0963
E08,AAPL,2025-09-27,1024.7,949.3,0.0794
E08,AAPL,2025-12-27,1437.6,1243.0,0.1565
E08,AAPL,2026-03-28,1111.8,953.6,0.166
E12,SWKS,2019-06-28,7.7,8.9,-0.1423
E12,SWKS,2019-09-27,8.3,10.1,-0.1795
E12,SWKS,2019-12-27,9.0,9.7,-0.0781
E12,SWKS,2020-03-27,7.7,8.1,-0.0547
E13,MSFT,2022-03-31,493.6,417.1,0.1835
E13,MSFT,2022-06-30,518.7,461.5,0.1239
E13,MSFT,2022-09-30,501.2,453.2,0.106
E13,MSFT,2022-12-31,527.5,517.3,0.0197
E14,DUOL,2023-06-30,1.3,0.9,0.4351
E14,DUOL,2023-09-30,1.4,1.0,0.4326
E14,DUOL,2023-12-31,1.5,1.0,0.4547
E14,DUOL,2024-03-31,1.7,1.2,0.4487
