列型,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
彙總,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,a,3,3,3,JPM、STT、MET,3,-0.0472,0.0128,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,a,3,3,3,JPM,1,-0.0059,0.0541,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,a,3,3,3,MET,1,-0.0947,-0.0347,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,a,3,3,3,STT,1,-0.0472,0.0128,0.0
彙總,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,b,3,3,3,USB、CME、AXP,3,-0.0397,0.0203,0.3333
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,b,3,3,3,USB,1,0.0912,0.1512,1.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,b,3,3,3,CME,1,-0.1664,-0.1064,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,b,3,3,3,AXP,1,-0.0397,0.0203,0.0
彙總,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,c,3,3,3,TRV、PFG、ALL,3,0.0605,0.1205,0.6667
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,c,3,3,3,ALL,1,0.272,0.332,1.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,c,3,3,3,TRV,1,0.0605,0.1205,1.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,c,3,3,3,PFG,1,-0.0837,-0.0237,0.0
彙總,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,d,3,3,3,TRV、GS、NTRS,3,-0.0334,0.0266,0.3333
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,d,3,3,3,GS,1,-0.0997,-0.0397,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,d,3,3,3,NTRS,1,-0.0334,0.0266,0.0
逐家,E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,d,3,3,3,TRV,1,0.0605,0.1205,1.0
