event_id,event,籃子,口徑,窗口,n,成熟數,中位,平均,前20均,後20均,前後20差距,贏家比例,最好,最差,標準差
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊低點,3m,33,33,0.1404,0.142,0.2673,0.0103,0.257,0.9091,0.358,-0.0642,0.0966
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊低點,6m,33,33,0.3471,0.3428,0.5686,0.1041,0.4645,0.9394,0.624,-0.0676,0.1741
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊低點,12m,33,33,0.3763,0.3438,0.5856,0.0775,0.5081,0.9697,0.6675,-0.061,0.1871
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊結束日(新聞),3m,33,33,0.0793,0.0734,0.198,-0.0843,0.2823,0.7879,0.2905,-0.211,0.1034
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊結束日(新聞),6m,33,33,0.3129,0.2959,0.564,0.0324,0.5316,0.9091,0.6079,-0.0803,0.1953
E21,2016-06 英國脫歐公投殺歐洲銀行,新聞點名,衝擊結束日(新聞),12m,33,33,0.2814,0.2625,0.4961,0.0308,0.4653,0.9091,0.5606,-0.0632,0.1737
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊低點,3m,640,640,0.0265,0.0416,0.2575,-0.14,0.3974,0.6031,1.8048,-0.7167,0.1758
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊低點,6m,640,640,0.1088,0.1388,0.5245,-0.187,0.7116,0.6859,3.0055,-0.7026,0.2878
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊低點,12m,640,640,0.0831,0.1161,0.6122,-0.2871,0.8993,0.6359,14.8238,-0.9337,0.656
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊結束日(新聞),3m,640,640,0.0153,0.0273,0.215,-0.1369,0.3519,0.5641,1.4025,-0.9218,0.1509
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊結束日(新聞),6m,640,640,0.0903,0.116,0.5068,-0.2274,0.7342,0.6281,2.1283,-0.852,0.2794
E21,2016-06 英國脫歐公投殺歐洲銀行,同SIC全體,衝擊結束日(新聞),12m,640,640,0.0588,0.0894,0.5571,-0.3002,0.8572,0.6109,13.9279,-0.9259,0.6187
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊低點,3m,32,32,-0.0318,-0.0438,0.2273,-0.3179,0.5451,0.4375,0.3156,-0.5335,0.197
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊低點,6m,32,32,-0.227,-0.1815,0.1867,-0.5022,0.6889,0.25,0.3211,-0.6454,0.2419
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊低點,12m,32,32,-0.3882,-0.2879,0.2085,-0.6526,0.8611,0.2188,0.412,-0.729,0.3208
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊結束日(新聞),3m,32,32,-0.1927,-0.1902,0.0326,-0.4455,0.478,0.1875,0.0516,-0.6468,0.1721
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊結束日(新聞),6m,32,32,-0.404,-0.3584,-0.0234,-0.6161,0.5928,0.0625,0.0678,-0.7624,0.206
E22,2021-07 中國監管風暴殺中概股,新聞點名,衝擊結束日(新聞),12m,32,32,-0.4381,-0.3843,0.046,-0.7278,0.7738,0.0938,0.318,-0.7752,0.2899
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊低點,3m,15,15,0.2195,0.2103,0.7368,-0.2329,0.9697,0.8,1.055,-0.4925,0.3676
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊低點,6m,15,15,-0.4703,-0.4143,-0.0639,-0.7065,0.6425,0.0,-0.0142,-0.7744,0.2363
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊低點,12m,15,15,0.3779,0.4793,1.6202,-0.5006,2.1208,0.7333,1.7698,-0.5802,0.7736
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊結束日(新聞),3m,15,15,0.2195,0.2103,0.7368,-0.2329,0.9697,0.8,1.055,-0.4925,0.3676
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊結束日(新聞),6m,15,15,-0.4703,-0.4143,-0.0639,-0.7065,0.6425,0.0,-0.0142,-0.7744,0.2363
E23,2022-06 加密貨幣崩盤殺加密相關股,新聞點名,衝擊結束日(新聞),12m,15,15,0.3779,0.4793,1.6202,-0.5006,2.1208,0.7333,1.7698,-0.5802,0.7736
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊低點,3m,27,27,0.1987,0.2399,0.5403,-0.015,0.5552,0.8889,0.8573,-0.0559,0.1982
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊低點,6m,27,27,0.1512,0.1924,0.7149,-0.1559,0.8708,0.7407,1.1776,-0.3638,0.327
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊低點,12m,27,27,0.1066,0.2512,1.0407,-0.2313,1.272,0.7407,1.9599,-0.5534,0.5029
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊結束日(新聞),3m,27,27,0.239,0.2535,0.5158,0.0586,0.4572,1.0,0.858,0.006,0.1758
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊結束日(新聞),6m,27,27,0.0657,0.1281,0.5849,-0.1977,0.7826,0.6667,0.9842,-0.4211,0.2994
E24,2022-10 對華晶片出口管制新規殺半導體與設備,新聞點名,衝擊結束日(新聞),12m,27,27,0.0272,0.1581,0.8869,-0.3373,1.2242,0.5926,1.8228,-0.6176,0.4716
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,3m,594,594,0.0576,0.0642,0.4572,-0.3046,0.7618,0.6111,2.3136,-0.7484,0.2983
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,6m,594,594,-0.0323,-0.0214,0.5082,-0.5212,1.0293,0.4529,2.1994,-0.8729,0.3808
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊低點,12m,594,594,-0.139,-0.1177,0.5716,-0.7171,1.2887,0.3586,2.8516,-0.9968,0.4866
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),3m,594,594,0.0568,0.0635,0.4453,-0.2999,0.7452,0.6094,1.9607,-0.7712,0.2834
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),6m,594,594,-0.0405,-0.0381,0.4932,-0.5258,1.019,0.4141,2.7857,-0.8922,0.3896
E24,2022-10 對華晶片出口管制新規殺半導體與設備,同SIC全體,衝擊結束日(新聞),12m,594,594,-0.1725,-0.1549,0.519,-0.7413,1.2602,0.3064,2.2611,-0.9967,0.47
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,3m,20,20,-0.0068,0.0311,0.2704,-0.1115,0.3819,0.4,0.4424,-0.1453,0.1464
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,6m,20,20,-0.0125,0.0319,0.4454,-0.2421,0.6875,0.4,0.9559,-0.2952,0.2809
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊低點,12m,20,20,-0.2825,-0.1676,0.5819,-0.5294,1.1113,0.2,1.0133,-0.6723,0.4243
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),3m,20,20,0.0041,0.0151,0.2716,-0.1688,0.4404,0.55,0.4997,-0.2059,0.1629
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),6m,20,20,-0.0169,-0.0099,0.3895,-0.2783,0.6678,0.45,0.9271,-0.3342,0.2819
E25,2023-09 美國汽車工會罷工殺汽車與零件商,新聞點名,衝擊結束日(新聞),12m,20,20,-0.2853,-0.1947,0.4903,-0.523,1.0133,0.2,1.1642,-0.6,0.4116
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,3m,109,109,-0.0421,-0.0498,0.3526,-0.4411,0.7936,0.3578,2.0184,-0.9359,0.3374
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,6m,109,109,-0.1227,-0.104,0.4507,-0.5902,1.0409,0.3119,1.4168,-0.9261,0.3967
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊低點,12m,109,109,-0.272,-0.1701,0.7419,-0.7963,1.5383,0.2661,2.8137,-0.9912,0.6166
E25,2023-09 美國汽車工會罷工殺汽車與零件商,同SIC全體,衝擊結束日(新聞),3m,109,109,-0.049,-0.0547,0.3863,-0.4571,0.8435,0.3394,4.3754,-0.9382,0.4936
