cid,name,shock_start,window_end,trough,basket_rel_dd,n_named,n_usable,n_lost
C3,2021-07 中國監管風暴殺中概股,2021-07-01,2021-08-30,2021-08-19,-0.4143,16,16,0
C2,2016-06 英國脫歐公投殺歐洲銀行,2016-06-23,2016-07-27,2016-07-06,-0.177,15,14,1
C4,2022-06 加密崩盤殺加密相關股,2022-06-10,2022-08-01,2022-06-30,-0.168,12,9,3
C10,2020-09 疫苗有效率消息殺居家股,2020-11-06,2020-12-22,2020-11-10,-0.1669,10,9,1
C8,"2018-10 貿易戰殺半導體與工業(218 已駁,覆核)",2018-10-01,2018-11-28,2018-11-12,-0.0981,17,17,0
C1,2015-08 人民幣貶值殺奢侈品與汽車,2015-08-10,2015-09-24,2015-09-23,-0.076,15,11,4
C9,2021-01 GameStop 空頭擠壓殺高空頭股,2021-01-26,2021-03-03,2021-02-18,-0.0722,9,8,1
C5,2018-12 加息路徑恐慌殺房屋建築商,2018-11-30,2019-01-25,2018-12-04,-0.023,14,12,2
C7,2019-08 殖利率倒掛殺銀行,2019-08-13,2019-10-01,2019-08-27,-0.0172,20,19,1
C6,2024-12 對華半導體出口管制新規殺設備商,2024-11-29,2025-01-22,2024-12-05,-0.0013,14,14,0
