event_id,event,ticker,entity_id,resolve_status,named_confidence
E21,2016-06 英國脫歐公投殺歐洲銀行,CS,,代號不在宇宙(多為已除牌/被收購),A
E21,2016-06 英國脫歐公投殺歐洲銀行,BK,,代號不在宇宙(多為已除牌/被收購),B
E22,2021-07 中國監管風暴殺中概股,YY,,代號不在宇宙(多為已除牌/被收購),B
E22,2021-07 中國監管風暴殺中概股,GSX,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,HUT,,代號在宇宙但衝擊日不在有效時段,A
E23,2022-06 加密貨幣崩盤殺加密相關股,BITF,,代號不在宇宙(多為已除牌/被收購),A
E23,2022-06 加密貨幣崩盤殺加密相關股,SDIG,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,GREE,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,DGHI,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,BTCM,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,SQ,,代號不在宇宙(多為已除牌/被收購),B
E23,2022-06 加密貨幣崩盤殺加密相關股,SI,0001699350,已解析但衝擊起日無報價,
E23,2022-06 加密貨幣崩盤殺加密相關股,CORZ,0001839341,已解析但衝擊起日無報價,
E24,2022-10 對華晶片出口管制新規殺半導體與設備,RTEC,,代號不在宇宙(多為已除牌/被收購),B
E25,2023-09 美國汽車工會罷工殺汽車與零件商,AXL,,代號不在宇宙(多為已除牌/被收購),B
E25,2023-09 美國汽車工會罷工殺汽車與零件商,SUP,,代號不在宇宙(多為已除牌/被收購),B
E26,2023-09 長息衝上 5% 殺地產信託(REITs),AVB,,代號不在宇宙(多為已除牌/被收購),A
E26,2023-09 長息衝上 5% 殺地產信託(REITs),CIO,,代號不在宇宙(多為已除牌/被收購),B
E26,2023-09 長息衝上 5% 殺地產信託(REITs),PGRE,,代號不在宇宙(多為已除牌/被收購),B
E26,2023-09 長息衝上 5% 殺地產信託(REITs),EQR,0000931182,已解析但衝擊起日無報價,
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,ANTM,,代號不在宇宙(多為已除牌/被收購),A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,CI,,代號在宇宙但衝擊日不在有效時段,A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,ESRX,,代號不在宇宙(多為已除牌/被收購),A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,ABC,,代號不在宇宙(多為已除牌/被收購),A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,WCG,,代號不在宇宙(多為已除牌/被收購),A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,PDCO,,代號不在宇宙(多為已除牌/被收購),A
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,OMI,,代號不在宇宙(多為已除牌/被收購),B
E27,2018-01 三巨頭健保合資殺健保與藥品分銷,AHCO,0001725255,已解析但衝擊起日無報價,
