組,類型,宗數,規則,事件,逐宗中位之跨宗中位,逐宗相對大市中位之跨宗中位
(a) 新增五宗 E21–E25,價格,2,(a) 清單有限暴露,E21、E23,0.2069,0.584
(a) 新增五宗 E21–E25,價格,2,(b) 跌得最少,E21、E23,0.1069,0.4839
(a) 新增五宗 E21–E25,價格,2,(c) 財務簡篩,E21、E23,-0.1791,0.1981
(a) 新增五宗 E21–E25,價格,2,(d) 低波動,E21、E23,-0.3208,0.0563
(a) 新增五宗 E21–E25,財務,3,(a) 清單有限暴露,E22、E24、E25,-0.039,-0.4119
(a) 新增五宗 E21–E25,財務,3,(b) 跌得最少,E22、E24、E25,-0.0142,-0.2968
(a) 新增五宗 E21–E25,財務,3,(c) 財務簡篩,E22、E24、E25,0.0206,-0.1329
(a) 新增五宗 E21–E25,財務,3,(d) 低波動,E22、E24、E25,0.0244,-0.0173
(b) 連同 218 四宗 E17–E20 共九宗,價格,3,(a) 清單有限暴露,E21、E23、E18,0.2028,0.2567
(b) 連同 218 四宗 E17–E20 共九宗,價格,3,(b) 跌得最少,E21、E23、E18,-0.1111,0.0283
(b) 連同 218 四宗 E17–E20 共九宗,價格,3,(c) 財務簡篩,E21、E23、E18,-0.1115,0.0283
(b) 連同 218 四宗 E17–E20 共九宗,價格,3,(d) 低波動,E21、E23、E18,-0.2936,0.0283
(b) 連同 218 四宗 E17–E20 共九宗,財務,6,(a) 清單有限暴露,E22、E24、E25、E17、E19、E20,-0.0003,0.0425
(b) 連同 218 四宗 E17–E20 共九宗,財務,6,(b) 跌得最少,E22、E24、E25、E17、E19、E20,0.0689,0.1051
(b) 連同 218 四宗 E17–E20 共九宗,財務,6,(c) 財務簡篩,E22、E24、E25、E17、E19、E20,0.0136,0.0134
(b) 連同 218 四宗 E17–E20 共九宗,財務,6,(d) 低波動,E22、E24、E25、E17、E19、E20,0.0089,0.027
(c) 連同 216 開發七宗共十六宗,價格,6,(a) 清單有限暴露,E21、E23、E18、E01、E07、E13,0.2142,0.1921
(c) 連同 216 開發七宗共十六宗,價格,6,(b) 跌得最少,E21、E23、E18、E01、E07、E13,-0.0231,-0.0801
(c) 連同 216 開發七宗共十六宗,價格,6,(c) 財務簡篩,E21、E23、E18、E01、E07、E13,-0.0609,-0.09
(c) 連同 216 開發七宗共十六宗,價格,6,(d) 低波動,E21、E23、E18、E01、E07、E13,-0.1784,-0.1212
(c) 連同 216 開發七宗共十六宗,財務,10,(a) 清單有限暴露,E22、E24、E25、E17、E19、E20、E06、E08、E12、E14,0.0833,0.0536
(c) 連同 216 開發七宗共十六宗,財務,10,(b) 跌得最少,E22、E24、E25、E17、E19、E20、E06、E08、E12、E14,0.0114,0.1494
(c) 連同 216 開發七宗共十六宗,財務,10,(c) 財務簡篩,E22、E24、E25、E17、E19、E20、E06、E08、E12、E14,0.0019,-0.0487
(c) 連同 216 開發七宗共十六宗,財務,10,(d) 低波動,E22、E24、E25、E17、E19、E20、E06、E08、E12、E14,-0.0056,0.027
