event_id,ticker,entity_id,經營現金流為正,營收變異係數,查不到原因
E21,BCS,0000312069,,,"經營現金流不足四季,算不出 TTM"
E21,DB,0001159508,,,"經營現金流不足四季,算不出 TTM"
E21,HSBC,0001089113,,,"經營現金流不足四季,算不出 TTM"
E21,UBS,0001610520,,,"經營現金流不足四季,算不出 TTM"
E21,ING,0001039765,,,"經營現金流不足四季,算不出 TTM"
E21,LYG,0001160106,,,"經營現金流不足四季,算不出 TTM"
E21,NWG,0000844150,,,"經營現金流不足四季,算不出 TTM"
E21,MFG,0001335730,,,"經營現金流不足四季,算不出 TTM"
E21,JPM,0000019617,1,0.0355,
E21,GS,0000886982,0,,"營收不足八季,算不出波動"
E21,MS,0000895421,1,0.0954,
E21,C,0000831001,1,0.0446,
E21,BAC,0000070858,1,0.0666,
E21,WFC,0000072971,1,,"營收不足八季,算不出波動"
E21,USB,0000036104,1,0.0214,
E21,PNC,0000713676,1,0.0229,
E21,TFC,0000092230,1,,"營收不足八季,算不出波動"
E21,STT,0000093751,1,0.019,
E21,SAN,0000891478,,,"經營現金流不足四季,算不出 TTM"
E21,BBVA,0000842180,,,"經營現金流不足四季,算不出 TTM"
E21,AIG,0000005272,1,0.1196,
E21,MET,0001099219,1,0.0552,
E21,PFH,0001137774,1,0.0809,
E21,AXP,0000004962,1,,"營收不足八季,算不出波動"
E21,COF,0000927628,1,0.0466,
E21,SCHW,0000316709,1,0.0586,
E21,ALL,0000899051,1,0.0129,
E21,TRV,0000086312,1,0.0124,
E21,RF,0001281761,1,,"營收不足八季,算不出波動"
E21,KEY,0000091576,1,,"營收不足八季,算不出波動"
E21,HBAN,0000049196,1,,"營收不足八季,算不出波動"
E21,ZION,0000109380,1,,"營收不足八季,算不出波動"
E21,FITB,0000035527,1,,"營收不足八季,算不出波動"
E22,BABA,0001577552,,,"經營現金流不足四季,算不出 TTM"
E22,JD,0001549802,,,"經營現金流不足四季,算不出 TTM"
E22,PDD,0001737806,,,"經營現金流不足四季,算不出 TTM"
E22,BIDU,0001329099,,,"經營現金流不足四季,算不出 TTM"
E22,NTES,0001110646,,,"經營現金流不足四季,算不出 TTM"
E22,TME,0001744676,,,"經營現金流不足四季,算不出 TTM"
E22,EDU,0001372920,,,"經營現金流不足四季,算不出 TTM"
E22,TAL,0001499620,,,"經營現金流不足四季,算不出 TTM"
E22,GOTU,0001768259,,,"經營現金流不足四季,算不出 TTM"
E22,NIO,0001736541,,,"經營現金流不足四季,算不出 TTM"
E22,XPEV,0001810997,,,"經營現金流不足四季,算不出 TTM"
E22,LI,0001791706,,,"經營現金流不足四季,算不出 TTM"
E22,FUTU,0001754581,,,"經營現金流不足四季,算不出 TTM"
E22,TIGR,0001756699,,,"經營現金流不足四季,算不出 TTM"
E22,VIPS,0001529192,,,"經營現金流不足四季,算不出 TTM"
E22,YUMC,0001673358,1,0.1209,
E22,BILI,0001723690,,,"經營現金流不足四季,算不出 TTM"
E22,IQ,0001722608,,,"經營現金流不足四季,算不出 TTM"
E22,HUYA,0001728190,,,"經營現金流不足四季,算不出 TTM"
E22,DOYU,0001762417,,,"經營現金流不足四季,算不出 TTM"
E22,ZTO,0001677250,,,"經營現金流不足四季,算不出 TTM"
E22,MOMO,0001610601,,,"經營現金流不足四季,算不出 TTM"
E22,TCOM,0001269238,,,"經營現金流不足四季,算不出 TTM"
E22,QFIN,0001741530,,,"經營現金流不足四季,算不出 TTM"
E22,LU,0001816007,,,"經營現金流不足四季,算不出 TTM"
E22,NOAH,0001499543,,,"經營現金流不足四季,算不出 TTM"
E22,BZUN,0001625414,,,"經營現金流不足四季,算不出 TTM"
E22,RERE,0001838957,,,"經營現金流不足四季,算不出 TTM"
E22,YJ,0001759614,,,"經營現金流不足四季,算不出 TTM"
E22,CAN,0001780652,,,"經營現金流不足四季,算不出 TTM"
E22,WB,0001595761,,,"經營現金流不足四季,算不出 TTM"
E22,ATHM,0001527636,,,"經營現金流不足四季,算不出 TTM"
E23,COIN,0001679788,1,0.6881,
E23,MSTR,0001050446,1,0.0598,
E23,MARA,0001507605,0,0.9992,
E23,RIOT,0001167419,0,0.9543,
E23,CLSK,0000827876,0,0.9892,
E23,HIVE,0001720424,,,"經營現金流不足四季,算不出 TTM"
E23,BTBT,0001710350,,,"經營現金流不足四季,算不出 TTM"
E23,WULF,0001083301,0,0.2263,
E23,HOOD,0001783879,1,,"營收不足八季,算不出波動"
E23,IREN,0001878848,,,"經營現金流不足四季,算不出 TTM"
E23,CIFR,0001819989,0,,"營收不足八季,算不出波動"
E23,PYPL,0001633917,1,0.0949,
E23,CAN,0001780652,,,"經營現金流不足四季,算不出 TTM"
E23,EBON,0001799290,,,"經營現金流不足四季,算不出 TTM"
E23,SOS,0001346610,,,"經營現金流不足四季,算不出 TTM"
E24,AMAT,0000006951,1,0.1095,
E24,LRCX,0000707549,1,0.1188,
E24,KLAC,0000319201,1,0.1706,
E24,ASML,0000937966,,,"經營現金流不足四季,算不出 TTM"
E24,TER,0000097210,1,0.181,
E24,ONTO,0000704532,1,0.2266,
E24,ACLS,0001113232,1,0.2572,
E24,UCTT,0001275014,1,0.2245,
E24,AEIS,0000927003,1,0.0814,
E24,MKSI,0001049502,1,0.0865,
E24,ENTG,0001101302,1,0.1284,
E24,NVDA,0001045810,1,0.1515,
E24,AMD,0000002488,1,0.3015,
E24,MU,0000723125,1,0.1489,
E24,FORM,0001039399,1,0.0477,
E24,COHU,0000021535,1,0.1381,
E24,NVMI,0001109345,,,"經營現金流不足四季,算不出 TTM"
E24,AEHR,0001040470,1,0.769,
E24,ICHR,0001652535,0,0.1146,
E24,VECO,0000103145,1,0.112,
E24,AXTI,0001051627,1,0.1604,
E24,PLAB,0000810136,1,0.142,
E24,PDFS,0001120914,1,0.0435,
E24,ASYS,0000720500,1,0.3653,
E24,AMKR,0001047127,1,0.104,
E24,SWKS,0000004127,1,0.1502,
E24,QRVO,0001604778,1,0.0624,
E25,F,0000037996,1,0.0937,
E25,GM,0001467858,1,0.1708,
E25,STLA,0001605484,,,"經營現金流不足四季,算不出 TTM"
E25,APTV,0001521332,1,0.1121,
E25,LEA,0000842162,1,0.1037,
E25,BWA,0000908255,1,0.0872,
E25,MGA,0000749098,,,"經營現金流不足四季,算不出 TTM"
E25,ADNT,0001670541,1,0.1076,
E25,DAN,0000026780,1,0.0729,
E25,ALV,0001034670,1,0.1119,
E25,GNTX,0000355811,1,0.127,
E25,MOD,0000067347,1,0.0909,
E25,THRM,0000903129,1,0.1784,
E25,DORM,0000868780,1,0.1179,
E25,SRI,0001043337,1,0.112,
E25,SMP,0000093389,1,0.0821,
E25,TEN,0001166663,,0.225,"經營現金流不足四季,算不出 TTM"
E25,VC,0001111335,1,0.1914,
E25,PATK,0000076605,1,0.1847,
E25,CPS,0001320461,0,,"營收不足八季,算不出波動"
